,"Baseline change",DA
20221122_DAsensorHEK001_CyclePositoin1,-0.03960702860002,1.72813005266485
20221122_DAsensorHEK001_CyclePositoin1,0.04444370665644,2.44037457667379
20221122_DAsensorHEK001_CyclePositoin1,0.01827619280596,1.60170047916973
,,
20221122_DAsensorHEK001_CyclePositoin2,0.01427365581661,2.26314138876625
20221122_DAsensorHEK001_CyclePositoin2,0.04126035186208,3.36834373955541
20221122_DAsensorHEK001_CyclePositoin2,0.00657990280398,3.08388491178573
20221122_DAsensorHEK001_CyclePositoin2,0.03457172657453,3.16374671893959
,,
20221122_DAsensorHEK001_CyclePositoin3,0.06020210401804,2.22186974425659
20221122_DAsensorHEK001_CyclePositoin3,0.01435597420218,1.67651554128541
20221122_DAsensorHEK001_CyclePositoin3,0.08905406349953,2.11230916084742
,,
20221122_DAsensorHEK002_CyclePositoin1,-0.07423999608115,1.83121125943672
20221122_DAsensorHEK002_CyclePositoin1,-0.05473898649900,1.63768732719687
20221122_DAsensorHEK002_CyclePositoin1,-0.06851324059246,1.60212484525044
,,
20221122_DAsensorHEK002_CyclePositoin2,-0.03992943449732,1.84841282113497
20221122_DAsensorHEK002_CyclePositoin2,-0.00743996926187,1.80807382169862
,,
20221122_DAsensorHEK002_CyclePositoin3,-0.03058434752158,1.90520752245527
20221122_DAsensorHEK002_CyclePositoin3,-0.03536027746963,1.39892104042037
20221122_DAsensorHEK002_CyclePositoin3,-0.08800142806344,1.57554945263714
20221122_DAsensorHEK002_CyclePositoin3,-0.05878338391625,1.30812046996880
