,"Baseline change",DA
20221122_DAsensorHEK001_CyclePositoin1,0.00140840292095,-0.04375636158254
20221122_DAsensorHEK001_CyclePositoin1,-0.00118736460481,-0.04069702223594
20221122_DAsensorHEK001_CyclePositoin1,0.01094500862717,-0.05281359613703
,,
20221122_DAsensorHEK001_CyclePositoin2,-0.00663861935627,-0.03145811949888
20221122_DAsensorHEK001_CyclePositoin2,-0.02122477994926,-0.03081987243648
20221122_DAsensorHEK001_CyclePositoin2,-0.00192822841141,-0.05010516117607
20221122_DAsensorHEK001_CyclePositoin2,-0.00949157257323,-0.02094630503383
,,
20221122_DAsensorHEK001_CyclePositoin3,0.00211563004766,-0.02331648330671
20221122_DAsensorHEK001_CyclePositoin3,-0.00214190771269,-0.01966370706793
20221122_DAsensorHEK001_CyclePositoin3,0.00097462223470,-0.05812156120952
,,
20221122_DAsensorHEK002_CyclePositoin1,-0.01119106343741,-0.00376526939192
20221122_DAsensorHEK002_CyclePositoin1,-0.00203636236221,-0.01338890528698
20221122_DAsensorHEK002_CyclePositoin1,-0.00436065444139,-0.01452443698273
,,
20221122_DAsensorHEK002_CyclePositoin2,0.00324521162481,0.00349278948237
20221122_DAsensorHEK002_CyclePositoin2,0.00317713145853,-0.00325150751764
,,
20221122_DAsensorHEK002_CyclePositoin3,-0.00365527055168,-0.00750412919421
20221122_DAsensorHEK002_CyclePositoin3,0.01247487420119,-0.02802546024068
20221122_DAsensorHEK002_CyclePositoin3,0.01821750503142,-0.00057323405271
20221122_DAsensorHEK002_CyclePositoin3,-0.01013705277688,-0.00489090612891
