AW,QW,NREM,REM
2.24580,2.24900,2.24420,2.15140
2.24500,2.25340,2.24670,2.22620
2.25635,2.22150,2.23460,2.15580
2.23080,2.24685,2.22890,2.19390
2.24700,2.21610,2.24310,2.21060
2.19240,2.19210,2.22330,2.21970
2.21540,2.21390,2.21515,2.22980
2.22330,2.21060,2.23150,2.21020
2.24760,2.22880,2.22060,2.23090
2.24140,2.24570,2.22780,2.19430
2.24270,2.21355,2.22330,2.20310
2.22745,2.23700,2.21310,2.20245
2.21525,2.24080,2.25025,2.16025
2.20820,2.25670,2.24540,2.20215
2.21470,2.22030,2.24280,
2.21560,2.23740,2.22430,
2.21755,2.21110,2.22130,
2.19500,2.25550,2.23490,
2.20660,2.24890,2.24080,
2.19520,2.26020,2.22450,
2.21410,2.25490,2.23320,
2.22340,2.25840,2.21350,
2.21900,,2.23630,
2.20790,,2.23730,
2.20930,,2.22940,
2.20570,,2.22340,
2.20510,,2.22090,
2.22770,,2.21595,
2.22870,,2.22155,
2.21485,,2.23040,
2.24580,,2.22230,
2.23540,,2.23765,
2.23310,,2.23650,
2.23905,,2.23125,
2.23140,,2.23255,
2.24240,,2.22780,
2.24820,,2.22040,
2.24310,,2.23850,
2.23700,,2.22510,
2.25050,,2.21610,
2.26810,,2.21080,
2.27355,,2.21265,
,,2.20780,
,,2.23530,
,,2.23905,
,,2.24325,
,,2.24070,
,,2.22640,
,,2.22640,
,,2.25220,
