time,intensity,tau_empirical,tau_fit
1.014,264489,4.21732228397495,2.4859694886386
2.233,266100,4.21489130355074,2.48122846553911
3.253,265649,4.21686802282886,2.48945108146113
4.273,266007,4.21104934125618,2.48813354224326
5.293,262338,4.2036570559808,2.48206037966709
6.313,268620,4.22389677420041,2.4909429006723
7.334,277235,4.22932160656808,2.49763062495975
8.354,274862,4.23828089990948,2.49609102188524
9.374,279853,4.24255083837053,2.49490498956425
10.394,281385,4.23659397291896,2.49624832531977
11.414,283657,4.24355292691375,2.49732805620667
12.433,278690,4.23371699723603,2.50268969089073
13.453,272859,4.22557319459001,2.49387871644269
14.474,269921,4.22211857653828,2.49496977486291
15.493,269481,4.21558811592908,2.49486342255783
16.514,266416,4.20887174081905,2.48608789609219
17.533,262849,4.21120243748152,2.48474410770204
18.554,262179,4.20021162894914,2.48474410770204
19.574,270046,4.21647081847388,2.48166100145269
20.593,266036,4.21663058617668,2.47803957735283
21.613,264716,4.21502114220912,2.48589787219452
22.633,265849,4.21391772868376,2.48113060395259
23.653,261525,4.20304776852368,2.48065007152525
24.673,263055,4.2061867208871,2.47485416000522
25.693,261381,4.20937714222341,2.48251714536561
26.713,267379,4.21672821511123,2.48254700601368
27.733,263296,4.20273663968997,2.47687253647406
28.754,263573,4.2068493733697,2.48178573218472
29.774,261629,4.20949190169023,2.48586369635108
30.794,262711,4.20612382582655,2.48660692650803
31.813,266684,4.21478981584936,2.48876949164273
32.833,262522,4.19938350972517,2.48133378356517
33.853,262201,4.21508500280042,2.48133378356517
34.873,265067,4.19989937158302,2.48057294903529
35.894,269923,4.2176135827807,2.48725805861741
36.914,275911,4.23331602216395,2.48889188534877
37.933,275209,4.22736942870666,2.49086073129175
38.953,269178,4.21500183106812,2.47962860530644
39.973,265450,4.21611651969549,2.48818551425905
40.993,261805,4.19742713944087,2.48605726138653
42.013,271111,4.22129176086721,2.48533899961604
43.033,267052,4.21097534104155,2.48315784256935
44.053,269636,4.2196499536963,2.48503957394789
45.073,269595,4.21613310957998,2.48547302530969
46.093,269347,4.21500097642207,2.49484473515676
47.114,265999,4.20599768338996,2.48066910346024
48.134,262774,4.2079478759059,2.47702893264105
49.154,260959,4.20351409153866,2.47502267028905
50.173,264447,4.21495138738004,2.48381781286616
51.194,266252,4.21618852282233,2.48276442575535
52.213,261861,4.19919075958615,2.47864251804542
53.234,270480,4.21477961248794,2.48396216392742
54.253,267481,4.21529653978041,2.4856180241251
55.274,264044,4.20983828621899,2.4912740823292
56.293,268126,4.22313049459503,2.49333290965689
57.314,269093,4.22790016407244,2.48972378363952
58.334,265072,4.20959546788524,2.47887003230078
59.354,265285,4.20453123202761,2.48150332285783
60.374,266212,4.20776928247644,2.48374997793255
61.393,262638,4.2077947616231,2.48090953784051
62.413,270762,4.22810925722463,2.48814152061448
63.433,277166,4.24370962087624,2.50674716795902
64.453,273304,4.21874558547809,2.48402350211445
65.473,272258,4.22564456092945,2.48979927304851
66.493,268551,4.21821561185711,2.49136391314605
67.514,264761,4.20984315564079,2.47918954143393
68.533,266250,4.20346213564658,2.48465496681554
69.553,262905,4.20042013901479,2.48092263829503
70.573,261052,4.21526330128447,2.48105641462322
71.593,260791,4.20708603716419,2.474626315806
72.613,262532,4.20852375592747,2.48600463023887
73.633,271282,4.21853706234119,2.48265345265878
74.653,273239,4.22138849403378,2.48877149741289
75.673,267071,4.20975679313412,2.47868347835003
76.693,268287,4.21168459631483,2.48888113699028
77.713,269740,4.20943832378136,2.48348264054228
78.733,268827,4.21456457227903,2.4896509445786
79.754,270153,4.21676324652967,2.49411590965749
80.773,270520,4.21614401786001,2.49411590965749
81.793,266668,4.20823163213943,2.48335697425578
82.813,266465,4.20961914594642,2.4848355409761
83.833,268506,4.20419139551592,2.48179650104858
84.853,264871,4.19808367821543,2.48156752870792
85.873,263065,4.20343943467877,2.48373770838202
86.893,261474,4.19758244810052,2.48562051941323
87.914,264135,4.21610323979893,2.48692868145266
88.933,270607,4.2212288991954,2.48648470593607
89.954,270730,4.21321958394742,2.48648470593607
90.973,266367,4.21522132050492,2.48695096861159
91.994,267892,4.21312689399555,2.48562322167576
93.013,267020,4.21815979489467,2.49239617739528
94.034,264312,4.19700733719462,2.47540053859314
95.053,268972,4.21286282287697,2.48534420985225
96.073,267048,4.21580023547735,2.48877502394247
97.093,264980,4.19882325662584,2.48563055663864
98.114,270598,4.21310932171499,2.48478277689961
99.134,268131,4.20929401203648,2.48287774573609
100.154,265692,4.21613290647694,2.48239865196244
101.173,263483,4.20709133615311,2.48788036499079
102.193,261007,4.20642821683368,2.48011808871084
103.213,264214,4.20780671222678,2.48878292214585
104.233,270074,4.22260745077622,2.49173237340427
105.253,266147,4.20469888467163,2.47713010711926
106.273,263032,4.20149380440303,2.47897854251502
107.294,261801,4.20529948878614,2.48244580831026
108.314,270148,4.21951699001181,2.48689815430257
109.333,266584,4.21942009727108,2.48008545385345
110.354,266889,4.2080755228656,2.48723363302975
111.374,274836,4.23118593919417,2.49202186284896
112.394,271748,4.22215805924621,2.48979600712262
113.413,270620,4.22415679119088,2.48979600712262
114.433,272056,4.22096677246179,2.49097790684712
115.453,269986,4.21028540056575,2.48413988209542
116.473,268772,4.22132849859138,2.49124190787727
117.493,270481,4.21948917670837,2.49010151108899
118.513,277015,4.22744206211276,2.4975916665303
119.533,272252,4.22070653505343,2.4919344854668
120.553,271591,4.2196817770704,2.4919344854668
121.573,269350,4.21293535522582,2.49392444664781
122.593,265948,4.21155158898067,2.47826205726513
123.613,265535,4.21471198246147,2.48706967912039
124.633,273728,4.23075844864506,2.50009085058989
125.653,268396,4.20728905543644,2.47840040231381
126.673,265233,4.20884940877733,2.48514749727565
127.693,270755,4.22140536146306,2.48898329130037
128.713,268334,4.21725060989228,2.4944403656213
129.734,265734,4.21218187404888,2.48915142900945
130.754,271981,4.21662837110386,2.49312047647242
131.774,268014,4.2147948410922,2.4904003751899
132.794,263858,4.20849700056643,2.47858925215191
133.813,267887,4.21785950813744,2.48743163891299
134.834,267134,4.20983652190158,2.48743163891299
135.853,264327,4.20628743661351,2.48882719526749
136.874,272279,4.23117730259922,2.49259877758638
137.893,270070,4.21651147610723,2.49140797159963
138.914,272335,4.2172420339395,2.48949940426918
139.933,266651,4.20695245727826,2.48708127101697
140.954,264470,4.2115577887984,2.48175872726004
141.973,272261,4.22344964621342,2.48669304983803
142.994,269326,4.20601070079394,2.47741423235681
144.013,264931,4.20318056739924,2.47631900583964
145.034,265797,4.20887066717426,2.48115676855151
146.054,265212,4.20879859055555,2.48115676855151
147.074,264885,4.20395780098184,2.47931710483825
148.094,263373,4.20256569654219,2.48305557410362
149.114,270924,4.22262663212955,2.48683148441151
150.133,265269,4.21176201948767,2.48241129722583
151.153,262860,4.19316700173393,2.47883278374122
152.174,263427,4.20262490063046,2.47866534936447
153.193,277637,4.230435882709,2.48664807352235
154.213,274849,4.23080247092725,2.49354022125069
155.234,269613,4.21798047806393,2.48934341117327
156.253,266586,4.204257859688,2.48237399072522
157.274,265506,4.20484010779323,2.47402118972938
158.294,264122,4.20190450200843,2.48657080820526
159.314,262631,4.20329416175188,2.48279441548126
160.334,269237,4.21660913181375,2.48931177607443
161.354,265880,4.21013456328397,2.4842451512172
162.373,270348,4.21441214969393,2.48687860763996
163.393,271300,4.22282247008827,2.49673060463476
164.414,269236,4.2145798873679,2.49848828698128
165.434,275589,4.22995475598866,2.49854618023182
166.453,276797,4.22803799241224,2.50063544920012
167.473,276023,4.22618090489934,2.50063544920012
168.493,272468,4.22415534894604,2.4940018919251
169.514,274995,4.22829867179254,2.49131850317088
170.533,271827,4.21201734243511,2.48638602222584
171.553,274000,4.22323904519198,2.48758316172013
172.574,269513,4.21537456938575,2.49203447116747
173.593,265556,4.2108966136298,2.4852810213383
174.613,265512,4.21029973798585,2.48835787385504
175.633,268200,4.21032704016784,2.48566908692125
176.653,264760,4.20820280375382,2.48415807341093
177.673,269310,4.22185685740516,2.48580599931039
178.693,267824,4.21144830371127,2.49049418906587
179.714,276379,4.23062545908861,2.49504931512266
180.734,272111,4.21956002527084,2.48519771904308
181.753,269529,4.21712755957698,2.48953757723363
182.774,268061,4.21237613057378,2.48755301828081
183.793,265746,4.20363724419683,2.48537078739696
184.813,268878,4.2210959219031,2.49066539375466
185.834,264346,4.20540167496721,2.48791321518852
186.854,268969,4.22087520452672,2.48466725431801
187.874,272148,4.21711612342847,2.48760085301745
188.894,268657,4.21349011464968,2.48894988995349
189.913,263963,4.21098301079195,2.48721484809633
190.933,268944,4.20853884866833,2.48471851660261
191.953,272317,4.2101817347241,2.48631022632311
192.973,267869,4.20624545238236,2.47059960411118
193.993,267980,4.22621210615057,2.48820966971761
