time,intensity,tau_empirical,tau_fit
1.012,267386,4.27615580030294,2.39773838896092
2.232,266856,4.27038626320266,2.38366948826407
3.253,267937,4.26261698477642,2.38366948826407
4.27200000000001,268098,4.26953012973682,2.38366948826407
5.29300000000001,267774,4.26071260436185,2.38366948826407
6.312,266695,4.26443051629705,2.38517477932116
7.332,267316,4.25571719377825,2.38517477932116
8.352,267412,4.26781991280139,2.38517477932116
9.373,266289,4.27631414350716,2.38496562641052
10.392,267872,4.26997883736478,2.38496562641052
11.413,268877,4.26232544852694,2.38042357582887
12.432,266866,4.26310877718869,2.38042357582887
13.453,267353,4.2682126533361,2.38042357582887
14.472,267002,4.26173109515675,2.38059387009598
15.492,266055,4.26572787959409,2.37244771969421
16.512,266173,4.26429522797477,2.37343278233066
17.533,268888,4.26810790180159,2.38566565018371
18.552,266630,4.26364071912779,2.3774816465149
19.573,266782,4.25576668726611,2.3774816465149
20.592,266835,4.26861992684608,2.37731338200879
21.613,266190,4.2733823630178,2.37916573671146
22.632,266784,4.27269063656898,2.37916573671146
23.653,267571,4.26879269787133,2.37916573671146
24.672,266757,4.26769272754648,2.37916573671146
25.693,266274,4.26353920128801,2.38708324775504
26.712,265254,4.27146708638586,2.38708324775504
27.732,267156,4.25392313702471,2.38708324775504
28.752,267546,4.26314973281683,2.38708324775504
29.773,267802,4.26326139637038,2.38708324775504
30.792,267209,4.27056308455064,2.38708324775504
31.812,266185,4.26142186608415,2.38708324775504
32.832,267609,4.26381964966537,2.38627356386938
33.852,267315,4.26800561359852,2.37021739576729
34.872,267128,4.26979150197173,2.38526099665829
35.877,265108,4.25971815624383,2.37297717801344
36.892,267035,4.26794979497912,2.37678758132545
37.912,267994,4.26029332246702,2.37772205259533
38.932,267300,4.26250613667897,2.38133433514908
39.952,266391,4.27418867779089,2.38305860283339
40.973,267773,4.26262918197621,2.3832425895841
41.992,266704,4.26639705691608,2.37906857308662
43.013,265949,4.26314688914303,2.37906857308662
44.032,267911,4.25519554572991,2.37550069646597
45.053,267213,4.27839653120752,2.37898958924626
46.072,267419,4.26712558075476,2.37085779898053
47.093,267045,4.26797313934205,2.36783148779069
48.112,267328,4.26120832810905,2.37209183548067
49.132,267237,4.26721345838611,2.38032554156359
50.152,267311,4.27275966487582,2.38183144142339
51.172,265801,4.26447930591041,2.38183144142339
52.192,266523,4.26724032255837,2.38183144142339
53.212,267331,4.26991111444657,2.37942714666821
54.232,267333,4.26763530224152,2.39194896102678
55.253,266158,4.25981469385786,2.37088229508309
56.272,265919,4.26896278045915,2.37842569680175
57.293,265456,4.26565415350796,2.3830664268355
58.312,267268,4.26721961763608,2.3855475828529
59.333,266815,4.26340690096941,2.37649184721279
60.352,266230,4.26914391063295,2.37649184721279
61.373,266468,4.26682359769015,2.38613524544693
62.392,266739,4.27061860563836,2.38426300205663
63.413,266111,4.26044012327139,2.38426300205663
64.432,268831,4.27323274945902,2.38426300205663
65.453,266293,4.26796842374772,2.38426300205663
66.472,267470,4.26027053956033,2.38426300205663
67.492,269250,4.2662451508222,2.38267978547727
68.512,267355,4.25574319292229,2.37645511310167
69.533,268430,4.25267456805225,2.37645511310167
70.552,267383,4.26875441200343,2.37645511310167
71.573,267982,4.26552237915325,2.37645511310167
72.592,268639,4.27310451132665,2.37645511310167
73.612,268439,4.27201123995531,2.37645511310167
