Time Speed (cm/s),Speed (cm/s),Time Running Definition,Running Definition
0.0,0.0,0.0,0.0
0.25,0.0,0.25,0.0
0.5,0.0,0.5,0.0
0.75,0.0,0.75,0.0
1.0,0.0,1.0,0.0
1.25,0.0,1.25,0.0
1.5,0.0,1.5,0.0
1.75,0.0,1.75,0.0
2.0,0.0,2.0,0.0
2.25,-0.3711,2.25,0.0
2.5,1.8554833333333334,2.5,0.0
2.75,7.951985714285715,2.75,0.0
3.0,7.79295,3.0,0.0
3.25,8.9062,3.25,0.0
3.5,7.79295,3.5,0.0
3.75,4.135057142857143,3.75,0.0
4.0,5.195316666666667,4.0,0.0
4.25,11.5039,4.25,0.0
4.5,10.7617,4.5,0.0
4.75,9.2243,4.75,0.0
5.0,14.101566666666667,5.0,0.0
5.25,15.957033333333333,5.25,0.0
5.5,17.8125,5.5,0.0
5.75,13.359385714285715,5.75,0.0
6.0,11.132816666666667,6.0,0.0
6.25,13.359366666666666,6.25,0.0
6.5,9.277333333333333,6.5,0.0
6.75,11.132814285714286,6.75,0.0
7.0,10.7617,7.0,0.0
7.25,12.6172,7.25,0.0
7.5,4.453116666666666,7.5,0.0
7.75,12.405128571428572,7.75,0.0
8.0,14.472633333333334,8.0,0.0
8.25,14.472633333333334,8.25,0.0
8.5,12.2461,8.5,0.0
8.75,15.585928571428571,8.75,0.0
9.0,11.1328,9.0,0.0
9.25,14.10155,9.25,0.0
9.5,12.246083333333333,9.5,0.0
9.75,12.087028571428572,9.75,0.0
10.0,13.730466666666667,10.0,0.0
10.25,11.875,10.25,0.0
10.5,15.214816666666668,10.5,0.0
10.75,10.814714285714286,10.75,0.0
11.0,6.308583333333334,11.0,0.0
11.25,7.79295,11.25,0.0
11.5,11.1328,11.5,0.0
11.75,10.496628571428571,11.75,0.0
12.0,13.730483333333334,12.0,0.0
12.25,10.0195,12.25,0.0
12.5,12.988283333333333,12.5,0.0
12.75,11.76897142857143,12.75,0.0
13.0,12.988283333333333,13.0,0.0
13.25,12.61715,13.25,0.0
13.5,12.988266666666666,13.5,0.0
13.75,14.949742857142857,13.75,0.0
14.0,13.730466666666667,14.0,0.0
14.25,13.359366666666666,14.25,0.0
14.5,14.101566666666667,14.5,0.0
14.75,7.951985714285714,14.75,0.0
