time,intensity,tau_empirical,tau_fit
1.003,315704,4.20410961883964,2.47249693837016
2.422,315335,4.21471928907997,2.47249693837016
3.442,316513,4.21237315333734,2.47108764105296
4.462,316685,4.22557416215859,2.47740617564594
5.48200000000001,314567,4.22766849609754,2.47535126704721
6.502,315101,4.21730782492664,2.47535126704721
7.523,314203,4.22459235671686,2.47535126704721
8.542,314561,4.21336682573161,2.47535126704721
9.562,311888,4.2108864929358,2.47191706106326
10.583,308744,4.21312411338456,2.46794003241843
11.602,313357,4.2203382273631,2.4736368704929
12.622,310682,4.21252102885456,2.47735576217391
13.642,312303,4.22010215155297,2.478117522078
14.662,313184,4.21820138058168,2.478117522078
15.682,312513,4.21653289344391,2.48037110168949
16.702,313196,4.22386813818367,2.48367912327494
17.722,311590,4.22126319527143,2.48367912327494
18.742,306938,4.22109727553191,2.46800118982399
19.762,311860,4.21825546327683,2.47216160753089
20.783,313245,4.21926567690932,2.48100325500127
21.802,313186,4.22674087628218,2.48100325500127
22.823,309166,4.2230273779,2.47481167953154
23.842,309529,4.21951563702121,2.47532245888656
24.862,309340,4.21851435540837,2.47532245888656
25.883,301060,4.1956433173883,2.45755832837338
26.903,299640,4.20883227891149,2.46566880769086
27.923,295040,4.19182746674664,2.4648065339114
28.943,307614,4.20554801882872,2.46506240351371
29.963,313382,4.22215256770415,2.47909196798395
30.983,314461,4.22953336041858,2.47873054699659
32.002,314616,4.22889316711272,2.4798168999377
33.022,316611,4.22290394295858,2.4765738929782
34.042,316607,4.22105166511131,2.47612529294801
35.063,316138,4.22651212500174,2.48296598361644
36.083,312740,4.2184149072341,2.48218341277124
37.102,315900,4.21759196944791,2.48218341277124
38.123,314587,4.22003507090581,2.48218341277124
39.142,314125,4.23054212344221,2.48218341277124
40.163,313853,4.23404752107566,2.48622470685646
41.183,311429,4.2219847607439,2.48622470685646
42.203,309709,4.21696929865244,2.47958808674146
43.223,312562,4.2097520399526,2.46832406746606
44.242,313505,4.22498584336655,2.47243717285036
45.262,311611,4.21937757571667,2.47243717285036
46.283,311858,4.21966445923463,2.47243717285036
47.302,311447,4.21787695631743,2.47243717285036
48.322,303553,4.20366780796574,2.46567035990956
49.342,314840,4.23084572188665,2.48097461733054
50.362,315390,4.21957566968103,2.48097461733054
51.383,307775,4.21495617983416,2.47284297377167
52.403,309767,4.20983093139803,2.47753240139643
53.422,313027,4.22735638788823,2.47855904014768
54.443,316150,4.2243684578155,2.48256378136504
55.462,318372,4.23212054193735,2.48133230205309
56.483,316032,4.22060969560867,2.48133230205309
57.502,317196,4.22894412675242,2.48133230205309
58.523,319780,4.22904951903477,2.48264908617855
59.542,320026,4.23062625493046,2.48264908617855
60.562,319623,4.22928108475231,2.48461081214979
61.582,315969,4.22823129232998,2.48216400326305
62.603,312122,4.21611046397679,2.48027892525789
63.622,317262,4.22994190438972,2.48395677666113
64.643,318536,4.23244700188202,2.48743703336936
65.662,313255,4.22460097742219,2.48165569574051
66.682,306985,4.20498970028438,2.46756687467752
67.703,314926,4.22644060590803,2.48216517066977
68.722,319573,4.22571052567828,2.46804892078913
69.742,316331,4.2260499093956,2.47565240232871
70.763,321319,4.23280038297598,2.48322032651375
71.783,319273,4.22172439349911,2.48325742157592
72.802,317637,4.21939790225628,2.48305848711693
73.822,317807,4.23061299370652,2.48308033170391
74.842,316689,4.22530114619019,2.48339485037684
75.863,311038,4.21901455543027,2.47559208428216
76.883,316466,4.22397103097824,2.48019641248459
77.902,318913,4.22762219751348,2.48067907793391
78.923,316259,4.23034802062489,2.48151262822264
79.943,317444,4.23125272988585,2.48151262822264
80.962,319223,4.22870407901978,2.48010949713511
81.982,320962,4.2354707151976,2.48455350410993
83.002,318565,4.22954350362101,2.49105359697432
84.022,316816,4.22759454857744,2.49105359697432
85.042,310077,4.21052498375194,2.47485906471967
86.062,318690,4.22591250253142,2.48086533737535
87.083,314959,4.22779838016834,2.48741090714795
88.102,301965,4.20208206561651,2.45998824733165
89.123,289607,4.1680934318447,2.43752974073919
90.142,284563,4.16722732021764,2.44091954552492
91.162,286935,4.17790824106028,2.44815310459607
92.182,296954,4.20413889820594,2.46672266219623
93.202,312668,4.22200031422038,2.48644310545582
94.223,315332,4.22092848208197,2.47334768567164
95.242,321300,4.22714502890359,2.48034819971245
96.262,322396,4.23193602165089,2.48457913648239
97.283,327088,4.23650683329558,2.48399059442235
98.302,321399,4.22660194877099,2.48050838646562
99.323,326378,4.23263696520355,2.48551492191589
100.342,326038,4.24103931532732,2.49029509438337
101.363,325948,4.23658581166028,2.49187528798813
102.383,324314,4.22440483205288,2.49187528798813
103.402,320067,4.22628211169796,2.48356634214443
104.422,322225,4.23457104907282,2.48579361725175
105.443,321813,4.23100876724987,2.48928665162673
106.462,319826,4.21754568959917,2.48928665162673
107.482,311893,4.21552118385014,2.47487698752566
108.502,315733,4.2298298106606,2.48253096103654
109.522,321400,4.22538662277152,2.4784596645325
110.542,324339,4.23425663126619,2.48869867716552
111.562,323051,4.23267749899593,2.48869867716552
112.582,324232,4.22982405665139,2.48869867716552
113.602,321490,4.22792559077767,2.48869867716552
