state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
128400.0,"[33, 197]","[35.065, 205.62]",106755.0,"[3413, 3623]","[3519.8, 3738.4]",118565.0,"[9712, 9826]","[10018.0, 10134.0]",126620.0,"[222, 247]","[231.6, 257.6]"
127170.0,"[272, 1388]","[283.6, 1445.3]",111880.0,"[3867, 3965]","[3992.2, 4094.2]",107340.0,"[26642, 26661]","[27474.0, 27493.0]",123350.0,"[1412, 1466]","[1470.3, 1526.5]"
125795.0,"[1498, 1540]","[1563.6, 1606.5]",106150.0,"[6656, 6888]","[6862.8, 7101.3]",113975.0,"[27072, 27170]","[27913.0, 28013.0]",120265.0,"[1565, 1595]","[1632.0, 1662.6]"
123940.0,"[1620, 2093]","[1688.1, 2170.6]",105360.0,"[7478, 7753]","[7714.9, 8001.0]",114790.0,"[27657, 27698]","[28510.0, 28552.0]",105760.0,"[3663, 3692]","[3780.0, 3810.1]"
124650.0,"[2157, 2904]","[2235.8, 2997.9]",105375.0,"[8905, 9005]","[9194.9, 9296.9]",115610.0,"[28093, 28172]","[28961.0, 29044.0]",116220.0,"[3758, 3777]","[3878.8, 3898.5]"
123690.0,"[2965, 3388]","[3060.2, 3493.8]",105540.0,"[9348, 9687]","[9646.9, 9992.7]",117540.0,"[33830, 33879]","[34881.0, 34931.0]",118800.0,"[4520, 4603]","[4671.7, 4758.0]"
125345.0,"[3716, 3734]","[3835.1, 3853.8]",106250.0,"[9880, 10002]","[10190.0, 10314.0]",115935.0,"[34633, 34651]","[35700.0, 35719.0]",111140.0,"[4708, 4726]","[4867.4, 4886.1]"
124730.0,"[3801, 3842]","[3923.5, 3966.2]",103380.0,"[25474, 25773]","[26269.0, 26580.0]",118795.0,"[34933, 35029]","[36008.0, 36107.0]",118800.0,"[5574, 5697]","[5759.0, 5884.5]"
123950.0,"[3990, 4023]","[4120.2, 4154.5]",103650.0,"[26327, 26618]","[27153.0, 27449.0]",113830.0,"[35811, 35951]","[36921.0, 37067.0]",116485.0,"[6428, 6490]","[6630.2, 6693.5]"
123960.0,"[4077, 4495]","[4210.7, 4645.7]",103755.0,"[26708, 27048]","[27541.0, 27888.0]",115620.0,"[36488, 36588]","[37629.0, 37731.0]",115910.0,"[7204, 7238]","[7429.9, 7465.2]"
124440.0,"[4627, 4684]","[4782.9, 4842.4]",104145.0,"[27217, 27633]","[28060.0, 28485.0]",118660.0,"[40913, 40970]","[42180.0, 42238.0]",115455.0,"[8377, 8399]","[8650.3, 8673.1]"
121170.0,"[4751, 4887]","[4912.1, 5053.5]",103325.0,"[27723, 28069]","[28577.0, 28936.0]",117515.0,"[41414, 41524]","[42691.0, 42803.0]",120490.0,"[9069, 9190]","[9362.2, 9485.7]"
124240.0,"[4989, 5549]","[5162.2, 5733.5]",103710.0,"[28196, 28565]","[29069.0, 29452.0]",,,,118075.0,"[10085, 10169]","[10399.0, 10485.0]"
123010.0,"[5722, 6325]","[5910.0, 6525.1]",104120.0,"[32625, 32977]","[33641.0, 34011.0]",,,,111450.0,"[11780, 11835]","[12155.0, 12213.0]"
124370.0,"[6515, 6631]","[6719.0, 6837.3]",104290.0,"[33559, 33806]","[34604.0, 34856.0]",,,,116540.0,"[13200, 13367]","[13611.0, 13781.0]"
123120.0,"[6913, 7180]","[7127.2, 7404.9]",103990.0,"[33928, 34608]","[34981.0, 35675.0]",,,,111730.0,"[13443, 13496]","[13859.0, 13913.0]"
123460.0,"[7263, 7453]","[7491.2, 7688.9]",104520.0,"[34734, 34909]","[35804.0, 35983.0]",,,,116250.0,"[15923, 15992]","[16425.0, 16496.0]"
124080.0,"[7777, 8352]","[8026.0, 8624.3]",104270.0,"[35096, 35787]","[36177.0, 36896.0]",,,,120740.0,"[16543, 16643]","[17058.0, 17160.0]"
120020.0,"[8424, 8457]","[8699.1, 8733.5]",104270.0,"[35975, 36463]","[37092.0, 37604.0]",,,,114740.0,"[20000, 20041]","[20622.0, 20664.0]"
123740.0,"[8485, 8829]","[8766.5, 9117.4]",106590.0,"[38999, 39182]","[40205.0, 40395.0]",,,,115750.0,"[22087, 22204]","[22778.0, 22900.0]"
123110.0,"[9215, 9323]","[9511.2, 9621.3]",105690.0,"[40019, 40311]","[41268.0, 41566.0]",,,,114920.0,"[23687, 23726]","[24421.0, 24460.0]"
120830.0,"[10026, 10060]","[10339.0, 10374.0]",105890.0,"[40599, 40888]","[41859.0, 42154.0]",,,,119260.0,"[24710, 24773]","[25474.0, 25540.0]"
123620.0,"[10194, 11756]","[10510.0, 12130.0]",106390.0,"[41034, 41389]","[42303.0, 42666.0]",,,,111995.0,"[28650, 28688]","[29541.0, 29580.0]"
123440.0,"[11859, 13176]","[12238.0, 13586.0]",105830.0,"[41548, 41567]","[42828.0, 42847.0]",,,,120270.0,"[31156, 31201]","[32117.0, 32163.0]"
123830.0,"[13392, 13419]","[13807.0, 13834.0]",109200.0,"[41654, 41899]","[42936.0, 43188.0]",,,,117250.0,"[31614, 31666]","[32589.0, 32644.0]"
123160.0,"[13521, 15898]","[13938.0, 16400.0]",,,,,,,119235.0,"[33034, 33134]","[34069.0, 34171.0]"
122960.0,"[16017, 16519]","[16521.0, 17033.0]",,,,,,,116250.0,"[33323, 33468]","[34364.0, 34512.0]"
123020.0,"[16667, 19975]","[17184.0, 20597.0]",,,,,,,109020.0,"[35053, 35072]","[36132.0, 36152.0]"
123130.0,"[20066, 22062]","[20689.0, 22752.0]",,,,,,,116110.0,"[36648, 36721]","[37792.0, 37867.0]"
123410.0,"[22228, 23663]","[22925.0, 24396.0]",,,,,,,116120.0,"[37166, 37291]","[38321.0, 38448.0]"
122600.0,"[23750, 24685]","[24485.0, 25448.0]",,,,,,,114610.0,"[37358, 37376]","[38517.0, 38535.0]"
121710.0,"[24797, 25450]","[25565.0, 26244.0]",,,,,,,119120.0,"[40336, 40453]","[41591.0, 41711.0]"
122390.0,"[25797, 26303]","[26605.0, 27128.0]",,,,,,,,,
126720.0,"[28589, 28626]","[29477.0, 29516.0]",,,,,,,,,
122560.0,"[28712, 31131]","[29605.0, 32092.0]",,,,,,,,,
122240.0,"[31225, 31590]","[32188.0, 32564.0]",,,,,,,,,
122000.0,"[31690, 32601]","[32668.0, 33616.0]",,,,,,,,,
122565.0,"[33159, 33299]","[34196.0, 34339.0]",,,,,,,,,
120720.0,"[33493, 33534]","[34537.0, 34579.0]",,,,,,,,,
124335.0,"[34676, 34710]","[35744.0, 35779.0]",,,,,,,,,
121630.0,"[36746, 37142]","[37892.0, 38296.0]",,,,,,,,,
123100.0,"[37315, 37334]","[38473.0, 38492.0]",,,,,,,,,
123310.0,"[37400, 38975]","[38560.0, 40180.0]",,,,,,,,,
122550.0,"[39207, 39924]","[40421.0, 41168.0]",,,,,,,,,
125170.0,"[39952, 39995]","[41199.0, 41243.0]",,,,,,,,,
121500.0,"[40478, 40574]","[41736.0, 41834.0]",,,,,,,,,
118005.0,"[41591, 41629]","[42872.0, 42911.0]",,,,,,,,,
