state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
4.2431,"[12, 1807]","[13.208, 1858.7]",4.1794,"[2645, 2822]","[2730.9, 2919.2]",4.2385,"[3333, 3434]","[3440.5, 3543.6]",4.2262,"[1832, 1891]","[1884.7, 1946.1]"
4.2381,"[1916, 2287]","[1972.1, 2358.2]",4.1809,"[2870, 3308]","[2968.1, 3415.0]",4.23875,"[4098, 4128]","[4221.0, 4251.6]",4.2025,"[2311, 2368]","[2383.2, 2442.5]"
4.2372499999999995,"[2393, 2621]","[2468.5, 2705.9]",4.1899,"[3459, 4073]","[3569.1, 4195.5]",4.2389,"[25273, 25441]","[26046.0, 26217.0]",4.23145,"[4688, 4768]","[4824.3, 4907.1]"
4.2559,"[4153, 4663]","[4277.1, 4798.6]",4.1683,"[23796, 24155]","[24539.0, 24905.0]",4.26035,"[26200, 26294]","[27003.0, 27101.0]",4.2278,"[5543, 5618]","[5713.1, 5791.1]"
4.2465,"[4792, 5518]","[4932.0, 5687.1]",4.1697500000000005,"[24909, 25249]","[25674.0, 26021.0]",4.2693,"[27570, 27725]","[28427.0, 28585.0]",4.2277,"[6539, 6624]","[6747.4, 6834.1]"
4.2421500000000005,"[5642, 6514]","[5816.1, 6721.9]",4.1903,"[25465, 26176]","[26242.0, 26978.0]",4.2408,"[31797, 31837]","[32776.0, 32816.0]",4.2059999999999995,"[6978, 7000]","[7195.4, 7217.8]"
4.2364,"[6649, 6953]","[6859.6, 7169.9]",4.202,"[26384, 26975]","[27194.0, 27809.0]",4.25425,"[32382, 32436]","[33372.0, 33428.0]",4.2069,"[7558, 7635]","[7787.1, 7865.6]"
4.2375,"[7025, 7533]","[7243.3, 7761.6]",4.2056,"[27037, 27546]","[27874.0, 28402.0]",4.258,"[33025, 33168]","[34035.0, 34184.0]",4.22435,"[9510, 9528]","[9806.8, 9825.6]"
4.2366,"[7660, 8039]","[7891.1, 8278.3]",4.2011,"[30687, 30740]","[31639.0, 31694.0]",4.2738,"[33538, 33591]","[34569.0, 34624.0]",4.2089,"[9831, 9877]","[10143.0, 10190.0]"
4.2381,"[8103, 9486]","[8344.0, 9781.8]",4.1825,"[31308, 31773]","[32277.0, 32751.0]",4.2672,"[35119, 35219]","[36201.0, 36303.0]",4.2066,"[14845, 14874]","[15295.0, 15325.0]"
4.2357,"[9553, 9807]","[9851.6, 10116.0]",4.1887,"[31861, 31906]","[32841.0, 32887.0]",4.2894,"[35981, 36209]","[37080.0, 37315.0]",4.2149,"[15393, 15434]","[15858.0, 15901.0]"
4.235,"[9902, 13292]","[10216.0, 13708.0]",4.1933,"[31967, 32357]","[32949.0, 33347.0]",4.276,"[36925, 36997]","[38060.0, 38135.0]",4.2299,"[20642, 20671]","[21283.0, 21313.0]"
4.2383,"[13319, 14820]","[13738.0, 15270.0]",4.2076,"[32461, 33001]","[33453.0, 34011.0]",4.2602,"[37575, 37706]","[38736.0, 38872.0]",4.2266,"[22858, 22961]","[23559.0, 23666.0]"
4.2402,"[14899, 15369]","[15350.0, 15833.0]",4.21505,"[33192, 33514]","[34209.0, 34544.0]",4.267,"[41489, 41576]","[42776.0, 42864.0]",4.2356,"[23111, 23198]","[23822.0, 23913.0]"
4.2425,"[15458, 20617]","[15926.0, 21258.0]",4.1945,"[34284, 34737]","[35349.0, 35811.0]",,,,4.2294,"[23404, 23463]","[24127.0, 24189.0]"
4.2475,"[20696, 22834]","[21338.0, 23534.0]",4.20285,"[34821, 35095]","[35897.0, 36176.0]",,,,4.2822499999999994,"[27837, 27953]","[28699.0, 28818.0]"
4.2493,"[22985, 23088]","[23691.0, 23798.0]",4.2193,"[35244, 35956]","[36328.0, 37055.0]",,,,4.265,"[28029, 28102]","[28895.0, 28970.0]"
4.249,"[23223, 23380]","[23939.0, 24102.0]",4.2155,"[36260, 36901]","[37368.0, 38035.0]",,,,4.2359,"[28404, 28491]","[29278.0, 29366.0]"
4.2385,"[23487, 23776]","[24214.0, 24514.0]",4.2204,"[37045, 37551]","[38184.0, 38711.0]",,,,4.21555,"[30218, 30298]","[31151.0, 31234.0]"
4.256,"[24179, 24884]","[24930.0, 25649.0]",4.1924,"[40097, 40736]","[41328.0, 41992.0]",,,,4.23555,"[30795, 31067]","[31753.0, 32031.0]"
4.2299,"[26318, 26359]","[27126.0, 27168.0]",4.2033,"[41102, 41465]","[42373.0, 42751.0]",,,,4.2776,"[33665, 33914]","[34701.0, 34960.0]"
4.3016,"[27749, 27812]","[28610.0, 28674.0]",4.2078,"[41600, 41893]","[42889.0, 43188.0]",,,,4.2698,"[34007, 34032]","[35057.0, 35083.0]"
4.27845,"[27978, 28004]","[28843.0, 28870.0]",,,,,,,4.24005,"[34238, 34264]","[35297.0, 35324.0]"
4.2811,"[28127, 28380]","[28995.0, 29253.0]",,,,,,,4.2379,"[34761, 34797]","[35836.0, 35872.0]"
4.2528,"[28515, 30194]","[29391.0, 31126.0]",,,,,,,4.2806,"[37730, 37763]","[38897.0, 38932.0]"
4.248,"[30322, 30663]","[31259.0, 31614.0]",,,,,,,4.2671,"[37791, 37915]","[38964.0, 39091.0]"
4.254049999999999,"[31092, 31284]","[32056.0, 32252.0]",,,,,,,4.2578,"[38462, 38543]","[39649.0, 39732.0]"
4.2938,"[33615, 33641]","[34649.0, 34676.0]",,,,,,,4.2303,"[39257, 39296]","[40460.0, 40500.0]"
4.280200000000001,"[33938, 33982]","[34985.0, 35031.0]",,,,,,,4.2179,"[39379, 39436]","[40585.0, 40643.0]"
4.2709,"[34057, 34214]","[35109.0, 35272.0]",,,,,,,4.2268,"[39503, 39612]","[40712.0, 40824.0]"
4.2826,"[37940, 38437]","[39116.0, 39624.0]",,,,,,,4.22115,"[39910, 39932]","[41133.0, 41156.0]"
4.26465,"[38568, 39232]","[39757.0, 40435.0]",,,,,,,,,
4.2485,"[39320, 39355]","[40525.0, 40560.0]",,,,,,,,,
4.2423,"[39460, 39479]","[40668.0, 40687.0]",,,,,,,,,
4.2604,"[39637, 39886]","[40849.0, 41108.0]",,,,,,,,,
4.24,"[39956, 40073]","[41181.0, 41303.0]",,,,,,,,,
4.2722,"[40760, 41078]","[42017.0, 42348.0]",,,,,,,,,
