state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
2.4562,"[1266, 1778]","[1306.9, 1829.2]",2.4078,"[12, 470]","[13.481, 490.22]",2.4459,"[494, 602]","[519.35, 629.51]",2.4362500000000002,"[627, 645]","[655.01, 673.37]"
2.4551,"[2475, 2888]","[2542.9, 2972.6]",2.4076500000000003,"[670, 1076]","[698.88, 1113.1]",2.4615,"[1101, 1131]","[1138.6, 1169.2]",2.45775,"[1183, 1241]","[1222.2, 1281.4]"
2.4497,"[2994, 3776]","[3083.1, 3896.9]",2.4035,"[1803, 2315]","[1854.7, 2377.6]",2.447,"[2340, 2450]","[2403.2, 2517.0]",2.41965,"[2913, 2969]","[2998.6, 3057.1]"
2.4536,"[4083, 4556]","[4218.2, 4700.8]",2.4019,"[3801, 4058]","[3923.0, 4192.7]",2.45065,"[9316, 9376]","[9595.0, 9656.7]",2.4384,"[5977, 6038]","[6153.8, 6217.2]"
2.4572,"[4817, 5137]","[4967.0, 5293.4]",2.424,"[4581, 4792]","[4726.3, 4941.5]",2.4476,"[10070, 10107]","[10378.0, 10417.0]",2.4348,"[6574, 6803]","[6774.7, 7012.9]"
2.4446,"[5354, 5841]","[5514.8, 6013.0]",2.4237,"[5162, 5329]","[5319.0, 5489.3]",2.4452,"[12479, 12559]","[12858.0, 12940.0]",2.4336,"[7583, 7676]","[7826.3, 7921.1]"
2.4432,"[5932, 5953]","[6107.0, 6128.8]",2.411,"[5866, 5907]","[6038.8, 6081.2]",2.4544,"[13854, 14037]","[14282.0, 14472.0]",2.468,"[10132, 10169]","[10443.0, 10481.0]"
2.43905,"[6062, 6288]","[6242.2, 6477.2]",2.3981,"[6312, 6549]","[6502.2, 6748.7]",2.4487,"[21808, 21901]","[22486.0, 22581.0]",2.44795,"[13034, 13172]","[13429.0, 13572.0]"
2.4501,"[6828, 7241]","[7038.9, 7468.7]",2.4321,"[7266, 7291]","[7494.7, 7520.7]",2.46535,"[22593, 22681]","[23286.0, 23376.0]",2.423,"[17188, 17404]","[17718.0, 17942.0]"
2.451,"[7701, 8484]","[7946.6, 8745.4]",2.3995,"[7351, 7558]","[7583.1, 7800.8]",2.4625,"[23188, 23241]","[23894.0, 23949.0]",2.4336,"[18321, 18396]","[18893.0, 18969.0]"
