state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
2.62125,"[954, 1330]","[993.14, 1387.3]",2.5885,"[12, 137]","[12.9, 142.94]",2.6387,"[162, 275]","[168.94, 286.58]",2.6075,"[1814, 1836]","[1881.0, 1903.5]"
2.64015,"[2614, 2640]","[2697.2, 2723.7]",2.5913,"[331, 875]","[344.82, 910.86]",2.6496,"[900, 929]","[936.86, 967.14]",2.59295,"[2406, 2428]","[2485.0, 2507.4]"
2.61905,"[2817, 2945]","[2904.8, 3035.4]",2.5801499999999997,"[1359, 1655]","[1416.9, 1718.9]",2.6347,"[1680, 1789]","[1744.4, 1855.5]",2.6101,"[2665, 2792]","[2749.2, 2879.3]"
2.6257,"[3771, 3974]","[3891.7, 4102.8]",2.5816,"[1861, 2228]","[1929.0, 2303.4]",2.63495,"[2253, 2381]","[2328.9, 2459.5]",2.60575,"[6194, 6248]","[6387.7, 6442.9]"
2.6149,"[4260, 4401]","[4400.5, 4547.1]",2.5864000000000003,"[2453, 2589]","[2532.9, 2671.7]",2.62845,"[3711, 3747]","[3829.2, 3866.7]",2.631,"[8233, 8252]","[8500.5, 8520.4]"
2.62215,"[5748, 6170]","[5932.4, 6362.9]",2.5902,"[2970, 3686]","[3061.0, 3803.2]",2.6358,"[4826, 4927]","[4991.8, 5094.8]",2.6220999999999997,"[8895, 8987]","[9180.7, 9274.6]"
2.6262,"[6387, 6456]","[6584.7, 6655.1]",2.5903,"[3999, 4201]","[4128.8, 4339.1]",2.6449499999999997,"[5611, 5723]","[5792.6, 5906.9]",2.62195,"[12089, 12151]","[12476.0, 12539.0]"
2.6268,"[7191, 7266]","[7416.5, 7494.5]",2.5932,"[4425, 4801]","[4572.2, 4966.3]",2.6393500000000003,"[7479, 7571]","[7716.1, 7811.8]",2.6297,"[14548, 14609]","[15003.0, 15067.0]"
2.6155,"[8275, 8870]","[8548.3, 9155.2]",2.5962,"[4952, 5586]","[5120.3, 5767.1]",2.6436,"[7786, 7908]","[8035.5, 8162.4]",2.6031500000000003,"[14929, 14987]","[15400.0, 15460.0]"
2.6131,"[9012, 9246]","[9300.1, 9538.8]",2.5955,"[6273, 6362]","[6468.4, 6559.2]",2.6349,"[9886, 9979]","[10192.0, 10287.0]",2.61655,"[15308, 15388]","[15797.0, 15879.0]"
2.62605,"[11983, 12065]","[12368.0, 12451.0]",2.5971,"[6481, 7166]","[6680.7, 7390.5]",2.6195000000000004,"[10392, 10434]","[10712.0, 10756.0]",2.59265,"[15954, 15992]","[16456.0, 16495.0]"
2.625,"[12179, 12928]","[12568.0, 13332.0]",2.5957999999999997,"[7290, 7454]","[7519.5, 7690.1]",2.63815,"[10615, 10671]","[10944.0, 11003.0]",2.6002,"[16165, 16224]","[16672.0, 16732.0]"
2.6286,"[13022, 13135]","[13428.0, 13543.0]",2.594,"[7595, 7762]","[7836.8, 8010.5]",2.6387,"[10868, 10930]","[11208.0, 11272.0]",2.6018,"[16659, 16777]","[17176.0, 17296.0]"
2.6031500000000003,"[13304, 13496]","[13716.0, 13912.0]",2.5953999999999997,"[7970, 8208]","[8226.9, 8474.5]",2.64065,"[11327, 11425]","[11685.0, 11787.0]",2.6022499999999997,"[17579, 17659]","[18123.0, 18207.0]"
2.6166,"[13960, 14063]","[14392.0, 14499.0]",2.5922,"[9271, 9862]","[9564.3, 10167.0]",2.64945,"[23666, 23750]","[24401.0, 24487.0]",2.5958,"[17929, 18009]","[18488.0, 18571.0]"
2.6185,"[14448, 14524]","[14899.0, 14979.0]",2.5933,"[10004, 10368]","[10312.0, 10687.0]",2.6522,"[24293, 24352]","[25045.0, 25107.0]",2.604,"[18521, 18547]","[19104.0, 19131.0]"
2.62735,"[14633, 14905]","[15092.0, 15375.0]",2.5966,"[10458, 10591]","[10781.0, 10919.0]",2.6626,"[24841, 24948]","[25616.0, 25727.0]",2.60105,"[18680, 18740]","[19269.0, 19332.0]"
2.6312,"[15011, 15244]","[15485.0, 15728.0]",2.5962,"[10695, 10844]","[11028.0, 11183.0]",2.6656,"[25431, 25645]","[26229.0, 26452.0]",2.6007499999999997,"[20798, 21184]","[21441.0, 21843.0]"
2.61875,"[15413, 15929]","[15904.0, 16431.0]",2.5959,"[10954, 11013]","[11297.0, 11359.0]",2.6472499999999997,"[26694, 26724]","[27526.0, 27557.0]",2.598,"[21350, 21453]","[22016.0, 22123.0]"
