state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
1237.2,"[12, 406]","[12.821, 414.94]",-2654.65,"[757, 1009]","[776.56, 1038.6]",-633.01,"[6582, 6655]","[6789.1, 6863.5]",-2001.3,"[431, 464]","[440.62, 474.32]"
296.36,"[489, 732]","[499.86, 750.66]",-2275.7,"[1414, 1659]","[1459.9, 1714.8]",3139.4,"[9543, 9562]","[9848.2, 9867.5]",3268.6,"[2306, 2343]","[2388.9, 2426.7]"
1242.75,"[1033, 1389]","[1063.6, 1433.9]",-2353.7,"[2121, 2281]","[2195.5, 2363.4]",288.31,"[11067, 11131]","[11404.0, 11470.0]",-561.53,"[2780, 2892]","[2872.6, 2986.8]"
566.81,"[1684, 2020]","[1740.8, 2090.4]",-1844.4,"[5978, 6557]","[6172.7, 6763.6]",-2506.75,"[11721, 11737]","[12084.0, 12100.0]",-1257.1,"[3407, 3488]","[3512.2, 3594.8]"
1523.2,"[2368, 2755]","[2452.2, 2847.1]",-3193.9,"[7177, 7508]","[7396.5, 7735.2]",1932.95,"[14231, 14297]","[14666.0, 14733.0]",-674.92,"[4091, 4224]","[4212.5, 4350.6]"
986.65,"[2917, 3382]","[3012.3, 3486.7]",-2014.2,"[8237, 8588]","[8493.3, 8858.5]",30.47500000000001,"[14663, 14685]","[15110.0, 15133.0]",-845.58,"[4934, 5093]","[5089.2, 5254.6]"
288.2,"[3513, 4066]","[3620.3, 4186.5]",-1939.4,"[9055, 9518]","[9344.5, 9822.7]",-711.35,"[16509, 16586]","[17026.0, 17105.0]",1467.8,"[5199, 5251]","[5364.8, 5418.9]"
563.475,"[4249, 4909]","[4376.6, 5063.2]",-2070.3,"[10022, 10249]","[10337.0, 10568.0]",717.83,"[22412, 22446]","[23108.0, 23143.0]",-1430.9,"[6707, 6812]","[6916.6, 7023.7]"
2200.2,"[5117, 5174]","[5279.6, 5338.8]",-2105.45,"[10598, 11042]","[10924.0, 11379.0]",1216.6999999999998,"[22609, 22689]","[23313.0, 23396.0]",-8399.9,"[6939, 6964]","[7153.2, 7178.7]"
940.69,"[5275, 5637]","[5443.9, 5820.5]",-1889.8000000000002,"[11321, 11697]","[11668.0, 12059.0]",-494.81,"[23032, 23115]","[23753.0, 23840.0]",438.95,"[7568, 7708]","[7797.3, 7942.9]"
761.34,"[5664, 5953]","[5852.4, 6147.2]",-2011.5,"[12030, 12289]","[12405.0, 12675.0]",517.34,"[23146, 23173]","[23876.0, 23903.0]",-2370.2,"[8055, 8112]","[8303.8, 8363.3]"
557.43,"[6837, 6914]","[7049.2, 7127.7]",-4424.1,"[12653, 12678]","[13055.0, 13081.0]",2644.5,"[25716, 25733]","[26513.0, 26531.0]",-1852.9,"[8683, 8819]","[8957.3, 9098.9]"
-443.82,"[6989, 7152]","[7204.2, 7371.0]",-2275.55,"[12774, 13044]","[13179.0, 13454.0]",55.056,"[26154, 26203]","[26969.0, 27020.0]",-738.38,"[9626, 9781]","[9932.8, 10091.0]"
628.27,"[7732, 8031]","[7967.9, 8278.8]",-170.3,"[13088, 13193]","[13499.0, 13606.0]",681.935,"[26807, 26951]","[27649.0, 27796.0]",899.47,"[10464, 10515]","[10788.0, 10840.0]"
-1.8259,"[8137, 8212]","[8389.3, 8467.3]",-1342.9,"[13280, 13491]","[13695.0, 13910.0]",701.07,"[27599, 27758]","[28457.0, 28619.0]",224.07,"[12363, 12435]","[12752.0, 12827.0]"
589.05,"[8613, 8658]","[8884.5, 8931.3]",-1614.4,"[13762, 13964]","[14187.0, 14393.0]",-209.79,"[29672, 29821]","[30597.0, 30752.0]",1097.6,"[13593, 13666]","[14014.0, 14089.0]"
632.175,"[8843, 9031]","[9123.9, 9319.5]",-845.84,"[14075, 14207]","[14506.0, 14641.0]",-131.25,"[30502, 30678]","[31459.0, 31638.0]",71.477,"[15140, 15239]","[15606.0, 15709.0]"
1727.3,"[9806, 9997]","[10116.0, 10311.0]",-1328.8,"[14346, 14639]","[14783.0, 15085.0]",-545.27,"[33654, 33739]","[34711.0, 34798.0]",743.405,"[15628, 15740]","[16114.0, 16230.0]"
1024.2,"[10273, 10440]","[10593.0, 10763.0]",-2270.7,"[14709, 14831]","[15158.0, 15284.0]",1315.0,"[34241, 34264]","[35310.0, 35333.0]",-796.19,"[17242, 17370]","[17774.0, 17905.0]"
1439.3,"[10540, 10573]","[10865.0, 10899.0]",-2024.5,"[16082, 16484]","[16586.0, 17001.0]",-1400.4,"[34571, 34622]","[35646.0, 35698.0]",120.866,"[17791, 17849]","[18334.0, 18393.0]"
-378.75,"[11156, 11297]","[11496.0, 11643.0]",-2083.6499999999996,"[16611, 16829]","[17130.0, 17353.0]",330.015,"[36123, 36249]","[37242.0, 37373.0]",155.9665,"[19305, 19363]","[19906.0, 19966.0]"
-8.3418,"[11761, 12006]","[12125.0, 12380.0]",-1510.1999999999998,"[16967, 17217]","[17494.0, 17749.0]",1441.15,"[36943, 36983]","[38095.0, 38137.0]",-715.0550000000001,"[20240, 20542]","[20872.0, 21180.0]"
-974.19,"[12313, 12339]","[12700.0, 12727.0]",-2134.6,"[18803, 19100]","[19383.0, 19692.0]",272.24,"[37363, 37486]","[38533.0, 38659.0]",-2999.75,"[20698, 20738]","[21340.0, 21380.0]"
964.98,"[12459, 12625]","[12852.0, 13024.0]",-1381.4,"[19444, 20098]","[20050.0, 20728.0]",-545.8,"[40385, 40465]","[41645.0, 41728.0]",-1203.5,"[20796, 20905]","[21440.0, 21551.0]"
-2379.8,"[12703, 12750]","[13106.0, 13154.0]",-1952.1,"[21501, 22047]","[22160.0, 22728.0]",,,,-414.2,"[21117, 21384]","[21768.0, 22040.0]"
2305.65,"[13542, 13568]","[13962.0, 13989.0]",-1749.6999999999998,"[22104, 22388]","[22788.0, 23083.0]",,,,-29.41,"[24185, 24212]","[24935.0, 24963.0]"
1855.5,"[13691, 13738]","[14114.0, 14162.0]",-1714.1999999999998,"[22471, 22585]","[23169.0, 23288.0]",,,,-211.14,"[24312, 24463]","[25065.0, 25219.0]"
-1615.5,"[13989, 14050]","[14418.0, 14481.0]",-1328.9,"[22744, 23008]","[23453.0, 23728.0]",,,,236.47,"[24671, 24750]","[25432.0, 25512.0]"
-486.16499999999996,"[14856, 15116]","[15310.0, 15581.0]",-1450.15,"[23233, 23565]","[23964.0, 24303.0]",,,,-1797.6,"[25039, 25102]","[25809.0, 25875.0]"
150.98,"[15263, 15604]","[15734.0, 16089.0]",-2169.8,"[23853, 24080]","[24597.0, 24828.0]",,,,-804.9000000000001,"[28277, 28447]","[29149.0, 29324.0]"
-152.721,"[15764, 16058]","[16255.0, 16561.0]",-2058.2,"[25257, 25692]","[26036.0, 26488.0]",,,,-4182.2,"[28584, 28610]","[29465.0, 29492.0]"
984.35,"[16854, 16943]","[17378.0, 17469.0]",-1913.2,"[25793, 26130]","[26593.0, 26944.0]",,,,-47.304,"[31121, 31339]","[32090.0, 32313.0]"
