state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
-0.014858,"[12, 29]","[13.045, 30.386]",-0.0029139500000000002,"[54, 642]","[55.906, 658.57]",0.0011362,"[978, 1118]","[1008.2, 1154.3]",0.0054101,"[1650, 1729]","[1708.0, 1790.5]"
0.024681,"[666, 695]","[683.88, 713.93]",-0.0028893,"[720, 953]","[739.93, 982.24]",-0.0056137,"[3677, 3700]","[3788.3, 3811.7]",-0.012137499999999999,"[2125, 2151]","[2205.0, 2231.5]"
0.0025587,"[1754, 2023]","[1816.5, 2096.3]",-0.0035751,"[1178, 1606]","[1216.8, 1662.2]",5.716e-05,"[3893, 3981]","[4009.0, 4098.9]",0.010254,"[2231, 2264]","[2313.1, 2346.8]"
-0.00597895,"[2054, 2100]","[2132.6, 2179.5]",-0.002933,"[2533, 3335]","[2621.3, 3439.3]",0.0012021,"[6584, 6665]","[6788.2, 6870.8]",-0.0051303500000000005,"[2360, 2402]","[2444.7, 2487.6]"
0.00496305,"[2176, 2206]","[2257.0, 2287.6]",-0.0013669,"[3485, 3652]","[3592.4, 3762.8]",0.00899,"[6973, 7006]","[7185.0, 7218.7]",-0.0026042,"[4006, 4109]","[4124.6, 4230.5]"
0.0021547,"[2289, 2335]","[2372.3, 2419.2]",-0.00021983849999999999,"[3760, 3868]","[3872.9, 3983.5]",0.0030359999999999996,"[9071, 9101]","[9360.9, 9391.5]",0.0011652,"[7031, 7112]","[7244.2, 7326.8]"
0.0064627,"[2427, 2508]","[2513.1, 2595.8]",-0.00252725,"[5635, 6195]","[5820.1, 6391.4]",0.00092883,"[10971, 11056]","[11300.0, 11387.0]",-0.00036663,"[8229, 8365]","[8481.4, 8623.0]"
-0.0034801,"[3360, 3460]","[3464.8, 3566.9]",-0.00187665,"[6259, 6559]","[6456.7, 6762.7]",0.012123,"[11570, 11606]","[11921.0, 11959.0]",0.00013136500000000001,"[9126, 9320]","[9417.0, 9614.9]"
0.0015208,"[4134, 5522]","[4256.5, 5700.5]",-0.00257425,"[6690, 6948]","[6896.3, 7159.5]",0.001699,"[13487, 13592]","[13900.0, 14008.0]",0.0080478,"[9999, 10065]","[10308.0, 10375.0]"
-0.00075804,"[5549, 5610]","[5732.4, 5794.6]",-0.0027973,"[8481, 9046]","[8743.7, 9335.4]",0.0072519,"[14338, 14375]","[14769.0, 14807.0]",0.0027527,"[11920, 12079]","[12285.0, 12451.0]"
0.0015638,"[7137, 8204]","[7352.3, 8455.4]",-0.001953,"[9486, 9975]","[9784.3, 10283.0]",0.00071644,"[15480, 15556]","[15952.0, 16031.0]",-0.00077761,"[12923, 13036]","[13325.0, 13440.0]"
0.0045747,"[8390, 8457]","[8649.0, 8718.7]",-0.0020904,"[10306, 10588]","[10621.0, 10908.0]",0.0045157,"[15903, 15971]","[16392.0, 16463.0]",0.0015163,"[14404, 14481]","[14836.0, 14915.0]"
0.0033273,"[9345, 9461]","[9640.4, 9758.8]",-0.0028488,"[10650, 10947]","[10972.0, 11275.0]",0.000214615,"[16391, 16489]","[16896.0, 16996.0]",-0.0001196615,"[19102, 19268]","[19684.0, 19856.0]"
0.0027758,"[10090, 10281]","[10400.0, 10595.0]",-0.0035833,"[11080, 11546]","[11412.0, 11896.0]",0.000738395,"[21786, 21936]","[22440.0, 22596.0]",0.01809,"[21960, 21981]","[22621.0, 22643.0]"
0.002179,"[12103, 12898]","[12476.0, 13300.0]",-0.00362405,"[11630, 11706]","[11983.0, 12063.0]",0.00010515,"[23286, 23375]","[23998.0, 24089.0]",0.0024779,"[24851, 24997]","[25595.0, 25745.0]"
-0.0063356,"[13972, 13999]","[14395.0, 14423.0]",-0.0023367,"[11761, 11896]","[12120.0, 12260.0]",0.012505,"[23529, 23544]","[24246.0, 24262.0]",0.0035968,"[25888, 25960]","[26671.0, 26746.0]"
0.0024214500000000003,"[14505, 14833]","[14940.0, 15279.0]",-0.002045,"[13060, 13462]","[13465.0, 13875.0]",0.0039993500000000005,"[23757, 23853]","[24479.0, 24577.0]",0.001451,"[26390, 26487]","[27194.0, 27294.0]"
0.00080387,"[15995, 16015]","[16488.0, 16508.0]",-0.0017722,"[13617, 13948]","[14033.0, 14371.0]",-0.00010429,"[24144, 24239]","[24874.0, 24970.0]",-0.0007155,"[28101, 28218]","[28946.0, 29066.0]"
0.0024505,"[16842, 17190]","[17356.0, 17712.0]",-0.0020218,"[14023, 14314]","[14448.0, 14744.0]",-0.0071132,"[24744, 24826]","[25486.0, 25570.0]",0.00761385,"[33213, 33235]","[34220.0, 34243.0]"
0.0014777,"[17661, 18726]","[18192.0, 19292.0]",-0.0025512,"[14857, 15456]","[15304.0, 15927.0]",0.0052103,"[27780, 27823]","[28618.0, 28662.0]",-0.0027129,"[34641, 34728]","[35686.0, 35774.0]"
0.0026579,"[19292, 20163]","[19881.0, 20779.0]",-0.0018968,"[15580, 15879]","[16056.0, 16367.0]",0.0029697,"[29579, 29614]","[30474.0, 30510.0]",0.0028913,"[34771, 34841]","[35818.0, 35890.0]"
0.0010664,"[20529, 20904]","[21152.0, 21535.0]",-0.0012942,"[16035, 16366]","[16533.0, 16871.0]",-0.0011084,"[30130, 30185]","[31051.0, 31107.0]",0.0015622,"[36463, 36662]","[37563.0, 37770.0]"
0.0010819,"[22427, 22616]","[23108.0, 23304.0]",-0.001865,"[16513, 16817]","[17021.0, 17331.0]",-0.0002499,"[30535, 30671]","[31464.0, 31603.0]",0.003768,"[36901, 36949]","[38019.0, 38069.0]"
0.0015377,"[25021, 25864]","[25770.0, 26646.0]",-0.0031841,"[17215, 17636]","[17737.0, 18167.0]",0.010657,"[31221, 31264]","[32164.0, 32207.0]",-0.00107345,"[37800, 37882]","[38943.0, 39026.0]"
0.0029043999999999997,"[25984, 26366]","[26771.0, 27169.0]",-0.0035247,"[18750, 19055]","[19317.0, 19635.0]",0.0072221,"[31641, 31679]","[32592.0, 32631.0]",-0.0103673,"[38737, 38759]","[39899.0, 39922.0]"
0.00035475,"[26541, 26814]","[27354.0, 27633.0]",-0.0019006499999999998,"[20188, 20504]","[20804.0, 21127.0]",-0.00059857,"[31829, 31847]","[32784.0, 32803.0]",0.025504,"[39561, 39582]","[40751.0, 40773.0]"
0.0094829,"[28035, 28076]","[28879.0, 28921.0]",-0.0029154000000000003,"[20929, 21761]","[21560.0, 22414.0]",0.00182215,"[33105, 33189]","[34108.0, 34195.0]",-0.0038134,"[39865, 39966]","[41067.0, 41173.0]"
0.0010106,"[28243, 28445]","[29091.0, 29298.0]",-0.0016783,"[22004, 22403]","[22668.0, 23083.0]",-0.0022318,"[33791, 33892]","[34818.0, 34922.0]",,,
-0.0065682499999999994,"[28833, 28909]","[29698.0, 29777.0]",-0.0024952,"[22640, 23261]","[23329.0, 23973.0]",-0.0022221000000000003,"[34343, 34397]","[35382.0, 35437.0]",,,
0.0010153,"[29033, 29274]","[29906.0, 30157.0]",-0.0018246,"[23399, 23504]","[24114.0, 24221.0]",0.0024108,"[38697, 38712]","[39858.0, 39874.0]",,,
0.0056111,"[29638, 29783]","[30535.0, 30686.0]",-0.00050642,"[23569, 23733]","[24287.0, 24454.0]",-8.31445e-05,"[39030, 39172]","[40199.0, 40346.0]",,,
0.0023582,"[32159, 32588]","[33124.0, 33570.0]",-0.0022389000000000003,"[23878, 24120]","[24602.0, 24849.0]",0.000754865,"[41020, 41120]","[42263.0, 42365.0]",,,
0.00041787,"[34422, 34617]","[35462.0, 35661.0]",-0.0027051,"[24263, 24536]","[24995.0, 25274.0]",0.00173865,"[41565, 41677]","[42819.0, 42933.0]",,,
0.0017888,"[34866, 35953]","[35915.0, 37033.0]",-0.0017618,"[24587, 24720]","[25326.0, 25461.0]",,,,,,
0.0013823,"[36686, 36877]","[37795.0, 37994.0]",-0.00280065,"[26839, 27073]","[27658.0, 27897.0]",,,,,,
-0.0014522,"[36973, 37008]","[38094.0, 38130.0]",-0.0027171499999999998,"[27118, 27508]","[27943.0, 28341.0]",,,,,,
0.00087728,"[37036, 37776]","[38163.0, 38918.0]",-0.0037597,"[27557, 27755]","[28391.0, 28593.0]",,,,,,
-0.00013675,"[37906, 38155]","[39051.0, 39305.0]",-0.001335725,"[27878, 28010]","[28718.0, 28854.0]",,,,,,
-0.0064014,"[38423, 38480]","[39578.0, 39637.0]",-0.0040051,"[28470, 28809]","[29323.0, 29673.0]",,,,,,
0.00361385,"[39679, 39841]","[40874.0, 41042.0]",-0.000435175,"[28933, 29009]","[29802.0, 29881.0]",,,,,,
0.00567755,"[39990, 40028]","[41197.0, 41237.0]",-0.0011121,"[29298, 29555]","[30182.0, 30449.0]",,,,,,
0.0012469,"[40426, 40466]","[41651.0, 41693.0]",-0.0014304,"[29807, 30106]","[30711.0, 31026.0]",,,,,,
,,,-0.0017483,"[30210, 30511]","[31132.0, 31439.0]",,,,,,
,,,-0.0017087,"[30696, 31197]","[31628.0, 32139.0]",,,,,,
,,,-0.000791565,"[31288, 31616]","[32232.0, 32567.0]",,,,,,
,,,-0.00372265,"[31704, 31804]","[32656.0, 32759.0]",,,,,,
,,,-0.0011543,"[31872, 32135]","[32828.0, 33099.0]",,,,,,
,,,-0.0023599,"[32612, 33081]","[33595.0, 34083.0]",,,,,,
,,,-0.0027117,"[33259, 33660]","[34268.0, 34685.0]",,,,,,
,,,-0.00224025,"[33704, 33766]","[34730.0, 34793.0]",,,,,,
,,,-0.0028637,"[33952, 34319]","[34983.0, 35357.0]",,,,,,
,,,-0.00303655,"[35977, 36439]","[37058.0, 37538.0]",,,,,,
,,,-0.00447375,"[38180, 38398]","[39330.0, 39553.0]",,,,,,
,,,-0.0031391,"[38505, 38672]","[39662.0, 39833.0]",,,,,,
,,,-0.0033110500000000003,"[38784, 39006]","[39947.0, 40174.0]",,,,,,
,,,-0.00178515,"[39229, 39537]","[40406.0, 40726.0]",,,,,,
,,,-0.002552,"[39606, 39655]","[40798.0, 40849.0]",,,,,,
,,,-0.0035702,"[40053, 40402]","[41263.0, 41626.0]",,,,,,
,,,-0.0028402,"[40490, 40822]","[41718.0, 42061.0]",,,,,,
,,,-0.002975,"[40863, 40996]","[42103.0, 42238.0]",,,,,,
,,,-0.0041149,"[41145, 41402]","[42390.0, 42653.0]",,,,,,
,,,-0.0010669,"[41446, 41541]","[42698.0, 42794.0]",,,,,,
,,,-0.0022111,"[41702, 41927]","[42959.0, 43188.0]",,,,,,
