state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
0.0012385,"[423, 606]","[432.52, 619.22]",-0.0015071,"[12, 218]","[13.219, 223.38]",0.00010102,"[5481, 5644]","[5648.7, 5818.3]",-0.000274235,"[274, 398]","[280.5, 407.02]"
0.00074766,"[834, 1261]","[852.32, 1291.0]",-0.0013399,"[1469, 1688]","[1507.7, 1735.4]",0.00051843,"[11320, 11523]","[11664.0, 11871.0]",-0.0006563750000000001,"[631, 809]","[644.72, 826.82]"
-0.0024652,"[1374, 1445]","[1408.6, 1482.7]",-0.000748355,"[1740, 1922]","[1789.5, 1979.0]",0.0103631,"[13678, 13710]","[14108.0, 14140.0]",0.00028756855,"[1285, 1349]","[1316.0, 1382.5]"
0.0022113,"[1946, 1999]","[2004.0, 2059.1]",-0.00203845,"[2205, 2495]","[2273.4, 2575.3]",0.0018962,"[14000, 14105]","[14436.0, 14543.0]",-0.0034165,"[2023, 2057]","[2084.1, 2119.4]"
-0.0025063999999999998,"[2082, 2180]","[2145.4, 2247.4]",-0.0020267,"[3286, 3551]","[3392.5, 3662.9]",0.00286275,"[16732, 16778]","[17255.0, 17303.0]",-0.00028304,"[2561, 2656]","[2644.0, 2742.8]"
-0.0067411,"[2520, 2537]","[2601.3, 2619.0]",-0.0037853999999999995,"[3596, 3696]","[3708.8, 3810.8]",0.000111067,"[17456, 17538]","[17999.0, 18082.0]",5.1282e-05,"[2776, 2795]","[2867.6, 2887.3]"
0.00066923,"[2681, 2752]","[2768.8, 2842.6]",-0.0040218,"[4332, 4597]","[4460.1, 4731.2]",0.0016022,"[19097, 19188]","[19683.0, 19778.0]",-0.002428,"[3745, 3872]","[3860.8, 3990.7]"
0.00054703,"[2816, 3261]","[2913.0, 3367.0]",-0.0012838,"[4645, 4968]","[4780.4, 5115.1]",0.0056248,"[21223, 21262]","[21880.0, 21919.0]",-0.00052689,"[4993, 5098]","[5141.0, 5250.2]"
0.0022996,"[3897, 4307]","[4016.2, 4434.6]",-0.0005715049999999999,"[5270, 5456]","[5429.2, 5622.7]",0.00057673,"[25679, 25794]","[26464.0, 26583.0]",-0.0013982,"[6320, 6420]","[6524.8, 6626.8]"
0.00085254,"[5123, 5202]","[5276.2, 5358.4]",-0.00233775,"[5699, 5879]","[5875.5, 6062.7]",0.0014247,"[29455, 29608]","[30356.0, 30515.0]",-0.00044349,"[7131, 7396]","[7352.2, 7622.5]"
0.0026058,"[6269, 6295]","[6468.4, 6495.5]",-0.0020543,"[5919, 6244]","[6104.3, 6442.4]",-0.0016932,"[32722, 32763]","[33722.0, 33765.0]",0.000419595,"[8477, 8567]","[8732.3, 8825.9]"
0.001046,"[6445, 6698]","[6652.3, 6910.4]",-0.0013114,"[6723, 7075]","[6935.9, 7295.0]",0.005117,"[33236, 33259]","[34257.0, 34281.0]",-0.00031781,"[9284, 9325]","[9571.8, 9614.4]"
0.0020921,"[7421, 8038]","[7648.0, 8278.1]",-0.00171215,"[8063, 8429]","[8303.7, 8682.3]",0.00211595,"[33629, 33751]","[34666.0, 34793.0]",0.0001488795,"[9988, 10062]","[10305.0, 10380.0]"
0.00099304,"[8592, 8771]","[8851.9, 9038.1]",-0.0021233,"[8796, 9206]","[9064.1, 9490.6]",0.0040475500000000005,"[34374, 34400]","[35441.0, 35468.0]",0.00090196,"[10290, 10335]","[10613.0, 10659.0]"
-0.0016156999999999999,"[9230, 9260]","[9515.6, 9546.8]",-0.0023596,"[9438, 9935]","[9732.0, 10251.0]",0.0012363,"[39185, 39306]","[40388.0, 40512.0]",-0.00321795,"[10545, 10567]","[10873.0, 10895.0]"
0.0009285999999999999,"[9349, 9413]","[9639.4, 9706.0]",-0.0014821,"[10651, 11296]","[10981.0, 11639.0]",,,,-0.00276125,"[12027, 12103]","[12393.0, 12472.0]"
0.0029154000000000003,"[10086, 10266]","[10405.0, 10588.0]",-0.001356,"[11572, 11945]","[11921.0, 12308.0]",,,,-0.014123,"[12146, 12163]","[12517.0, 12535.0]"
0.001707,"[10360, 10520]","[10684.0, 10848.0]",-0.0010092,"[12338, 12545]","[12717.0, 12932.0]",,,,-0.0137695,"[12615, 12633]","[13005.0, 13024.0]"
0.0107255,"[10592, 10626]","[10921.0, 10956.0]",-0.0013969,"[12957, 13395]","[13361.0, 13819.0]",,,,0.00180415,"[12725, 12787]","[13120.0, 13184.0]"
0.00973935,"[11969, 12003]","[12333.0, 12368.0]",-0.0014644,"[13440, 13654]","[13865.0, 14083.0]",,,,0.0042327,"[14483, 14510]","[14929.0, 14956.0]"
0.0023133,"[12187, 12314]","[12560.0, 12692.0]",0.00011098,"[13734, 13975]","[14165.0, 14411.0]",,,,0.0005059649999999999,"[14619, 14701]","[15068.0, 15151.0]"
0.013689,"[12569, 12591]","[12957.0, 12980.0]",-0.0033185999999999997,"[14216, 14430]","[14656.0, 14875.0]",,,,-0.000247175,"[15394, 15916]","[15864.0, 16407.0]"
0.000706,"[12657, 12701]","[13049.0, 13095.0]",-0.00223485,"[14934, 15336]","[15389.0, 15803.0]",,,,0.0002503565,"[17618, 17718]","[18164.0, 18266.0]"
-0.0008791000000000001,"[12811, 12933]","[13209.0, 13336.0]",-0.001244,"[16349, 16708]","[16857.0, 17231.0]",,,,0.000222705,"[20048, 20178]","[20672.0, 20807.0]"
0.0078581,"[14129, 14152]","[14568.0, 14591.0]",-0.0016482,"[16959, 17432]","[17491.0, 17974.0]",,,,-0.00036519,"[21286, 21461]","[21944.0, 22123.0]"
0.001089,"[14534, 14595]","[14981.0, 15043.0]",-0.00084141,"[17881, 18400]","[18432.0, 18962.0]",,,,-0.0026684,"[22198, 22297]","[22876.0, 22979.0]"
0.00017392,"[14725, 14910]","[15176.0, 15364.0]",-0.0009917,"[18468, 19073]","[19031.0, 19658.0]",,,,-0.00019371,"[22840, 22912]","[23544.0, 23619.0]"
0.0025704,"[15940, 16325]","[16432.0, 16832.0]",-0.00064288,"[19247, 19542]","[19839.0, 20146.0]",,,,0.00074509,"[23232, 23289]","[23952.0, 24011.0]"
-0.0033316,"[16807, 16934]","[17336.0, 17466.0]",-0.00145815,"[19602, 19978]","[20208.0, 20599.0]",,,,-0.0012327,"[24237, 24528]","[24992.0, 25288.0]"
-0.001120335,"[17562, 17594]","[18107.0, 18139.0]",-0.00156875,"[20423, 21199]","[21064.0, 21855.0]",,,,-0.0081636,"[25868, 25894]","[26660.0, 26687.0]"
0.0020507,"[17743, 17856]","[18291.0, 18407.0]",-0.001824,"[23598, 24159]","[24332.0, 24912.0]",,,,-0.0023674,"[25952, 25987]","[26748.0, 26784.0]"
0.0234665,"[18425, 18443]","[18987.0, 19006.0]",-0.0016691,"[24888, 25655]","[25656.0, 26439.0]",,,,0.0011079,"[26376, 26439]","[27189.0, 27255.0]"
0.0262415,"[20002, 20024]","[20624.0, 20647.0]",-0.0011824,"[26563, 27044]","[27384.0, 27884.0]",,,,-0.00044735,"[27113, 27271]","[27956.0, 28120.0]"
0.00269415,"[20202, 20274]","[20832.0, 20907.0]",-0.0022356,"[28035, 28082]","[28900.0, 28948.0]",,,,-0.001599,"[27298, 27367]","[28148.0, 28219.0]"
0.001363595,"[20303, 20399]","[20941.0, 21039.0]",-0.00216935,"[28267, 28747]","[29137.0, 29627.0]",,,,-0.0018505,"[30794, 30863]","[31754.0, 31824.0]"
0.0011477,"[21486, 22174]","[22148.0, 22851.0]",-0.00031329,"[28916, 29429]","[29800.0, 30328.0]",,,,0.001035845,"[31218, 31306]","[32186.0, 32276.0]"
0.0012764,"[22322, 22816]","[23005.0, 23519.0]",-0.0012303499999999998,"[29763, 30423]","[30676.0, 31363.0]",,,,-0.0084511,"[33775, 33798]","[34818.0, 34841.0]"
0.0007797349999999999,"[22936, 23208]","[23644.0, 23927.0]",-0.00032805,"[31500, 31526]","[32474.0, 32501.0]",,,,-0.0047467,"[35667, 35702]","[36760.0, 36796.0]"
0.00049071,"[23313, 23574]","[24036.0, 24307.0]",-0.00127165,"[31625, 32149]","[32602.0, 33136.0]",,,,-0.008274,"[35969, 35991]","[37069.0, 37091.0]"
-0.011214,"[24183, 24212]","[24937.0, 24967.0]",-0.0028985499999999997,"[32449, 32697]","[33442.0, 33697.0]",,,,-0.0071715,"[36085, 36104]","[37187.0, 37207.0]"
0.00154105,"[24552, 24864]","[25313.0, 25631.0]",-0.00063968,"[32826, 33212]","[33830.0, 34232.0]",,,,-0.0048022,"[36978, 37059]","[38116.0, 38200.0]"
0.00951505,"[25818, 25844]","[26608.0, 26635.0]",-0.0008851149999999999,"[33313, 33605]","[34337.0, 34641.0]",,,,-0.00338,"[37301, 37382]","[38452.0, 38536.0]"
0.0019594499999999997,"[26011, 26351]","[26809.0, 27163.0]",-0.0010401,"[33822, 34349]","[34866.0, 35416.0]",,,,-0.00026013,"[37706, 37755]","[38873.0, 38924.0]"
0.0014099,"[26463, 26539]","[27280.0, 27359.0]",-0.0012397,"[34464, 34828]","[35533.0, 35904.0]",,,,-0.00038355,"[40469, 40604]","[41716.0, 41856.0]"
0.0062313,"[27068, 27089]","[27909.0, 27931.0]",-0.00083671,"[34903, 35246]","[35981.0, 36331.0]",,,,-0.0055075,"[40938, 40969]","[42204.0, 42236.0]"
0.0009914400000000001,"[27392, 28010]","[28244.0, 28875.0]",-0.000763165,"[36336, 36954]","[37448.0, 38091.0]",,,,-0.0023225499999999996,"[41097, 41137]","[42369.0, 42411.0]"
0.00152085,"[28106, 28242]","[28973.0, 29112.0]",-0.0098435,"[37783, 37808]","[38957.0, 38983.0]",,,,0.0015502,"[41422, 41543]","[42708.0, 42832.0]"
0.0016478,"[28771, 28892]","[29652.0, 29775.0]",-0.0014833,"[38036, 39161]","[39216.0, 40363.0]",,,,,,
0.0053406,"[29632, 29739]","[30540.0, 30651.0]",-0.0019845,"[39361, 39521]","[40568.0, 40731.0]",,,,,,
0.0010871499999999998,"[30447, 30775]","[31388.0, 31729.0]",-0.0028336,"[39566, 39685]","[40777.0, 40900.0]",,,,,,
0.0019422,"[30888, 31193]","[31850.0, 32161.0]",-0.0017962,"[40688, 40787]","[41944.0, 42047.0]",,,,,,
0.0014568,"[31330, 31475]","[32301.0, 32449.0]",-0.0039367,"[40834, 40864]","[42096.0, 42127.0]",,,,,,
-0.000575015,"[31551, 31601]","[32526.0, 32577.0]",,,,,,,,,
0.00085575,"[32173, 32424]","[33161.0, 33417.0]",,,,,,,,,
-0.0051522,"[34852, 34879]","[35929.0, 35956.0]",,,,,,,,,
0.0015089,"[35271, 35642]","[36356.0, 36735.0]",,,,,,,,,
3.9613e-05,"[35726, 35944]","[36821.0, 37043.0]",,,,,,,,,
0.00240525,"[36015, 36061]","[37116.0, 37163.0]",,,,,,,,,
0.0050638,"[36128, 36312]","[37232.0, 37423.0]",,,,,,,,,
0.00184695,"[37083, 37277]","[38225.0, 38427.0]",,,,,,,,,
0.0024879,"[37406, 37682]","[38561.0, 38848.0]",,,,,,,,,
-0.0024531,"[37833, 38012]","[39008.0, 39191.0]",,,,,,,,,
0.0006707449999999999,"[39709, 40445]","[40925.0, 41691.0]",,,,,,,,,
0.00920935,"[40628, 40664]","[41881.0, 41919.0]",,,,,,,,,
-0.0126625,"[40888, 40914]","[42152.0, 42179.0]",,,,,,,,,
-0.0001838705,"[40993, 41073]","[42261.0, 42344.0]",,,,,,,,,
-0.0021361,"[41161, 41253]","[42436.0, 42531.0]",,,,,,,,,
0.00294525,"[41285, 41397]","[42568.0, 42683.0]",,,,,,,,,
0.0012745,"[41568, 41892]","[42857.0, 43188.0]",,,,,,,,,
