state4.2
"[437.86, 468.5]"
"[2992.4, 3131.1]"
"[3624.9, 3726.9]"
"[4208.5, 4546.5]"
"[5408.2, 5502.9]"
"[5592.4, 5646.5]"
"[6189.4, 6370.9]"
"[6540.3, 6599.4]"
"[7028.9, 7083.0]"
"[8979.9, 9115.2]"
"[9188.1, 9243.2]"
"[10330.0, 10445.0]"
"[11153.0, 11228.0]"
"[11841.0, 11964.0]"
"[12361.0, 12412.0]"
"[12742.0, 12785.0]"
"[12881.0, 12936.0]"
"[13326.0, 13370.0]"
"[13469.0, 13652.0]"
"[13712.0, 13767.0]"
"[13825.0, 13947.0]"
"[15153.0, 15307.0]"
"[15781.0, 15892.0]"
"[16124.0, 16168.0]"
"[16653.0, 16819.0]"
"[17645.0, 17764.0]"
"[18397.0, 18512.0]"
"[19801.0, 19932.0]"
"[20313.0, 20379.0]"
"[20552.0, 20576.0]"
"[20608.0, 20747.0]"
"[21224.0, 21464.0]"
"[22421.0, 22496.0]"
"[24073.0, 24180.0]"
"[26541.0, 26696.0]"
"[26964.0, 27076.0]"
"[27445.0, 27568.0]"
"[28349.0, 28443.0]"
"[29209.0, 29228.0]"
"[31028.0, 31163.0]"
"[31612.0, 31740.0]"
"[32080.0, 32247.0]"
"[32505.0, 32692.0]"
"[32989.0, 33072.0]"
"[33968.0, 34132.0]"
"[34447.0, 34808.0]"
"[34924.0, 34956.0]"
"[35565.0, 35644.0]"
"[35805.0, 35840.0]"
"[36109.0, 36292.0]"
"[40004.0, 40104.0]"
"[40553.0, 40595.0]"
"[40900.0, 41007.0]"
"[42116.0, 42135.0]"
""
""
""
