state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
4.2701,"[12, 71]","[12.720999999999998, 72.94]",4.1777,"[3027, 3820]","[3128.0, 3938.1]",4.2671,"[3844, 3943]","[3963.2, 4065.6]",4.21815,"[96, 158]","[98.441, 161.68]"
4.2628,"[183, 600]","[187.18, 616.66]",4.1737,"[3987, 4186]","[4111.3, 4318.3]",4.2589999999999995,"[9268, 9357]","[9569.4, 9660.2]",4.23,"[625, 704]","[642.7, 724.9]"
4.2486,"[729, 1392]","[750.9, 1440.8]",4.1776,"[4272, 4597]","[4407.7, 4745.9]",4.2476,"[10047, 10101]","[10365.0, 10420.0]",4.1904,"[1416, 1434]","[1465.8, 1484.5]"
4.2498,"[1459, 1900]","[1510.5, 1969.4]",4.173,"[4645, 4731]","[4795.9, 4885.4]",4.255,"[33084, 33175]","[34120.0, 34215.0]",4.2161,"[1925, 1980]","[1995.4, 2052.7]"
4.2215,"[2005, 2222]","[2078.7, 2306.2]",4.1782,"[4844, 4901]","[5002.9, 5062.3]",4.262449999999999,"[34436, 34520]","[35511.0, 35597.0]",4.2047,"[2247, 2355]","[2331.7, 2441.9]"
4.2363,"[2380, 2535]","[2467.4, 2625.7]",4.1701999999999995,"[6207, 6257]","[6411.3, 6462.3]",4.26705,"[34918, 35046]","[36003.0, 36133.0]",4.2048,"[2560, 2735]","[2651.2, 2829.7]"
4.2433499999999995,"[2760, 3002]","[2855.2, 3102.5]",4.168900000000001,"[6376, 6456]","[6584.0, 6665.6]",4.2787500000000005,"[35636, 35690]","[36742.0, 36798.0]",4.2105,"[6587, 6684]","[6799.3, 6898.3]"
4.2584,"[4210, 4247]","[4343.3, 4381.7]",4.162,"[7922, 8158]","[8172.1, 8417.5]",8.24365,"[40012, 40052]","[41263.0, 41305.0]",4.1943,"[6830, 6856]","[7047.2, 7073.7]"
4.252549999999999,"[4756, 4820]","[4911.4, 4977.9]",4.166,"[8468, 8693]","[8740.2, 8974.2]",8.28675,"[41600, 41658]","[42897.0, 42956.0]",4.2069,"[7338, 7535]","[7567.3, 7769.7]"
4.2451,"[4925, 6182]","[5087.3, 6385.8]",4.1692,"[8924, 9243]","[9214.7, 9543.9]",,,,4.1861,"[7595, 7662]","[7832.0, 7901.6]"
4.22955,"[6281, 6351]","[6487.1, 6558.5]",4.1735,"[9402, 10023]","[9706.0, 10340.0]",,,,4.2196,"[8217, 8359]","[8479.0, 8626.6]"
4.2527,"[6481, 6562]","[6691.1, 6773.8]",4.1718,"[10145, 10454]","[10465.0, 10780.0]",,,,4.2094,"[10765, 10904]","[11098.0, 11241.0]"
4.22875,"[6709, 6805]","[6923.8, 7021.7]",4.1601,"[31392, 31547]","[32367.0, 32526.0]",,,,4.2104,"[11142, 11283]","[11489.0, 11636.0]"
4.2509,"[6881, 7314]","[7099.2, 7541.9]",4.1591,"[32521, 32724]","[33535.0, 33746.0]",,,,4.190200000000001,"[11484, 11510]","[11845.0, 11872.0]"
4.2249,"[7686, 7897]","[7926.6, 8146.1]",4.1578,"[32921, 33060]","[33951.0, 34095.0]",,,,4.2047,"[11749, 11792]","[12121.0, 12165.0]"
4.2467500000000005,"[8383, 8443]","[8651.8, 8714.2]",4.1631,"[33584, 33650]","[34642.0, 34709.0]",,,,4.2033,"[11968, 12025]","[12349.0, 12408.0]"
4.2402,"[8717, 8900]","[8999.3, 9189.7]",4.1556,"[33690, 33972]","[34750.0, 35038.0]",,,,4.189,"[12385, 12457]","[12782.0, 12857.0]"
4.24615,"[10478, 10740]","[10805.0, 11073.0]",4.1744,"[34012, 34411]","[35078.0, 35486.0]",,,,4.197900000000001,"[12613, 12651]","[13020.0, 13059.0]"
4.2496,"[10928, 11118]","[11266.0, 11464.0]",4.1736,"[34564, 34894]","[35642.0, 35978.0]",,,,4.1905,"[12726, 12942]","[13136.0, 13356.0]"
4.2478,"[11307, 11460]","[11661.0, 11820.0]",4.18005,"[35086, 35612]","[36174.0, 36717.0]",,,,4.1842500000000005,"[13072, 13188]","[13489.0, 13607.0]"
4.251,"[11534, 11725]","[11897.0, 12096.0]",4.1767,"[35733, 36101]","[36843.0, 37226.0]",,,,4.1748,"[13682, 13701]","[14112.0, 14131.0]"
4.2256,"[11816, 11944]","[12190.0, 12324.0]",8.3369,"[39597, 39819]","[40831.0, 41062.0]",,,,4.2001,"[13746, 13867]","[14177.0, 14300.0]"
