state1.2
"[13.019, 1788.3]"
"[1913.8, 2667.8]"
"[3149.7, 3464.3]"
"[3499.2, 3564.5]"
"[3670.6, 3849.3]"
"[3994.1, 4384.9]"
"[4518.5, 4608.6]"
"[5778.3, 6452.4]"
"[6537.8, 6668.8]"
"[6865.5, 6905.0]"
"[6977.8, 7073.5]"
"[7106.5, 7369.7]"
"[7543.1, 8117.5]"
"[8186.9, 8685.1]"
"[8879.1, 8965.0]"
"[9075.2, 9224.9]"
"[9431.0, 9689.1]"
"[9781.7, 10093.0]"
"[10255.0, 10926.0]"
"[11079.0, 11237.0]"
"[11347.0, 11537.0]"
"[12626.0, 12682.0]"
"[12763.0, 13233.0]"
"[13347.0, 13593.0]"
"[13670.0, 14401.0]"
"[14543.0, 14737.0]"
"[14855.0, 15257.0]"
"[15334.0, 15353.0]"
"[15451.0, 16074.0]"
"[16198.0, 16657.0]"
"[16823.0, 17121.0]"
"[17198.0, 17448.0]"
"[17625.0, 17789.0]"
"[18041.0, 18555.0]"
"[18664.0, 18687.0]"
"[18828.0, 19715.0]"
"[20052.0, 20539.0]"
"[20672.0, 20940.0]"
"[21079.0, 22616.0]"
"[22929.0, 23584.0]"
"[23769.0, 24264.0]"
"[24589.0, 24783.0]"
"[27136.0, 27219.0]"
"[27320.0, 27976.0]"
"[28045.0, 28271.0]"
"[28344.0, 28595.0]"
"[28725.0, 28947.0]"
"[29069.0, 29396.0]"
"[29596.0, 29683.0]"
"[31196.0, 32540.0]"
"[32652.0, 33304.0]"
"[33400.0, 33571.0]"
"[33725.0, 33843.0]"
"[34609.0, 34636.0]"
"[34860.0, 35535.0]"
"[38019.0, 38444.0]"
"[38573.0, 38680.0]"
"[38792.0, 39068.0]"
"[39376.0, 40291.0]"
"[41084.0, 41495.0]"
"[41624.0, 41831.0]"
"[41996.0, 42044.0]"
"[42212.0, 42414.0]"
"[42741.0, 42811.0]"
