state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
55.57,"[11, 1210]","[514.28, 1737.4]",-129.54,"[2921, 3066]","[3505.8, 3656.6]",49.342,"[25866, 26033]","[27145.0, 27316.0]",-489.29,"[1235, 1280]","[1762.9, 1808.8]"
-48.643,"[1305, 1496]","[1834.3, 2029.3]",-73.031,"[3156, 3443]","[3750.4, 4048.9]",21.17,"[27720, 27814]","[29065.0, 29163.0]",184.59,"[1521, 1609]","[2054.8, 2144.7]"
-97.71700000000001,"[1634, 1839]","[2170.4, 2380.6]",270.825,"[10013, 10081]","[10817.0, 10887.0]",,,,13.796,"[1864, 1909]","[2406.3, 2452.9]"
99.899,"[1933, 2005]","[2477.9, 2552.7]",-33.441,"[10172, 10289]","[10982.0, 11104.0]",,,,-2.4657000000000004,"[2030, 2082]","[2578.7, 2632.9]"
-52.828,"[2107, 2678]","[2658.9, 3252.8]",-163.69,"[10500, 10557]","[11325.0, 11383.0]",,,,137.7275,"[2703, 2751]","[3278.8, 3328.7]"
400.85,"[2848, 2897]","[3429.8, 3480.7]",20.2755,"[10695, 11055]","[11524.0, 11891.0]",,,,-28.701,"[2802, 2824]","[3381.7, 3404.8]"
-414.47,"[3091, 3132]","[3682.6, 3725.2]",64.931,"[11335, 11380]","[12177.0, 12223.0]",,,,-653.4300000000001,"[3812, 3846]","[4430.4, 4465.1]"
-133.1,"[3468, 3787]","[4074.9, 4404.9]",77.666,"[11441, 11678]","[12285.0, 12527.0]",,,,305.275,"[4040, 4070]","[4663.0, 4693.6]"
-217.57,"[3871, 4015]","[4490.6, 4637.5]",122.1,"[12309, 12394]","[13172.0, 13260.0]",,,,160.1135,"[4263, 4317]","[4890.5, 4945.6]"
166.36,"[4095, 4238]","[4719.1, 4865.0]",4.8745,"[12513, 12701]","[13384.0, 13579.0]",,,,-110.72,"[8453, 8510]","[9201.5, 9259.7]"
14.6265,"[4342, 8428]","[4971.1, 9176.0]",-19.8223,"[12795, 13067]","[13677.0, 13960.0]",,,,-1266.5,"[9786, 9820]","[10581.0, 10616.0]"
-0.7336199999999999,"[8535, 9762]","[9285.2, 10556.0]",0.6805000000000003,"[13164, 13350]","[14061.0, 14255.0]",,,,-16.939,"[9906, 9966]","[10705.0, 10768.0]"
-416.025,"[9844, 9882]","[10641.0, 10680.0]",-80.80250000000001,"[14397, 14471]","[15338.0, 15413.0]",,,,-278.35,"[16645, 16708]","[17647.0, 17713.0]"
609.9549999999999,"[10106, 10148]","[10913.0, 10957.0]",59.358999999999995,"[14563, 14601]","[15507.0, 15546.0]",,,,-234.73,"[17320, 17355]","[18350.0, 18386.0]"
-44.863,"[10313, 10476]","[11129.0, 11298.0]",-32.941,"[14684, 14910]","[15630.0, 15861.0]",,,,-194.1,"[17675, 17716]","[18719.0, 18761.0]"
80.222,"[10581, 10670]","[11408.0, 11498.0]",-111.7005,"[15500, 15574]","[16463.0, 16538.0]",,,,319.07,"[20097, 20162]","[21206.0, 21273.0]"
35.1915,"[11079, 11311]","[11916.0, 12152.0]",32.076,"[15622, 16235]","[16587.0, 17221.0]",,,,-37.061,"[22527, 22589]","[23706.0, 23770.0]"
73.3035,"[11703, 12285]","[12552.0, 13147.0]",-523.13,"[17433, 17473]","[18467.0, 18509.0]",,,,-102.3185,"[27865, 27941]","[29216.0, 29295.0]"
6.5577,"[12418, 12489]","[13285.0, 13359.0]",39.1525,"[17922, 18298]","[18971.0, 19354.0]",,,,-80.065,"[31029, 31073]","[32473.0, 32519.0]"
-216.60999999999999,"[12725, 12771]","[13604.0, 13652.0]",-637.29,"[18666, 18689]","[19730.0, 19753.0]",,,,-830.34,"[31603, 31630]","[33072.0, 33099.0]"
-7.78855,"[13091, 13139]","[13985.0, 14035.0]",95.3575,"[18733, 19073]","[19798.0, 20145.0]",,,,37.540000000000006,"[34620, 34646]","[36177.0, 36204.0]"
-45.491,"[13374, 13966]","[14279.0, 14895.0]",-423.39,"[21284, 21350]","[22438.0, 22506.0]",,,,134.48000000000002,"[35184, 35286]","[36764.0, 36868.0]"
82.269,"[13995, 14373]","[14927.0, 15313.0]",-949.71,"[21567, 21590]","[22727.0, 22750.0]",,,,-28.000999999999998,"[36415, 36567]","[38020.0, 38175.0]"
184.60000000000002,"[14495, 14539]","[15438.0, 15482.0]",-185.24,"[21633, 21688]","[22794.0, 22850.0]",,,,44.78,"[37291, 37367]","[38924.0, 39003.0]"
-150.55,"[14626, 14659]","[15571.0, 15605.0]",-38.369,"[22065, 22149]","[23235.0, 23321.0]",,,,660.98,"[38042, 38086]","[39705.0, 39751.0]"
67.327,"[14935, 15476]","[15886.0, 16438.0]",20.916,"[22649, 23396]","[23831.0, 24601.0]",,,,-212.37,"[38825, 38890]","[40514.0, 40581.0]"
54.4135,"[16260, 16620]","[17247.0, 17621.0]",0.16128,"[23663, 23862]","[24879.0, 25086.0]",,,,-13.065900000000001,"[39283, 39451]","[40982.0, 41153.0]"
-2.8245150000000003,"[16733, 17193]","[17739.0, 18218.0]",-322.875,"[23932, 23968]","[25159.0, 25196.0]",,,,6.7893,"[39496, 39527]","[41199.0, 41230.0]"
188.175,"[17256, 17296]","[18283.0, 18325.0]",-136.17000000000002,"[24036, 24108]","[25267.0, 25342.0]",,,,18.734,"[40075, 40173]","[41790.0, 41890.0]"
774.915,"[17379, 17409]","[18411.0, 18442.0]",-39.717,"[24551, 25562]","[25804.0, 26835.0]",,,,-83.44649999999999,"[40299, 40525]","[42018.0, 42253.0]"
-41.714,"[17494, 17651]","[18534.0, 18694.0]",-109.95,"[25649, 25841]","[26924.0, 27120.0]",,,,,,
-12.3508,"[17741, 17897]","[18786.0, 18945.0]",-2.7328,"[26144, 27695]","[27429.0, 29039.0]",,,,,,
-48.40350000000001,"[18322, 18642]","[19379.0, 19705.0]",-19.122999999999998,"[29158, 29900]","[30541.0, 31299.0]",,,,,,
-9.4225,"[19098, 20073]","[20170.0, 21181.0]",19.983,"[31925, 32900]","[33400.0, 34395.0]",,,,,,
63.601000000000006,"[20186, 20955]","[21298.0, 22098.0]",,,,,,,,,
20.45088,"[20987, 21131]","[22135.0, 22282.0]",,,,,,,,,
625.9300000000001,"[21171, 21201]","[22323.0, 22354.0]",,,,,,,,,
36.539,"[21375, 21542]","[22531.0, 22702.0]",,,,,,,,,
-57.957,"[21712, 21855]","[22875.0, 23021.0]",,,,,,,,,
142.27,"[21899, 22040]","[23066.0, 23210.0]",,,,,,,,,
-27.323999999999998,"[22174, 22502]","[23346.0, 23681.0]",,,,,,,,,
86.382,"[23421, 23639]","[24627.0, 24854.0]",,,,,,,,,
-73.1965,"[23886, 23908]","[25111.0, 25134.0]",,,,,,,,,
1347.4,"[23993, 24012]","[25222.0, 25242.0]",,,,,,,,,
-21.4065,"[24132, 24388]","[25367.0, 25634.0]",,,,,,,,,
-268.525,"[24446, 24476]","[25694.0, 25727.0]",,,,,,,,,
419.81,"[25587, 25625]","[26860.0, 26899.0]",,,,,,,,,
103.072,"[26058, 26120]","[27341.0, 27404.0]",,,,,,,,,
-50.747,"[27985, 29134]","[29344.0, 30516.0]",,,,,,,,,
68.83699999999999,"[29955, 31005]","[31356.0, 32448.0]",,,,,,,,,
112.595,"[31097, 31579]","[32544.0, 33047.0]",,,,,,,,,
65.95599999999999,"[31654, 31900]","[33124.0, 33375.0]",,,,,,,,,
-8.8797,"[32925, 34596]","[34420.0, 36152.0]",,,,,,,,,
86.56700000000001,"[34670, 34949]","[36229.0, 36519.0]",,,,,,,,,
70.255,"[34977, 35160]","[36552.0, 36739.0]",,,,,,,,,
-31.944499999999998,"[35311, 36391]","[36893.0, 37995.0]",,,,,,,,,
70.472,"[36592, 37267]","[38200.0, 38899.0]",,,,,,,,,
74.035,"[37391, 38018]","[39028.0, 39680.0]",,,,,,,,,
-127.56,"[38110, 38800]","[39776.0, 40489.0]",,,,,,,,,
90.441,"[38915, 39259]","[40606.0, 40957.0]",,,,,,,,,
-13.7217,"[39551, 40051]","[41255.0, 41765.0]",,,,,,,,,
-106.315,"[40198, 40274]","[41915.0, 41993.0]",,,,,,,,,
149.73000000000002,"[40549, 41423]","[42278.0, 43187.0]",,,,,,,,,
