state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
2.5048,"[11, 1210]","[514.28, 1737.4]",2.5052,"[2921, 3066]","[3505.8, 3656.6]",2.513,"[25866, 26033]","[27145.0, 27316.0]",2.5186,"[1235, 1280]","[1762.9, 1808.8]"
2.5167,"[1305, 1496]","[1834.3, 2029.3]",2.5056,"[3156, 3443]","[3750.4, 4048.9]",2.51175,"[27720, 27814]","[29065.0, 29163.0]",2.5192,"[1521, 1609]","[2054.8, 2144.7]"
2.5164,"[1634, 1839]","[2170.4, 2380.6]",2.492,"[10013, 10081]","[10817.0, 10887.0]",,,,2.5113,"[1864, 1909]","[2406.3, 2452.9]"
2.5119,"[1933, 2005]","[2477.9, 2552.7]",2.4962,"[10172, 10289]","[10982.0, 11104.0]",,,,2.50915,"[2030, 2082]","[2578.7, 2632.9]"
2.5019,"[2107, 2678]","[2658.9, 3252.8]",2.4942,"[10500, 10557]","[11325.0, 11383.0]",,,,2.503,"[2703, 2751]","[3278.8, 3328.7]"
2.5022,"[2848, 2897]","[3429.8, 3480.7]",2.4970499999999998,"[10695, 11055]","[11524.0, 11891.0]",,,,2.50415,"[2802, 2824]","[3381.7, 3404.8]"
2.5024,"[3091, 3132]","[3682.6, 3725.2]",2.4935,"[11335, 11380]","[12177.0, 12223.0]",,,,2.4932499999999997,"[3812, 3846]","[4430.4, 4465.1]"
2.4943,"[3468, 3787]","[4074.9, 4404.9]",2.4962,"[11441, 11678]","[12285.0, 12527.0]",,,,2.4913,"[4040, 4070]","[4663.0, 4693.6]"
2.4924,"[3871, 4015]","[4490.6, 4637.5]",2.4857,"[12309, 12394]","[13172.0, 13260.0]",,,,2.4928,"[4263, 4317]","[4890.5, 4945.6]"
2.4886,"[4095, 4238]","[4719.1, 4865.0]",2.49235,"[12513, 12701]","[13384.0, 13579.0]",,,,2.4809,"[8453, 8510]","[9201.5, 9259.7]"
2.4756,"[4342, 8428]","[4971.1, 9176.0]",2.49315,"[12795, 13067]","[13677.0, 13960.0]",,,,2.4872,"[9786, 9820]","[10581.0, 10616.0]"
2.4805,"[8535, 9762]","[9285.2, 10556.0]",2.4922,"[13164, 13350]","[14061.0, 14255.0]",,,,2.4885,"[9906, 9966]","[10705.0, 10768.0]"
2.4884500000000003,"[9844, 9882]","[10641.0, 10680.0]",2.4837499999999997,"[14397, 14471]","[15338.0, 15413.0]",,,,2.4929,"[16645, 16708]","[17647.0, 17713.0]"
2.49335,"[10106, 10148]","[10913.0, 10957.0]",2.4895,"[14563, 14601]","[15507.0, 15546.0]",,,,2.4819,"[17320, 17355]","[18350.0, 18386.0]"
2.4948,"[10313, 10476]","[11129.0, 11298.0]",2.4926,"[14684, 14910]","[15630.0, 15861.0]",,,,2.4857,"[17675, 17716]","[18719.0, 18761.0]"
2.4937,"[10581, 10670]","[11408.0, 11498.0]",2.4888500000000002,"[15500, 15574]","[16463.0, 16538.0]",,,,2.4843,"[20097, 20162]","[21206.0, 21273.0]"
2.4928,"[11079, 11311]","[11916.0, 12152.0]",2.4991,"[15622, 16235]","[16587.0, 17221.0]",,,,2.495,"[22527, 22589]","[23706.0, 23770.0]"
2.4896,"[11703, 12285]","[12552.0, 13147.0]",2.48775,"[17433, 17473]","[18467.0, 18509.0]",,,,2.51105,"[27865, 27941]","[29216.0, 29295.0]"
2.4878,"[12418, 12489]","[13285.0, 13359.0]",2.4873,"[17922, 18298]","[18971.0, 19354.0]",,,,2.48745,"[31029, 31073]","[32473.0, 32519.0]"
2.4915,"[12725, 12771]","[13604.0, 13652.0]",2.4859,"[18666, 18689]","[19730.0, 19753.0]",,,,2.4808,"[31603, 31630]","[33072.0, 33099.0]"
2.4957,"[13091, 13139]","[13985.0, 14035.0]",2.4935,"[18733, 19073]","[19798.0, 20145.0]",,,,2.4859999999999998,"[34620, 34646]","[36177.0, 36204.0]"
2.4859999999999998,"[13374, 13966]","[14279.0, 14895.0]",2.4924,"[21284, 21350]","[22438.0, 22506.0]",,,,2.4749,"[35184, 35286]","[36764.0, 36868.0]"
2.4788,"[13995, 14373]","[14927.0, 15313.0]",2.4946,"[21567, 21590]","[22727.0, 22750.0]",,,,2.4689,"[36415, 36567]","[38020.0, 38175.0]"
2.4861,"[14495, 14539]","[15438.0, 15482.0]",2.4941,"[21633, 21688]","[22794.0, 22850.0]",,,,2.4682000000000004,"[37291, 37367]","[38924.0, 39003.0]"
2.4877,"[14626, 14659]","[15571.0, 15605.0]",2.49725,"[22065, 22149]","[23235.0, 23321.0]",,,,2.4717,"[38042, 38086]","[39705.0, 39751.0]"
2.4899,"[14935, 15476]","[15886.0, 16438.0]",2.5088,"[22649, 23396]","[23831.0, 24601.0]",,,,2.4743,"[38825, 38890]","[40514.0, 40581.0]"
2.4985,"[16260, 16620]","[17247.0, 17621.0]",2.5083,"[23663, 23862]","[24879.0, 25086.0]",,,,2.472,"[39283, 39451]","[40982.0, 41153.0]"
2.4852499999999997,"[16733, 17193]","[17739.0, 18218.0]",2.5135,"[23932, 23968]","[25159.0, 25196.0]",,,,2.4747,"[39496, 39527]","[41199.0, 41230.0]"
2.4789,"[17256, 17296]","[18283.0, 18325.0]",2.5108,"[24036, 24108]","[25267.0, 25342.0]",,,,2.47705,"[40075, 40173]","[41790.0, 41890.0]"
2.48415,"[17379, 17409]","[18411.0, 18442.0]",2.5186,"[24551, 25562]","[25804.0, 26835.0]",,,,2.4775,"[40299, 40525]","[42018.0, 42253.0]"
2.4875,"[17494, 17651]","[18534.0, 18694.0]",2.52095,"[25649, 25841]","[26924.0, 27120.0]",,,,,,
2.4842,"[17741, 17897]","[18786.0, 18945.0]",2.5216,"[26144, 27695]","[27429.0, 29039.0]",,,,,,
