state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
-0.00011776,"[8, 320]","[9.112, 328.75]",-0.000124129,"[838, 1028]","[866.51, 1064.1]",-0.000221255,"[29732, 29868]","[30669.0, 30811.0]",-0.00012507,"[337, 405]","[346.17, 416.63]"
-0.00013758,"[422, 821]","[434.23, 848.83]",-0.00012804,"[1233, 1504]","[1277.7, 1559.9]",-0.00011937,"[31889, 31988]","[32881.0, 32984.0]",0.0016996,"[1602, 1631]","[1661.9, 1692.0]"
0.00014228,"[1045, 1216]","[1081.8, 1260.0]",-0.0004913949999999999,"[1767, 2187]","[1833.7, 2273.0]",0.00013284,"[32964, 33064]","[34000.0, 34104.0]",-0.00074153,"[1675, 1704]","[1737.8, 1768.0]"
0.00023175984499999999,"[1521, 1585]","[1577.6, 1644.2]",-0.00019487,"[2949, 3344]","[3050.5, 3453.5]",1.4472e-05,"[34157, 34242]","[35232.0, 35319.0]",3.379795e-05,"[2381, 2469]","[2470.9, 2560.8]"
0.0019364499999999997,"[1648, 1658]","[1709.7, 1720.1]",5.8288e-06,"[19576, 20072]","[20203.0, 20709.0]",0.00020738,"[35810, 35939]","[36928.0, 37063.0]",-0.0003523,"[2510, 2634]","[2602.6, 2729.1]"
-0.00031308,"[1721, 1750]","[1785.6, 1816.0]",8.3665e-05,"[26317, 26626]","[27147.0, 27472.0]",-1.1959999999999987e-05,"[36429, 36479]","[37572.0, 37624.0]",-0.00022549999999999998,"[2702, 2889]","[2798.5, 2989.3]"
-6.2037e-05,"[2204, 2364]","[2290.4, 2453.6]",0.000393775,"[29519, 29715]","[30448.0, 30652.0]",,,,1.9312500000000002e-05,"[5459, 5577]","[5642.9, 5765.7]"
-0.00068717,"[2486, 2493]","[2578.1, 2585.3]",-9.2927e-05,"[29885, 30375]","[30828.0, 31336.0]",,,,0.000266095,"[7455, 7581]","[7686.9, 7817.2]"
-0.00045057,"[2651, 2685]","[2746.4, 2781.1]",0.000114867,"[31380, 31398]","[32361.0, 32379.0]",,,,-0.00068571,"[8428, 8619]","[8698.6, 8897.3]"
0.000560535,"[2906, 2932]","[3006.6, 3033.1]",-0.000118085,"[31446, 31872]","[32428.0, 32864.0]",,,,2.5839e-05,"[11858, 12095]","[12235.0, 12482.0]"
-0.00016482,"[3361, 5442]","[3470.8, 5625.2]",0.00082551,"[32558, 32583]","[33577.0, 33603.0]",,,,-0.00093596,"[12585, 12712]","[12995.0, 13125.0]"
-0.000163045,"[5594, 7438]","[5787.4, 7669.4]",7.5059e-06,"[32627, 32948]","[33649.0, 33983.0]",,,,0.00024827,"[13153, 13218]","[13575.0, 13641.0]"
1.606e-05,"[7598, 8411]","[7834.9, 8681.0]",-0.00025471,"[33430, 34140]","[34484.0, 35215.0]",,,,0.000325395,"[13278, 13410]","[13702.0, 13837.0]"
-6.5071e-05,"[8636, 11841]","[8915.0, 12217.0]",7.300899999999999e-05,"[34705, 35031]","[35792.0, 36124.0]",,,,0.00057619,"[14825, 15128]","[15290.0, 15605.0]"
-0.00031489,"[12112, 12564]","[12499.0, 12970.0]",4.6203000000000005e-05,"[35089, 35176]","[36184.0, 36272.0]",,,,-0.0010705,"[15526, 15617]","[16019.0, 16114.0]"
9.0172e-06,"[12729, 13136]","[13142.0, 13557.0]",-0.00027701500000000003,"[35215, 35793]","[36312.0, 36911.0]",,,,-0.0013456,"[15664, 15714]","[16162.0, 16214.0]"
-0.00026612,"[13235, 13261]","[13658.0, 13685.0]",0.00015316,"[35956, 36412]","[37080.0, 37555.0]",,,,-0.00053367,"[16515, 16734]","[17043.0, 17266.0]"
-0.00014198500000000002,"[13427, 14809]","[13854.0, 15273.0]",3.6842e-05,"[41376, 41519]","[42673.0, 42819.0]",,,,-0.00044839,"[17287, 17345]","[17830.0, 17890.0]"
-0.00023065,"[15144, 15510]","[15622.0, 16002.0]",-0.00020833,"[41744, 41853]","[43048.0, 43160.0]",,,,-0.000192895,"[18337, 18447]","[18910.0, 19025.0]"
-0.0027405999999999997,"[15634, 15647]","[16131.0, 16145.0]",,,,,,,-0.0006533999999999999,"[18733, 18820]","[19322.0, 19413.0]"
-7.2779e-05,"[15730, 16498]","[16231.0, 17026.0]",,,,,,,-0.00075117,"[19136, 19174]","[19742.0, 19781.0]"
0.000242605,"[16750, 17270]","[17283.0, 17813.0]",,,,,,,-0.001163,"[19298, 19343]","[19910.0, 19957.0]"
3.5931999999999994e-05,"[17362, 18320]","[17907.0, 18893.0]",,,,,,,-0.00044776,"[19502, 19535]","[20122.0, 20157.0]"
-0.00010998,"[18463, 18716]","[19042.0, 19305.0]",,,,,,,0.000217135,"[21151, 21263]","[21810.0, 21925.0]"
-0.000137225,"[18836, 19120]","[19430.0, 19725.0]",,,,,,,7.2739e-05,"[23365, 23392]","[24107.0, 24135.0]"
-0.00015835,"[19191, 19281]","[19799.0, 19893.0]",,,,,,,0.0012640999999999998,"[24267, 24318]","[25027.0, 25079.0]"
-1.07205e-05,"[19359, 19485]","[19974.0, 20105.0]",,,,,,,-7.0877e-05,"[24933, 25095]","[25708.0, 25875.0]"
-0.00067922,"[19552, 19559]","[20174.0, 20182.0]",,,,,,,-0.00022288,"[25184, 25271]","[25968.0, 26059.0]"
-0.00037266,"[20088, 21134]","[20726.0, 21793.0]",,,,,,,0.0005327,"[25530, 25566]","[26328.0, 26366.0]"
-0.000150035,"[21280, 23348]","[21942.0, 24090.0]",,,,,,,-0.00013096,"[25978, 26031]","[26795.0, 26850.0]"
-0.00030783,"[23409, 24250]","[24152.0, 25010.0]",,,,,,,-0.00011619,"[27392, 27531]","[28253.0, 28395.0]"
-0.00010825,"[24334, 24916]","[25096.0, 25690.0]",,,,,,,-0.000291195,"[28003, 28041]","[28877.0, 28916.0]"
-0.00073934,"[25111, 25168]","[25892.0, 25951.0]",,,,,,,0.00046753,"[28462, 28635]","[29348.0, 29528.0]"
-0.000191335,"[25288, 25514]","[26076.0, 26311.0]",,,,,,,1.4471e-05,"[28958, 29011]","[29864.0, 29919.0]"
-0.00012622000000000002,"[25582, 25962]","[26382.0, 26778.0]",,,,,,,0.0001488975,"[29273, 29343]","[30191.0, 30264.0]"
-0.00028002500000000004,"[26048, 26300]","[26867.0, 27130.0]",,,,,,,-0.00047091,"[29416, 29480]","[30340.0, 30407.0]"
3.8895e-05,"[26643, 27375]","[27489.0, 28236.0]",,,,,,,0.00048991,"[30392, 30496]","[31353.0, 31459.0]"
-0.00017196,"[27548, 27987]","[28412.0, 28860.0]",,,,,,,0.0028222,"[31414, 31429]","[32396.0, 32411.0]"
-0.00026196,"[28058, 28446]","[28933.0, 29331.0]",,,,,,,0.0025199000000000003,"[32599, 32610]","[33620.0, 33631.0]"
-0.000136075,"[28652, 28942]","[29545.0, 29847.0]",,,,,,,-0.00026924,"[36495, 36585]","[37641.0, 37735.0]"
7.6267e-06,"[29027, 29257]","[29936.0, 30175.0]",,,,,,,-0.00018489,"[37165, 37307]","[38340.0, 38484.0]"
0.00037352,"[29359, 29399]","[30281.0, 30323.0]",,,,,,,-5.560200000000001e-05,"[38370, 38440]","[39569.0, 39640.0]"
7.948100000000001e-05,"[29496, 29503]","[30424.0, 30431.0]",,,,,,,0.0003744,"[38640, 38733]","[39845.0, 39940.0]"
0.0002029,"[30512, 31363]","[31476.0, 32344.0]",,,,,,,-0.00020449,"[39978, 40029]","[41231.0, 41284.0]"
-0.00021341,"[32005, 32542]","[33001.0, 33560.0]",,,,,,,7.326e-05,"[40075, 40158]","[41332.0, 41419.0]"
3.3319500000000003e-06,"[33081, 33413]","[34121.0, 34467.0]",,,,,,,-0.00039275,"[41057, 41123]","[42348.0, 42415.0]"
-7.567049999999999e-05,"[34259, 34689]","[35336.0, 35775.0]",,,,,,,,,
-0.00011654149999999999,"[35047, 35073]","[36141.0, 36167.0]",,,,,,,,,
0.001190185,"[35192, 35198]","[36289.0, 36295.0]",,,,,,,,,
0.00016309,"[36602, 37149]","[37752.0, 38323.0]",,,,,,,,,
-1.154495e-05,"[37323, 38353]","[38501.0, 39552.0]",,,,,,,,,
-7.637550000000001e-05,"[38456, 38624]","[39657.0, 39828.0]",,,,,,,,,
-0.00012069500000000001,"[38750, 39962]","[39957.0, 41215.0]",,,,,,,,,
-0.00062623,"[40045, 40058]","[41301.0, 41315.0]",,,,,,,,,
9.0377e-05,"[40175, 41041]","[41436.0, 42331.0]",,,,,,,,,
-0.00013967,"[41140, 41359]","[42432.0, 42656.0]",,,,,,,,,
6.6687e-05,"[41536, 41727]","[42836.0, 43031.0]",,,,,,,,,
-0.0006543949999999999,"[41870, 41884]","[43177.0, 43191.0]",,,,,,,,,
