state1,state4,state2,state3
4.1487,4.1442,4.1752,4.16915
4.1404,4.1418,4.1728,4.1607
4.137,4.1299,4.1701,4.1486
4.1432,4.1296,4.1536,4.1524
4.1457,4.13575,4.1593,4.148
4.1397,4.14315,4.1602,4.1513
4.1486,4.1414,4.1525,4.1532
4.1509,4.1400500000000005,4.1507,4.1465
4.14585,4.1376,4.1341,4.14035
4.135,4.1352,4.13565,4.1499
4.1427499999999995,4.1404,4.1497,4.152699999999999
4.1317,4.14125,4.1533,4.1436
4.13685,4.1427,4.1561,4.16165
4.1281,4.1426,4.1491,4.16695
4.1217500000000005,4.15335,4.1458,4.1476
4.1391,4.14515,4.1566,4.15625
4.1545,4.143,4.15765,4.1609
4.1521,4.1399,4.1515,4.1476
4.1377,4.1354,4.1452,4.145
4.14785,4.13155,4.14555,
4.149,4.133,4.1342,
4.138,4.1553,4.1502,
4.142,4.1374,4.16,
4.1465499999999995,4.126,4.1564,
4.1503,4.1266,4.1586,
4.1397,4.1483,4.156,
4.1361,,4.1361,
4.1437,,4.1438,
4.1498,,4.14825,
4.1392,,4.1516,
4.13235,,4.1537,
4.1348,,4.1553,
4.1476,,4.155,
4.1377,,4.1587,
4.1387,,4.1488,
4.1449,,4.159,
4.15175,,4.1515,
4.1508,,4.1532,
4.1452,,4.1485,
4.1525,,4.1541,
4.1543,,4.1451,
4.1435,,4.1551,
4.1416,,4.1474,
4.13785,,4.1537,
4.14465,,4.1496,
4.1341,,4.1506,
4.1323,,4.1514,
4.1322,,4.1365,
4.1619,,4.1499500000000005,
4.1579,,4.15705,
4.14845,,4.1637,
4.1321,,4.1573,
4.1255,,4.15275,
4.1235,,4.16405,
4.1499500000000005,,4.1642,
4.147,,4.1649,
,,4.1536,
,,4.1531,
,,4.16835,
,,4.1534,
,,4.1542,
,,4.1535,
,,4.1568,
,,4.1555,
,,4.1532,
,,4.153,
,,4.1594,
,,4.1563,
,,4.1551,
,,4.1607,
,,4.1414,
