state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
-0.00013884,"[834, 1251]","[852.2, 1278.4]",3.95375e-05,"[12, 154]","[13.12, 158.0]",-0.0009992850000000001,"[179, 229]","[183.5, 234.52]",9.78075e-05,"[6721, 7053]","[6928.5, 7267.2]"
0.000171875,"[2422, 3290]","[2496.1, 3392.9]",2.9951e-05,"[281, 538]","[287.56, 549.8]",0.00047642,"[716, 809]","[731.36, 826.7]",-0.0006459300000000001,"[9394, 9488]","[9681.3, 9779.2]"
-8.66525e-05,"[3476, 3996]","[3582.7, 4113.5]",-1.5552863499999998e-05,"[583, 691]","[595.7, 705.86]",0.00032388,"[4757, 4805]","[4891.3, 4941.1]",-0.0009166700000000001,"[10301, 10341]","[10619.0, 10659.0]"
-0.000906925,"[4248, 4278]","[4370.6, 4401.2]",0.00021630000000000003,"[1276, 1655]","[1304.2, 1698.0]",-0.00073179,"[5910, 5977]","[6090.9, 6160.6]",0.00012487,"[10416, 10603]","[10736.0, 10927.0]"
-0.00076407,"[4830, 4863]","[4967.1, 5001.4]",-0.00043202,"[1710, 1851]","[1755.2, 1902.0]",0.000206535,"[8358, 8396]","[8603.8, 8643.3]",-6.61805e-05,"[11868, 11986]","[12220.0, 12343.0]"
3.6771e-05,"[5007, 5408]","[5151.3, 5568.5]",-0.000192855,"[1902, 2028]","[1955.1, 2086.2]",4.6399e-06,"[12691, 12821]","[13076.0, 13211.0]",-7.6645e-05,"[16187, 16413]","[16678.0, 16913.0]"
0.00072941,"[6001, 6020]","[6185.6, 6205.4]",3.512e-05,"[2071, 2278]","[2130.9, 2346.3]",-0.00030755,"[16091, 16120]","[16578.0, 16609.0]",0.00045165,"[16487, 16502]","[16990.0, 17006.0]"
-6.9595e-05,"[6282, 6696]","[6477.9, 6903.0]",0.0007509299999999999,"[2317, 2397]","[2386.9, 2470.1]",-0.00074939,"[19464, 19540]","[20054.0, 20133.0]",-1.75887e-05,"[20614, 20854]","[21247.0, 21491.0]"
8.225799999999998e-05,"[7078, 7606]","[7292.7, 7831.3]",-3.59e-05,"[3315, 3388]","[3418.4, 3492.9]",-0.00081898,"[20461, 20523]","[21091.0, 21154.0]",-0.00021496,"[23066, 23361]","[23767.0, 24074.0]"
8.18765e-05,"[8671, 8803]","[8929.3, 9066.6]",6.746499999999998e-06,"[4021, 4223]","[4139.0, 4345.1]",-0.00084724,"[21555, 21642]","[22207.0, 22295.0]",-0.00028793,"[23475, 23570]","[24192.0, 24291.0]"
0.00027161,"[9259, 9369]","[9540.9, 9655.3]",-8.5906e-05,"[4303, 4490]","[4426.7, 4617.5]",-0.000589025,"[22181, 22273]","[22847.0, 22942.0]",-0.00019817,"[24996, 25181]","[25754.0, 25942.0]"
-2.1225e-05,"[9512, 9792]","[9804.2, 10095.0]",5.742e-05,"[4546, 4611]","[4674.7, 4741.2]",-6.123e-05,"[22943, 22986]","[23639.0, 23683.0]",0.00016717999999999998,"[25474, 25510]","[26242.0, 26278.0]"
-0.000653025,"[10153, 10277]","[10468.0, 10594.0]",-0.0007833650000000001,"[4660, 4732]","[4791.4, 4865.4]",0.0015605999999999999,"[24629, 24651]","[25379.0, 25402.0]",-0.00060029,"[25624, 25751]","[26395.0, 26526.0]"
0.00067089,"[10365, 10391]","[10684.0, 10710.0]",-0.000400505,"[4888, 4982]","[5027.3, 5125.3]",0.001765,"[26877, 26901]","[27698.0, 27722.0]",-1.7184e-05,"[26121, 26284]","[26911.0, 27081.0]"
3.51e-05,"[10628, 11844]","[10952.0, 12195.0]",-0.00016831,"[5432, 5609]","[5593.5, 5777.6]",-0.00026651,"[27312, 27399]","[28153.0, 28241.0]",0.00013692,"[28904, 29106]","[29777.0, 29984.0]"
-1.5289000000000002e-05,"[12010, 12075]","[12368.0, 12435.0]",0.00032784,"[5664, 5885]","[5835.0, 6064.9]",0.000326225,"[28015, 28123]","[28870.0, 28980.0]",-0.00045144,"[31689, 31791]","[32655.0, 32759.0]"
-0.0009274800000000001,"[12845, 12885]","[13236.0, 13278.0]",-0.000265645,"[6044, 6258]","[6230.4, 6452.9]",3.9773e-05,"[29911, 29983]","[30821.0, 30896.0]",0.00025703,"[32207, 32288]","[33183.0, 33266.0]"
0.00032052,"[13820, 13863]","[14242.0, 14286.0]",-0.00033976,"[7631, 8334]","[7856.8, 8578.8]",5.079e-05,"[30568, 30684]","[31505.0, 31625.0]",-0.00082458,"[34707, 34772]","[35771.0, 35838.0]"
4.598e-05,"[14185, 14540]","[14615.0, 14977.0]",0.00029371,"[8448, 8615]","[8697.4, 8871.0]",1.41415e-05,"[33110, 33222]","[34115.0, 34231.0]",-0.00021011,"[35385, 35466]","[36463.0, 36546.0]"
0.00057357,"[15502, 15674]","[15966.0, 16145.0]",-0.00016157999999999998,"[8828, 9234]","[9092.6, 9514.9]",,,,0.0007756449999999999,"[35842, 35944]","[36930.0, 37034.0]"
-0.00071608,"[16144, 16163]","[16634.0, 16653.0]",-0.00034195,"[9858, 10129]","[10167.0, 10443.0]",,,,0.00078733,"[36513, 36552]","[37622.0, 37662.0]"
-0.0016489,"[16437, 16463]","[16938.0, 16965.0]",-0.00021495,"[12099, 12240]","[12460.0, 12607.0]",,,,0.00048304,"[37464, 37563]","[38611.0, 38714.0]"
-2.404e-05,"[16526, 17747]","[17031.0, 18285.0]",0.000252115,"[12283, 12667]","[12652.0, 13051.0]",,,,0.00028564,"[37939, 38034]","[39105.0, 39201.0]"
3.46175e-05,"[17979, 18515]","[18522.0, 19069.0]",-0.00031157,"[12909, 13522]","[13303.0, 13938.0]",,,,-0.00011603500000000001,"[38364, 38484]","[39538.0, 39661.0]"
0.00023922,"[19862, 19909]","[20469.0, 20517.0]",8.3195e-06,"[13573, 13760]","[13990.0, 14181.0]",,,,0.00011499,"[39245, 39330]","[40437.0, 40524.0]"
-0.0001960347,"[20548, 20590]","[21179.0, 21222.0]",-8.0974e-05,"[13887, 14161]","[14311.0, 14590.0]",,,,-0.0010619000000000002,"[40859, 40952]","[42108.0, 42205.0]"
0.00027614,"[20878, 21002]","[21516.0, 21642.0]",0.00020451,"[14565, 14634]","[15002.0, 15073.0]",,,,,,
-0.00020064,"[21774, 21797]","[22430.0, 22454.0]",0.000395885,"[14698, 14920]","[15138.0, 15365.0]",,,,,,
-0.0015132,"[22647, 22666]","[23331.0, 23350.0]",0.000553525,"[14973, 15045]","[15419.0, 15493.0]",,,,,,
0.000658215,"[23010, 23042]","[23708.0, 23742.0]",0.00034965,"[15090, 15117]","[15539.0, 15566.0]",,,,,,
-0.00027183999999999997,"[23385, 23451]","[24099.0, 24167.0]",-0.00010323,"[15172, 15213]","[15623.0, 15665.0]",,,,,,
-0.00010091,"[23594, 23797]","[24316.0, 24530.0]",0.00028551,"[15271, 15390]","[15726.0, 15849.0]",,,,,,
