state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
0.00052875,"[1391, 1797]","[1421.9, 1844.3]",0.000595265,"[12, 106]","[12.3, 108.18]",0.00053764,"[131, 243]","[133.68, 247.94]",-0.00095819,"[1822, 1927]","[1870.3, 1979.5]"
2.7443e-05,"[1951, 2500]","[2004.5, 2575.7]",0.000217525,"[284, 1366]","[289.76, 1395.8]",-9.0326e-05,"[2943, 3054]","[3036.8, 3152.2]",9.4649e-05,"[7539, 7572]","[7776.2, 7809.9]"
-1.3712999999999999e-05,"[3682, 4761]","[3798.9, 4901.1]",0.0001268,"[2524, 2743]","[2600.7, 2828.5]",0.00113845,"[6019, 6037]","[6209.9, 6228.7]",-0.00045723,"[9859, 9930]","[10176.0, 10250.0]"
0.000321285,"[5021, 5649]","[5171.4, 5824.9]",9.7662e-05,"[2774, 2919]","[2860.9, 3011.8]",9.6211e-06,"[31569, 31602]","[32601.0, 32635.0]",-0.00050473,"[11434, 11546]","[11791.0, 11906.0]"
7.4702e-05,"[6062, 6577]","[6254.7, 6790.5]",5.4977e-05,"[3086, 3355]","[3185.6, 3465.3]",6.2901999999999995e-06,"[33027, 33144]","[34097.0, 34219.0]",-0.00123295,"[11845, 11891]","[12215.0, 12262.0]"
-0.00013826,"[6652, 6733]","[6871.4, 6954.0]",0.00067308,"[3396, 3657]","[3507.1, 3773.4]",-0.000218065,"[33868, 33940]","[34972.0, 35047.0]",-0.000299145,"[14126, 14294]","[14580.0, 14751.0]"
-9.968200000000001e-05,"[6884, 7317]","[7108.0, 7549.8]",-0.000414285,"[4786, 4996]","[4927.1, 5145.4]",0.00077474,"[35875, 35960]","[37037.0, 37124.0]",-0.00052648,"[14675, 14738]","[15140.0, 15204.0]"
-0.000529805,"[7480, 7514]","[7716.0, 7750.7]",-0.0001206035,"[5673, 5803]","[5849.9, 5985.1]",0.00075654,"[40961, 41013]","[42293.0, 42348.0]",-0.00058209,"[14860, 14897]","[15329.0, 15367.0]"
0.00055384,"[7597, 7690]","[7835.4, 7930.3]",-6.49435e-05,"[5847, 5995]","[6030.9, 6184.9]",,,,-0.00033344,"[15422, 15475]","[15904.0, 15959.0]"
-0.00074108,"[7782, 7823]","[8024.1, 8066.0]",-0.00042256,"[6602, 6627]","[6820.4, 6845.9]",,,,-0.00011758,"[15857, 16168]","[16356.0, 16679.0]"
0.00036222,"[8103, 8222]","[8351.6, 8473.7]",-0.00082383,"[6758, 6859]","[6979.5, 7082.5]",,,,-0.00074539,"[16449, 16484]","[16972.0, 17008.0]"
-0.00013734,"[8562, 9430]","[8826.9, 9729.8]",0.00017224,"[7342, 7455]","[7575.3, 7690.5]",,,,-0.00069166,"[17982, 18060]","[18553.0, 18632.0]"
0.000142395,"[9613, 9835]","[9920.1, 10151.0]",-0.00097992,"[7715, 7757]","[7955.8, 7998.6]",,,,0.000206135,"[18465, 18491]","[19045.0, 19072.0]"
2.9600000000000005e-05,"[9954, 10685]","[10275.0, 11027.0]",4.4217e-05,"[7848, 7933]","[8091.5, 8178.2]",,,,-0.00057263,"[18747, 18884]","[19334.0, 19476.0]"
-5.5755500000000005e-05,"[10743, 11409]","[11087.0, 11766.0]",-0.000116585,"[7970, 8078]","[8215.9, 8326.1]",,,,0.00027236,"[19565, 19654]","[20185.0, 20277.0]"
-9.5273e-05,"[11570, 11821]","[11931.0, 12190.0]",6.167049999999999e-05,"[8305, 8507]","[8559.6, 8769.7]",,,,-7.597845000000001e-06,"[22741, 22913]","[23462.0, 23641.0]"
-8.4106e-05,"[11916, 14101]","[12288.0, 14555.0]",-3.3197e-05,"[9455, 9588]","[9755.8, 9894.1]",,,,-0.00026111499999999997,"[24480, 24546]","[25266.0, 25333.0]"
-0.00017396,"[14319, 14650]","[14777.0, 15115.0]",0.00019273,"[29391, 29652]","[30332.0, 30603.0]",,,,0.00037882,"[26918, 26967]","[27778.0, 27829.0]"
0.00035994,"[14762, 14836]","[15229.0, 15304.0]",4.9162e-05,"[30850, 30914]","[31860.0, 31927.0]",,,,-0.000625675,"[27057, 27187]","[27923.0, 28058.0]"
-0.00043505,"[14922, 15398]","[15392.0, 15879.0]",-5.3478999999999994e-05,"[31191, 31544]","[32216.0, 32576.0]",,,,-0.00022759,"[28662, 28743]","[29576.0, 29659.0]"
4.0218e-05,"[15499, 15833]","[15984.0, 16331.0]",5.612000000000001e-06,"[32661, 33002]","[33716.0, 34071.0]",,,,-0.000252385,"[29056, 29156]","[29984.0, 30087.0]"
-0.0001443,"[16192, 16425]","[16704.0, 16947.0]",3.0095e-05,"[33191, 33844]","[34268.0, 34947.0]",,,,0.00013278,"[29676, 29767]","[30628.0, 30723.0]"
-0.000245835,"[16508, 17958]","[17033.0, 18528.0]",0.000349955,"[33973, 34099]","[35081.0, 35212.0]",,,,-0.000798315,"[32368, 32398]","[33416.0, 33447.0]"
0.00024224,"[18084, 18440]","[18657.0, 19020.0]",-5.2452999999999994e-05,"[35063, 35207]","[36209.0, 36356.0]",,,,-0.00039424,"[34219, 34332]","[35337.0, 35455.0]"
-1.822645e-05,"[18515, 18723]","[19097.0, 19309.0]",0.00015083,"[35275, 35850]","[36425.0, 37012.0]",,,,-0.0015348,"[34816, 34850]","[35957.0, 35992.0]"
-2.1912e-05,"[18908, 19541]","[19501.0, 20160.0]",-0.00014135,"[38693, 38750]","[39954.0, 40012.0]",,,,-0.0012737,"[37691, 37736]","[38921.0, 38968.0]"
-6.9812e-06,"[19678, 22717]","[20302.0, 23437.0]",0.00053926,"[39469, 39620]","[40746.0, 40900.0]",,,,-0.000819155,"[37894, 37916]","[39133.0, 39156.0]"
1.9194e-05,"[22937, 24456]","[23666.0, 25241.0]",-0.00040970000000000004,"[39761, 39837]","[41045.0, 41124.0]",,,,-0.00040492,"[38983, 39044]","[40250.0, 40312.0]"
-2.61e-05,"[24571, 26894]","[25358.0, 27753.0]",0.00048792,"[39868, 39929]","[41157.0, 41220.0]",,,,-0.00043189,"[41214, 41299]","[42557.0, 42645.0]"
-4.9774999999999977e-05,"[26991, 27033]","[27854.0, 27898.0]",2.4679e-07,"[40068, 40371]","[41365.0, 41680.0]",,,,,,
0.00024278,"[27211, 27409]","[28083.0, 28289.0]",9.537200000000001e-05,"[40681, 40933]","[42002.0, 42264.0]",,,,,,
-4.651e-06,"[27457, 28638]","[28339.0, 29551.0]",,,,,,,,,
-0.00019775,"[28768, 29032]","[29684.0, 29959.0]",,,,,,,,,
-0.00038244,"[29180, 29367]","[30112.0, 30307.0]",,,,,,,,,
4.64095e-05,"[29791, 30825]","[30748.0, 31834.0]",,,,,,,,,
-7.601899999999999e-05,"[30938, 31167]","[31952.0, 32191.0]",,,,,,,,,
1.9727199999999996e-05,"[31627, 32343]","[32660.0, 33391.0]",,,,,,,,,
-5.878499999999995e-06,"[32423, 32555]","[33472.0, 33608.0]",,,,,,,,,
-0.0014192,"[32619, 32636]","[33673.0, 33691.0]",,,,,,,,,
0.000257475,"[34123, 34195]","[35237.0, 35312.0]",,,,,,,,,
-0.000146325,"[34356, 34792]","[35480.0, 35932.0]",,,,,,,,,
-0.000281335,"[34875, 35003]","[36017.0, 36148.0]",,,,,,,,,
0.00039838,"[35232, 35250]","[36381.0, 36400.0]",,,,,,,,,
7.3457e-05,"[35984, 37667]","[37149.0, 38896.0]",,,,,,,,,
0.000452905,"[37760, 37870]","[38993.0, 39108.0]",,,,,,,,,
0.00018038,"[37940, 38669]","[39180.0, 39929.0]",,,,,,,,,
0.000109065,"[38774, 38958]","[40037.0, 40224.0]",,,,,,,,,
5.2408500000000005e-05,"[39069, 39405]","[40337.0, 40680.0]",,,,,,,,,
-0.00041145,"[39644, 39736]","[40925.0, 41019.0]",,,,,,,,,
0.00014658,"[39953, 40044]","[41245.0, 41340.0]",,,,,,,,,
0.00017856,"[40395, 40630]","[41705.0, 41949.0]",,,,,,,,,
0.00049138,"[41037, 41190]","[42373.0, 42532.0]",,,,,,,,,
-9.550300000000001e-05,"[41323, 41655]","[42670.0, 43017.0]",,,,,,,,,
-0.0001842565,"[41715, 41823]","[43078.0, 43188.0]",,,,,,,,,
