state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
5.5672e-05,"[11, 1210]","[514.28, 1737.4]",0.00016105,"[2921, 3066]","[3505.8, 3656.6]",0.00026444,"[25866, 26033]","[27145.0, 27316.0]",-0.00063846,"[1235, 1280]","[1762.9, 1808.8]"
0.00010836,"[1305, 1496]","[1834.3, 2029.3]",0.00017991,"[3156, 3443]","[3750.4, 4048.9]",9.45455e-05,"[27720, 27814]","[29065.0, 29163.0]",0.000215395,"[1521, 1609]","[2054.8, 2144.7]"
4.0968000000000005e-05,"[1634, 1839]","[2170.4, 2380.6]",0.00020126999999999998,"[10013, 10081]","[10817.0, 10887.0]",,,,-0.00071982,"[1864, 1909]","[2406.3, 2452.9]"
-0.00033754,"[1933, 2005]","[2477.9, 2552.7]",0.00024589,"[10172, 10289]","[10982.0, 11104.0]",,,,-0.0001153055,"[2030, 2082]","[2578.7, 2632.9]"
8.045699999999999e-05,"[2107, 2678]","[2658.9, 3252.8]",0.00088459,"[10500, 10557]","[11325.0, 11383.0]",,,,0.0005078649999999999,"[2703, 2751]","[3278.8, 3328.7]"
0.00094471,"[2848, 2897]","[3429.8, 3480.7]",-0.000375735,"[10695, 11055]","[11524.0, 11891.0]",,,,-0.00022223999999999999,"[2802, 2824]","[3381.7, 3404.8]"
-0.00021144,"[3091, 3132]","[3682.6, 3725.2]",0.00027661,"[11335, 11380]","[12177.0, 12223.0]",,,,0.000686225,"[3812, 3846]","[4430.4, 4465.1]"
-4.6037e-05,"[3468, 3787]","[4074.9, 4404.9]",1.7935e-05,"[11441, 11678]","[12285.0, 12527.0]",,,,-0.00019466250000000002,"[4040, 4070]","[4663.0, 4693.6]"
-6.42955e-05,"[3871, 4015]","[4490.6, 4637.5]",-0.00073769,"[12309, 12394]","[13172.0, 13260.0]",,,,-0.000632985,"[4263, 4317]","[4890.5, 4945.6]"
0.00027176,"[4095, 4238]","[4719.1, 4865.0]",0.000228085,"[12513, 12701]","[13384.0, 13579.0]",,,,-0.00035975,"[8453, 8510]","[9201.5, 9259.7]"
-1.60715e-05,"[4342, 8428]","[4971.1, 9176.0]",8.1106e-05,"[12795, 13067]","[13677.0, 13960.0]",,,,-0.000175286,"[9786, 9820]","[10581.0, 10616.0]"
-0.00017819999999999997,"[8535, 9762]","[9285.2, 10556.0]",0.000284855,"[13164, 13350]","[14061.0, 14255.0]",,,,-8.137300000000001e-05,"[9906, 9966]","[10705.0, 10768.0]"
0.000541535,"[9844, 9882]","[10641.0, 10680.0]",-0.000741765,"[14397, 14471]","[15338.0, 15413.0]",,,,6.4654e-05,"[16645, 16708]","[17647.0, 17713.0]"
