state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
59.524,"[12, 1432]","[13.032, 1466.3]",-131.57999999999998,"[8782, 8900]","[9042.7, 9165.4]",901.125,"[23280, 23302]","[23988.0, 24011.0]",1117.6999999999998,"[1456, 1494]","[1491.3, 1530.7]"
93.29249999999999,"[1519, 2059]","[1556.7, 2118.4]",264.83500000000004,"[10445, 10471]","[10763.0, 10790.0]",55.303000000000004,"[24053, 24134]","[24790.0, 24873.0]",535.04,"[2084, 2125]","[2144.4, 2187.1]"
125.89,"[2149, 2844]","[2212.1, 2935.5]",-505.745,"[10641, 10667]","[10963.0, 10989.0]",-144.93,"[25898, 26005]","[26675.0, 26786.0]",-191.78,"[3057, 3134]","[3157.1, 3235.7]"
281.45,"[2872, 3032]","[2968.4, 3131.6]",41.132,"[10758, 10831]","[11082.0, 11157.0]",185.54250000000002,"[27354, 27428]","[28194.0, 28269.0]",142.095,"[4111, 4243]","[4232.3, 4367.0]"
90.995,"[3159, 4086]","[3261.2, 4206.8]",-64.065,"[10871, 11013]","[11198.0, 11342.0]",276.07,"[28308, 28373]","[29167.0, 29233.0]",-709.38,"[4527, 4568]","[4656.9, 4698.7]"
-20.746184999999997,"[4268, 4502]","[4392.5, 4631.4]",-54.01,"[11834, 12087]","[12182.0, 12445.0]",-285.16,"[29241, 29306]","[30119.0, 30186.0]",456.42999999999995,"[4968, 5090]","[5112.4, 5239.2]"
69.49600000000001,"[4593, 4944]","[4724.3, 5087.4]",-56.053000000000004,"[14075, 14098]","[14501.0, 14524.0]",161.19,"[33644, 33716]","[34666.0, 34741.0]",344.08,"[5238, 5263]","[5393.2, 5419.2]"
177.05,"[5114, 5213]","[5264.2, 5367.2]",106.84400000000001,"[14173, 14207]","[14601.0, 14636.0]",,,,-6.89575,"[5706, 5766]","[5880.0, 5942.4]"
-85.6925,"[5288, 5682]","[5445.2, 5855.0]",-9.922,"[15047, 15203]","[15492.0, 15652.0]",,,,-266.63,"[7631, 7724]","[7859.6, 7954.5]"
61.196999999999996,"[5791, 7606]","[5968.4, 7834.1]",-32.085,"[16239, 16444]","[16729.0, 16943.0]",,,,70.618,"[8223, 8295]","[8463.9, 8537.6]"
-17.555,"[7749, 8198]","[7980.0, 8438.4]",-108.99,"[16500, 16942]","[17001.0, 17464.0]",,,,-1.5519,"[9079, 9116]","[9351.6, 9390.1]"
5.704750000000001,"[8320, 8758]","[8563.1, 9017.7]",-121.52,"[18562, 18647]","[19117.0, 19204.0]",,,,618.225,"[11698, 11722]","[12042.0, 12066.0]"
206.455,"[8924, 9054]","[9190.4, 9325.6]",-59.484500000000004,"[18719, 18887]","[19277.0, 19452.0]",,,,-940.485,"[12174, 12202]","[12535.0, 12564.0]"
9.578249999999999,"[9140, 10420]","[9415.1, 10738.0]",-71.2255,"[20310, 20758]","[20932.0, 21391.0]",,,,111.89750000000001,"[13214, 13294]","[13617.0, 13701.0]"
36.492,"[10496, 10617]","[10815.0, 10938.0]",-85.959,"[20837, 21184]","[21472.0, 21826.0]",,,,-113.32,"[18238, 18299]","[18786.0, 18848.0]"
-230.13,"[10692, 10733]","[11015.0, 11057.0]",-92.823,"[22963, 23256]","[23659.0, 23963.0]",,,,-1099.6,"[19619, 19638]","[20213.0, 20233.0]"
89.829,"[11037, 11674]","[11367.0, 12017.0]",-45.352,"[23353, 24028]","[24064.0, 24765.0]",,,,87.961,"[19904, 20113]","[20510.0, 20728.0]"
101.9735,"[11746, 11810]","[12091.0, 12157.0]",74.982,"[25061, 25259]","[25819.0, 26021.0]",,,,-132.625,"[22803, 22885]","[23492.0, 23577.0]"
625.11,"[12111, 12150]","[12470.0, 12510.0]",10.054,"[25312, 25874]","[26075.0, 26650.0]",,,,477.78999999999996,"[26271, 26315]","[27063.0, 27109.0]"
143.15,"[12227, 13190]","[12590.0, 13593.0]",-209.95499999999998,"[26056, 26174]","[26839.0, 26962.0]",,,,-25.7325,"[29703, 29789]","[30599.0, 30689.0]"
