state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
337145.0,"[12, 1432]","[13.032, 1466.3]",315830.0,"[8782, 8900]","[9042.7, 9165.4]",311600.0,"[23280, 23302]","[23988.0, 24011.0]",337120.0,"[1456, 1494]","[1491.3, 1530.7]"
333450.0,"[1519, 2059]","[1556.7, 2118.4]",314750.0,"[10445, 10471]","[10763.0, 10790.0]",312940.0,"[24053, 24134]","[24790.0, 24873.0]",334430.0,"[2084, 2125]","[2144.4, 2187.1]"
329210.0,"[2149, 2844]","[2212.1, 2935.5]",314095.0,"[10641, 10667]","[10963.0, 10989.0]",313550.0,"[25898, 26005]","[26675.0, 26786.0]",327820.0,"[3057, 3134]","[3157.1, 3235.7]"
328555.0,"[2872, 3032]","[2968.4, 3131.6]",314230.0,"[10758, 10831]","[11082.0, 11157.0]",298525.0,"[27354, 27428]","[28194.0, 28269.0]",324550.0,"[4111, 4243]","[4232.3, 4367.0]"
325150.0,"[3159, 4086]","[3261.2, 4206.8]",314555.0,"[10871, 11013]","[11198.0, 11342.0]",298850.0,"[28308, 28373]","[29167.0, 29233.0]",322780.0,"[4527, 4568]","[4656.9, 4698.7]"
322390.0,"[4268, 4502]","[4392.5, 4631.4]",316100.0,"[11834, 12087]","[12182.0, 12445.0]",305590.0,"[29241, 29306]","[30119.0, 30186.0]",324285.0,"[4968, 5090]","[5112.4, 5239.2]"
323360.0,"[4593, 4944]","[4724.3, 5087.4]",312970.0,"[14075, 14098]","[14501.0, 14524.0]",296635.0,"[33644, 33716]","[34666.0, 34741.0]",320220.0,"[5238, 5263]","[5393.2, 5419.2]"
321630.0,"[5114, 5213]","[5264.2, 5367.2]",314440.0,"[14173, 14207]","[14601.0, 14636.0]",,,,320145.0,"[5706, 5766]","[5880.0, 5942.4]"
319350.0,"[5288, 5682]","[5445.2, 5855.0]",318070.0,"[15047, 15203]","[15492.0, 15652.0]",,,,314550.0,"[7631, 7724]","[7859.6, 7954.5]"
318880.0,"[5791, 7606]","[5968.4, 7834.1]",314560.0,"[16239, 16444]","[16729.0, 16943.0]",,,,315680.0,"[8223, 8295]","[8463.9, 8537.6]"
316090.0,"[7749, 8198]","[7980.0, 8438.4]",315140.0,"[16500, 16942]","[17001.0, 17464.0]",,,,312850.0,"[9079, 9116]","[9351.6, 9390.1]"
314785.0,"[8320, 8758]","[8563.1, 9017.7]",314160.0,"[18562, 18647]","[19117.0, 19204.0]",,,,316680.0,"[11698, 11722]","[12042.0, 12066.0]"
316430.0,"[8924, 9054]","[9190.4, 9325.6]",313265.0,"[18719, 18887]","[19277.0, 19452.0]",,,,318295.0,"[12174, 12202]","[12535.0, 12564.0]"
316630.0,"[9140, 10420]","[9415.1, 10738.0]",315230.0,"[20310, 20758]","[20932.0, 21391.0]",,,,316205.0,"[13214, 13294]","[13617.0, 13701.0]"
315070.0,"[10496, 10617]","[10815.0, 10938.0]",314340.0,"[20837, 21184]","[21472.0, 21826.0]",,,,317140.0,"[18238, 18299]","[18786.0, 18848.0]"
313700.0,"[10692, 10733]","[11015.0, 11057.0]",317990.0,"[22963, 23256]","[23659.0, 23963.0]",,,,316850.0,"[19619, 19638]","[20213.0, 20233.0]"
315340.0,"[11037, 11674]","[11367.0, 12017.0]",317250.0,"[23353, 24028]","[24064.0, 24765.0]",,,,315860.0,"[19904, 20113]","[20510.0, 20728.0]"
318945.0,"[11746, 11810]","[12091.0, 12157.0]",313590.0,"[25061, 25259]","[25819.0, 26021.0]",,,,316565.0,"[22803, 22885]","[23492.0, 23577.0]"
317010.0,"[12111, 12150]","[12470.0, 12510.0]",318030.0,"[25312, 25874]","[26075.0, 26650.0]",,,,316255.0,"[26271, 26315]","[27063.0, 27109.0]"
317010.0,"[12227, 13190]","[12590.0, 13593.0]",316815.0,"[26056, 26174]","[26839.0, 26962.0]",,,,311990.0,"[29703, 29789]","[30599.0, 30689.0]"
315400.0,"[13318, 14051]","[13726.0, 14476.0]",313940.0,"[26455, 26538]","[27254.0, 27341.0]",,,,317665.0,"[34217, 34311]","[35262.0, 35360.0]"
314750.0,"[14122, 14149]","[14549.0, 14576.0]",310250.0,"[26739, 27334]","[27550.0, 28169.0]",,,,,,
