state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
4.1229,"[12, 1432]","[13.032, 1466.3]",4.1152,"[8782, 8900]","[9042.7, 9165.4]",4.1389,"[23280, 23302]","[23988.0, 24011.0]",4.1202,"[1456, 1494]","[1491.3, 1530.7]"
4.1213,"[1519, 2059]","[1556.7, 2118.4]",4.1082,"[10445, 10471]","[10763.0, 10790.0]",4.1278,"[24053, 24134]","[24790.0, 24873.0]",4.1269,"[2084, 2125]","[2144.4, 2187.1]"
4.1219,"[2149, 2844]","[2212.1, 2935.5]",4.1058,"[10641, 10667]","[10963.0, 10989.0]",4.1302,"[25898, 26005]","[26675.0, 26786.0]",4.1245,"[3057, 3134]","[3157.1, 3235.7]"
4.12475,"[2872, 3032]","[2968.4, 3131.6]",4.1104,"[10758, 10831]","[11082.0, 11157.0]",4.1332,"[27354, 27428]","[28194.0, 28269.0]",4.1176,"[4111, 4243]","[4232.3, 4367.0]"
4.1207,"[3159, 4086]","[3261.2, 4206.8]",4.1167,"[10871, 11013]","[11198.0, 11342.0]",4.1295,"[28308, 28373]","[29167.0, 29233.0]",4.1146,"[4527, 4568]","[4656.9, 4698.7]"
4.1146,"[4268, 4502]","[4392.5, 4631.4]",4.1145,"[11834, 12087]","[12182.0, 12445.0]",4.1304,"[29241, 29306]","[30119.0, 30186.0]",4.1131,"[4968, 5090]","[5112.4, 5239.2]"
4.1161,"[4593, 4944]","[4724.3, 5087.4]",4.102,"[14075, 14098]","[14501.0, 14524.0]",4.1296,"[33644, 33716]","[34666.0, 34741.0]",4.1135,"[5238, 5263]","[5393.2, 5419.2]"
4.1088,"[5114, 5213]","[5264.2, 5367.2]",4.1048,"[14173, 14207]","[14601.0, 14636.0]",,,,4.11415,"[5706, 5766]","[5880.0, 5942.4]"
4.1112,"[5288, 5682]","[5445.2, 5855.0]",4.11255,"[15047, 15203]","[15492.0, 15652.0]",,,,4.1118,"[7631, 7724]","[7859.6, 7954.5]"
4.1115,"[5791, 7606]","[5968.4, 7834.1]",4.1149,"[16239, 16444]","[16729.0, 16943.0]",,,,4.1136,"[8223, 8295]","[8463.9, 8537.6]"
4.1105,"[7749, 8198]","[7980.0, 8438.4]",4.13245,"[16500, 16942]","[17001.0, 17464.0]",,,,4.1108,"[9079, 9116]","[9351.6, 9390.1]"
4.1102,"[8320, 8758]","[8563.1, 9017.7]",4.1158,"[18562, 18647]","[19117.0, 19204.0]",,,,4.11085,"[11698, 11722]","[12042.0, 12066.0]"
4.11375,"[8924, 9054]","[9190.4, 9325.6]",4.1238,"[18719, 18887]","[19277.0, 19452.0]",,,,4.11575,"[12174, 12202]","[12535.0, 12564.0]"
4.105,"[9140, 10420]","[9415.1, 10738.0]",4.1399,"[20310, 20758]","[20932.0, 21391.0]",,,,4.10695,"[13214, 13294]","[13617.0, 13701.0]"
4.1046,"[10496, 10617]","[10815.0, 10938.0]",4.1416,"[20837, 21184]","[21472.0, 21826.0]",,,,4.1135,"[18238, 18299]","[18786.0, 18848.0]"
4.1067,"[10692, 10733]","[11015.0, 11057.0]",4.1471,"[22963, 23256]","[23659.0, 23963.0]",,,,4.1134,"[19619, 19638]","[20213.0, 20233.0]"
4.1087,"[11037, 11674]","[11367.0, 12017.0]",4.1415,"[23353, 24028]","[24064.0, 24765.0]",,,,4.1168,"[19904, 20113]","[20510.0, 20728.0]"
4.1103,"[11746, 11810]","[12091.0, 12157.0]",4.13525,"[25061, 25259]","[25819.0, 26021.0]",,,,4.12975,"[22803, 22885]","[23492.0, 23577.0]"
4.1183,"[12111, 12150]","[12470.0, 12510.0]",4.148,"[25312, 25874]","[26075.0, 26650.0]",,,,4.12895,"[26271, 26315]","[27063.0, 27109.0]"
4.1026,"[12227, 13190]","[12590.0, 13593.0]",4.13575,"[26056, 26174]","[26839.0, 26962.0]",,,,4.1303,"[29703, 29789]","[30599.0, 30689.0]"
4.1056,"[13318, 14051]","[13726.0, 14476.0]",4.1289,"[26455, 26538]","[27254.0, 27341.0]",,,,4.1274,"[34217, 34311]","[35262.0, 35360.0]"
4.1018,"[14122, 14149]","[14549.0, 14576.0]",4.1388,"[26739, 27334]","[27550.0, 28169.0]",,,,,,
4.1042,"[14232, 15022]","[14661.0, 15467.0]",4.1351,"[27696, 28284]","[28542.0, 29142.0]",,,,,,
4.1073,"[15227, 16214]","[15677.0, 16703.0]",4.136,"[28430, 28790]","[29291.0, 29658.0]",,,,,,
4.1121,"[16966, 18214]","[17488.0, 18761.0]",4.14295,"[28873, 29145]","[29743.0, 30021.0]",,,,,,
4.1121,"[18323, 18538]","[18873.0, 19092.0]",4.1408,"[29190, 29216]","[30067.0, 30094.0]",,,,,,
4.1194,"[18672, 18694]","[19229.0, 19252.0]",4.1366,"[29353, 29656]","[30235.0, 30550.0]",,,,,,
4.1161,"[18911, 19594]","[19477.0, 20187.0]",4.1467,"[29857, 30547]","[30759.0, 31478.0]",,,,,,
4.1156,"[19662, 19880]","[20258.0, 20485.0]",4.11985,"[32154, 32238]","[33126.0, 33212.0]",,,,,,
4.1179,"[20137, 20286]","[20753.0, 20908.0]",4.13355,"[32291, 32627]","[33266.0, 33609.0]",,,,,,
4.1341,"[20782, 20813]","[21416.0, 21447.0]",4.1374,"[32685, 33082]","[33669.0, 34081.0]",,,,,,
4.1229,"[21208, 22779]","[21850.0, 23467.0]",4.1393,"[33151, 33486]","[34153.0, 34501.0]",,,,,,
4.1292,"[22910, 22939]","[23603.0, 23634.0]",4.1404,"[33533, 33620]","[34550.0, 34641.0]",,,,,,
4.1228,"[24158, 25037]","[24898.0, 25794.0]",4.1403,"[33740, 33996]","[34766.0, 35032.0]",,,,,,
4.138999999999999,"[26198, 26247]","[26987.0, 27038.0]",,,,,,,,,
4.1261,"[26339, 26430]","[27134.0, 27228.0]",,,,,,,,,
4.1301,"[26562, 26711]","[27366.0, 27521.0]",,,,,,,,,
4.1263,"[27452, 27671]","[28294.0, 28517.0]",,,,,,,,,
4.13765,"[28814, 28848]","[29683.0, 29718.0]",,,,,,,,,
4.1256,"[29813, 29832]","[30714.0, 30733.0]",,,,,,,,,
4.1161,"[30601, 32129]","[31534.0, 33101.0]",,,,,,,,,
4.1359,"[33106, 33127]","[34106.0, 34128.0]",,,,,,,,,
4.1305,"[34020, 34193]","[35057.0, 35237.0]",,,,,,,,,
