state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
323045.0,"[8, 320]","[9.112, 328.75]",315170.0,"[838, 1028]","[866.51, 1064.1]",299780.0,"[29732, 29868]","[30669.0, 30811.0]",321810.0,"[337, 405]","[346.17, 416.63]"
319630.0,"[422, 821]","[434.23, 848.83]",315100.0,"[1233, 1504]","[1277.7, 1559.9]",295860.0,"[31889, 31988]","[32881.0, 32984.0]",314130.0,"[1602, 1631]","[1661.9, 1692.0]"
316410.0,"[1045, 1216]","[1081.8, 1260.0]",311590.0,"[1767, 2187]","[1833.7, 2273.0]",295325.0,"[32964, 33064]","[34000.0, 34104.0]",313270.0,"[1675, 1704]","[1737.8, 1768.0]"
315155.0,"[1521, 1585]","[1577.6, 1644.2]",309250.0,"[2949, 3344]","[3050.5, 3453.5]",301380.0,"[34157, 34242]","[35232.0, 35319.0]",310595.0,"[2381, 2469]","[2470.9, 2560.8]"
313995.0,"[1648, 1658]","[1709.7, 1720.1]",306540.0,"[19576, 20072]","[20203.0, 20709.0]",297220.0,"[35810, 35939]","[36928.0, 37063.0]",310615.0,"[2510, 2634]","[2602.6, 2729.1]"
314200.0,"[1721, 1750]","[1785.6, 1816.0]",305430.0,"[26317, 26626]","[27147.0, 27472.0]",302300.0,"[36429, 36479]","[37572.0, 37624.0]",310120.0,"[2702, 2889]","[2798.5, 2989.3]"
312290.0,"[2204, 2364]","[2290.4, 2453.6]",307745.0,"[29519, 29715]","[30448.0, 30652.0]",,,,304210.0,"[5459, 5577]","[5642.9, 5765.7]"
310940.0,"[2486, 2493]","[2578.1, 2585.3]",306640.0,"[29885, 30375]","[30828.0, 31336.0]",,,,307125.0,"[7455, 7581]","[7686.9, 7817.2]"
312085.0,"[2651, 2685]","[2746.4, 2781.1]",303070.0,"[31380, 31398]","[32361.0, 32379.0]",,,,301680.0,"[8428, 8619]","[8698.6, 8897.3]"
309830.0,"[2906, 2932]","[3006.6, 3033.1]",307040.0,"[31446, 31872]","[32428.0, 32864.0]",,,,306240.0,"[11858, 12095]","[12235.0, 12482.0]"
307820.0,"[3361, 5442]","[3470.8, 5625.2]",297380.0,"[32558, 32583]","[33577.0, 33603.0]",,,,303690.0,"[12585, 12712]","[12995.0, 13125.0]"
307630.0,"[5594, 7438]","[5787.4, 7669.4]",303070.0,"[32627, 32948]","[33649.0, 33983.0]",,,,301070.0,"[13153, 13218]","[13575.0, 13641.0]"
307640.0,"[7598, 8411]","[7834.9, 8681.0]",306290.0,"[33430, 34140]","[34484.0, 35215.0]",,,,301830.0,"[13278, 13410]","[13702.0, 13837.0]"
304760.0,"[8636, 11841]","[8915.0, 12217.0]",305795.0,"[34705, 35031]","[35792.0, 36124.0]",,,,305520.0,"[14825, 15128]","[15290.0, 15605.0]"
306340.0,"[12112, 12564]","[12499.0, 12970.0]",305780.0,"[35089, 35176]","[36184.0, 36272.0]",,,,303580.0,"[15526, 15617]","[16019.0, 16114.0]"
302080.0,"[12729, 13136]","[13142.0, 13557.0]",305510.0,"[35215, 35793]","[36312.0, 36911.0]",,,,305195.0,"[15664, 15714]","[16162.0, 16214.0]"
