state1,state4,state2,state3
4.1673,4.16795,4.1684,4.17735
4.1684,4.1783,4.1772,4.1782
4.1736,4.1795,4.1772,4.17665
4.1791,4.1755,4.169,4.1817
4.17985,4.16985,4.16355,4.181
4.1782,4.1673,4.1637,4.18375
4.173349999999999,4.1407,4.1873,
4.1731,4.1403,4.1864,
4.16655,4.1343,4.1657,
4.1665,4.1429,4.18155,
4.1479,4.1378,4.1601,
4.1402,4.1377,4.1776,
4.1387,4.1403,4.1801,
4.1379,4.1441,4.1758500000000005,
4.1413,4.1428,4.1851,
4.1384,4.14305,4.1889,
4.1368,4.1424,4.1833,
4.1425,4.1449,4.1594,
4.1453,4.1392500000000005,4.1739,
4.1389,4.1398,,
4.1467,4.1442,,
4.1431,4.1453,,
4.1433,4.1516,,
4.1399,4.145,,
4.14055,4.1393,,
4.1437,4.1449,,
4.1501,4.14645,,
4.1527,4.1456,,
4.1501,4.14625,,
4.1424,4.1502,,
4.1438,4.1524,,
4.145,4.15485,,
4.1481,4.1683,,
4.14315,4.1738,,
4.1507,4.1776,,
4.1501,4.183450000000001,,
4.16275,4.18815,,
4.1526,4.1699,,
4.1632,4.162,,
4.173,4.1805,,
4.17675,4.155900000000001,,
4.1815999999999995,4.145,,
4.1859,4.1492,,
4.1694,4.1465,,
4.1689,4.1479,,
4.17075,4.15485,,
4.1737,,,
4.18365,,,
4.19135,,,
4.1679,,,
4.14645,,,
4.1486,,,
4.1463,,,
4.1437,,,
4.151,,,
4.1586,,,
4.17,,,
4.1959,,,
