state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
-0.00019591999999999998,"[8, 320]","[9.112, 328.75]",0.00018594,"[838, 1028]","[866.51, 1064.1]",-0.000473805,"[29732, 29868]","[30669.0, 30811.0]",-3.794247e-05,"[337, 405]","[346.17, 416.63]"
0.00010011,"[422, 821]","[434.23, 848.83]",-9.063100000000001e-05,"[1233, 1504]","[1277.7, 1559.9]",-0.00012058,"[31889, 31988]","[32881.0, 32984.0]",0.00067882,"[1602, 1631]","[1661.9, 1692.0]"
-0.00015764,"[1045, 1216]","[1081.8, 1260.0]",-0.00018836,"[1767, 2187]","[1833.7, 2273.0]",-0.000237065,"[32964, 33064]","[34000.0, 34104.0]",0.00054286,"[1675, 1704]","[1737.8, 1768.0]"
0.0007176,"[1521, 1585]","[1577.6, 1644.2]",-0.00015915,"[2949, 3344]","[3050.5, 3453.5]",-0.00059425,"[34157, 34242]","[35232.0, 35319.0]",0.00011693700000000001,"[2381, 2469]","[2470.9, 2560.8]"
0.0006214237500000001,"[1648, 1658]","[1709.7, 1720.1]",6.787549999999999e-05,"[19576, 20072]","[20203.0, 20709.0]",6.468e-05,"[35810, 35939]","[36928.0, 37063.0]",-0.00014779,"[2510, 2634]","[2602.6, 2729.1]"
-0.00081509,"[1721, 1750]","[1785.6, 1816.0]",0.00029684,"[26317, 26626]","[27147.0, 27472.0]",-0.00017978999999999998,"[36429, 36479]","[37572.0, 37624.0]",0.00022278,"[2702, 2889]","[2798.5, 2989.3]"
-0.0001006755,"[2204, 2364]","[2290.4, 2453.6]",0.000709515,"[29519, 29715]","[30448.0, 30652.0]",,,,0.0005614,"[5459, 5577]","[5642.9, 5765.7]"
0.00028955,"[2486, 2493]","[2578.1, 2585.3]",-7.84065e-05,"[29885, 30375]","[30828.0, 31336.0]",,,,-0.000699155,"[7455, 7581]","[7686.9, 7817.2]"
-0.000580125,"[2651, 2685]","[2746.4, 2781.1]",-0.00055696,"[31380, 31398]","[32361.0, 32379.0]",,,,0.00027097,"[8428, 8619]","[8698.6, 8897.3]"
0.0004864,"[2906, 2932]","[3006.6, 3033.1]",0.00011575499999999999,"[31446, 31872]","[32428.0, 32864.0]",,,,-0.00028442,"[11858, 12095]","[12235.0, 12482.0]"
-0.00010012,"[3361, 5442]","[3470.8, 5625.2]",-0.00019556,"[32558, 32583]","[33577.0, 33603.0]",,,,-0.00011819,"[12585, 12712]","[12995.0, 13125.0]"
