state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
81.753,"[834, 1251]","[852.2, 1278.4]",-91.313,"[12, 154]","[13.12, 158.0]",-123.445,"[179, 229]","[183.5, 234.52]",34.7575,"[6721, 7053]","[6928.5, 7267.2]"
1.345395,"[2422, 3290]","[2496.1, 3392.9]",-67.654,"[281, 538]","[287.56, 549.8]",124.22,"[716, 809]","[731.36, 826.7]",-158.135,"[9394, 9488]","[9681.3, 9779.2]"
-63.237,"[3476, 3996]","[3582.7, 4113.5]",56.0385,"[583, 691]","[595.7, 705.86]",449.95,"[4757, 4805]","[4891.3, 4941.1]",225.095,"[10301, 10341]","[10619.0, 10659.0]"
422.605,"[4248, 4278]","[4370.6, 4401.2]",-112.6,"[1276, 1655]","[1304.2, 1698.0]",-104.5,"[5910, 5977]","[6090.9, 6160.6]",52.673,"[10416, 10603]","[10736.0, 10927.0]"
2428.9,"[4830, 4863]","[4967.1, 5001.4]",35.24,"[1710, 1851]","[1755.2, 1902.0]",561.935,"[8358, 8396]","[8603.8, 8643.3]",31.794,"[11868, 11986]","[12220.0, 12343.0]"
99.479,"[5007, 5408]","[5151.3, 5568.5]",13.7895,"[1902, 2028]","[1955.1, 2086.2]",-423.315,"[12691, 12821]","[13076.0, 13211.0]",106.205,"[16187, 16413]","[16678.0, 16913.0]"
-223.47,"[6001, 6020]","[6185.6, 6205.4]",129.74,"[2071, 2278]","[2130.9, 2346.3]",695.42,"[16091, 16120]","[16578.0, 16609.0]",-311.88,"[16487, 16502]","[16990.0, 17006.0]"
65.04350000000001,"[6282, 6696]","[6477.9, 6903.0]",-17.734999999999996,"[2317, 2397]","[2386.9, 2470.1]",-251.14999999999998,"[19464, 19540]","[20054.0, 20133.0]",24.533,"[20614, 20854]","[21247.0, 21491.0]"
56.46,"[7078, 7606]","[7292.7, 7831.3]",20.027,"[3315, 3388]","[3418.4, 3492.9]",124.82100000000001,"[20461, 20523]","[21091.0, 21154.0]",52.201,"[23066, 23361]","[23767.0, 24074.0]"
