state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
232220.0,"[834, 1251]","[852.2, 1278.4]",233720.0,"[12, 154]","[13.12, 158.0]",230920.0,"[179, 229]","[183.5, 234.52]",226280.0,"[6721, 7053]","[6928.5, 7267.2]"
230220.0,"[2422, 3290]","[2496.1, 3392.9]",234770.0,"[281, 538]","[287.56, 549.8]",232820.0,"[716, 809]","[731.36, 826.7]",225040.0,"[9394, 9488]","[9681.3, 9779.2]"
227660.0,"[3476, 3996]","[3582.7, 4113.5]",234420.0,"[583, 691]","[595.7, 705.86]",220960.0,"[4757, 4805]","[4891.3, 4941.1]",225175.0,"[10301, 10341]","[10619.0, 10659.0]"
226795.0,"[4248, 4278]","[4370.6, 4401.2]",230010.0,"[1276, 1655]","[1304.2, 1698.0]",225620.0,"[5910, 5977]","[6090.9, 6160.6]",223910.0,"[10416, 10603]","[10736.0, 10927.0]"
225310.0,"[4830, 4863]","[4967.1, 5001.4]",228340.0,"[1710, 1851]","[1755.2, 1902.0]",222270.0,"[8358, 8396]","[8603.8, 8643.3]",224900.0,"[11868, 11986]","[12220.0, 12343.0]"
226370.0,"[5007, 5408]","[5151.3, 5568.5]",227740.0,"[1902, 2028]","[1955.1, 2086.2]",215140.0,"[12691, 12821]","[13076.0, 13211.0]",225340.0,"[16187, 16413]","[16678.0, 16913.0]"
225930.0,"[6001, 6020]","[6185.6, 6205.4]",227350.0,"[2071, 2278]","[2130.9, 2346.3]",222620.0,"[16091, 16120]","[16578.0, 16609.0]",222150.0,"[16487, 16502]","[16990.0, 17006.0]"
224330.0,"[6282, 6696]","[6477.9, 6903.0]",226910.0,"[2317, 2397]","[2386.9, 2470.1]",215580.0,"[19464, 19540]","[20054.0, 20133.0]",224685.0,"[20614, 20854]","[21247.0, 21491.0]"
225210.0,"[7078, 7606]","[7292.7, 7831.3]",226840.0,"[3315, 3388]","[3418.4, 3492.9]",219390.0,"[20461, 20523]","[21091.0, 21154.0]",221610.0,"[23066, 23361]","[23767.0, 24074.0]"
222970.0,"[8671, 8803]","[8929.3, 9066.6]",227275.0,"[4021, 4223]","[4139.0, 4345.1]",221060.0,"[21555, 21642]","[22207.0, 22295.0]",219210.0,"[23475, 23570]","[24192.0, 24291.0]"
223960.0,"[9259, 9369]","[9540.9, 9655.3]",226500.0,"[4303, 4490]","[4426.7, 4617.5]",221970.0,"[22181, 22273]","[22847.0, 22942.0]",221390.0,"[24996, 25181]","[25754.0, 25942.0]"
223680.0,"[9512, 9792]","[9804.2, 10095.0]",226000.0,"[4546, 4611]","[4674.7, 4741.2]",222980.0,"[22943, 22986]","[23639.0, 23683.0]",221060.0,"[25474, 25510]","[26242.0, 26278.0]"
225240.0,"[10153, 10277]","[10468.0, 10594.0]",226990.0,"[4660, 4732]","[4791.4, 4865.4]",221020.0,"[24629, 24651]","[25379.0, 25402.0]",222880.0,"[25624, 25751]","[26395.0, 26526.0]"
224630.0,"[10365, 10391]","[10684.0, 10710.0]",225385.0,"[4888, 4982]","[5027.3, 5125.3]",223090.0,"[26877, 26901]","[27698.0, 27722.0]",224570.0,"[26121, 26284]","[26911.0, 27081.0]"
224580.0,"[10628, 11844]","[10952.0, 12195.0]",225130.0,"[5432, 5609]","[5593.5, 5777.6]",219430.0,"[27312, 27399]","[28153.0, 28241.0]",221355.0,"[28904, 29106]","[29777.0, 29984.0]"
224500.0,"[12010, 12075]","[12368.0, 12435.0]",226070.0,"[5664, 5885]","[5835.0, 6064.9]",220310.0,"[28015, 28123]","[28870.0, 28980.0]",223700.0,"[31689, 31791]","[32655.0, 32759.0]"
