state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
0.00010877,"[834, 1251]","[852.2, 1278.4]",-0.00029233,"[12, 154]","[13.12, 158.0]",0.000585645,"[179, 229]","[183.5, 234.52]",0.000165625,"[6721, 7053]","[6928.5, 7267.2]"
9.7403e-05,"[2422, 3290]","[2496.1, 3392.9]",-7.9945e-05,"[281, 538]","[287.56, 549.8]",0.00055338,"[716, 809]","[731.36, 826.7]",0.0006760949999999999,"[9394, 9488]","[9681.3, 9779.2]"
-0.0003957,"[3476, 3996]","[3582.7, 4113.5]",-5.2928999999999994e-05,"[583, 691]","[595.7, 705.86]",0.000281345,"[4757, 4805]","[4891.3, 4941.1]",0.001719915,"[10301, 10341]","[10619.0, 10659.0]"
0.0009633549999999999,"[4248, 4278]","[4370.6, 4401.2]",7.3167e-05,"[1276, 1655]","[1304.2, 1698.0]",0.00067104,"[5910, 5977]","[6090.9, 6160.6]",0.00023603,"[10416, 10603]","[10736.0, 10927.0]"
-1.4785e-05,"[4830, 4863]","[4967.1, 5001.4]",1.1949e-05,"[1710, 1851]","[1755.2, 1902.0]",0.0013755500000000001,"[8358, 8396]","[8603.8, 8643.3]",-0.00036158,"[11868, 11986]","[12220.0, 12343.0]"
0.00029078,"[5007, 5408]","[5151.3, 5568.5]",-0.00018330499999999998,"[1902, 2028]","[1955.1, 2086.2]",-0.000475535,"[12691, 12821]","[13076.0, 13211.0]",0.00022591499999999998,"[16187, 16413]","[16678.0, 16913.0]"
-0.0025406,"[6001, 6020]","[6185.6, 6205.4]",6.9305e-05,"[2071, 2278]","[2130.9, 2346.3]",-0.00061719,"[16091, 16120]","[16578.0, 16609.0]",0.0023501,"[16487, 16502]","[16990.0, 17006.0]"
0.000319755,"[6282, 6696]","[6477.9, 6903.0]",0.000586545,"[2317, 2397]","[2386.9, 2470.1]",0.00045109,"[19464, 19540]","[20054.0, 20133.0]",0.000410125,"[20614, 20854]","[21247.0, 21491.0]"
0.000124755,"[7078, 7606]","[7292.7, 7831.3]",-0.0012116,"[3315, 3388]","[3418.4, 3492.9]",-3.7464e-05,"[20461, 20523]","[21091.0, 21154.0]",-0.00039406,"[23066, 23361]","[23767.0, 24074.0]"
0.000204985,"[8671, 8803]","[8929.3, 9066.6]",0.00022914000000000002,"[4021, 4223]","[4139.0, 4345.1]",-0.00036362,"[21555, 21642]","[22207.0, 22295.0]",-0.00025611,"[23475, 23570]","[24192.0, 24291.0]"
-0.00030203,"[9259, 9369]","[9540.9, 9655.3]",0.00044557,"[4303, 4490]","[4426.7, 4617.5]",-0.000206195,"[22181, 22273]","[22847.0, 22942.0]",5.3076000000000005e-05,"[24996, 25181]","[25754.0, 25942.0]"
