state1,state4,state2,state3
4.1996,4.1902,4.2013,4.1922
4.1921,4.172,4.2042,4.1979
4.1884,4.1722,4.2016,4.1858
4.1882,4.1794,4.205,4.1819999999999995
4.1855,4.1747,4.2072,4.1924
4.1773,4.1604,4.2075,4.20235
4.1776,4.1681,4.1918500000000005,4.1908
4.178649999999999,4.1677,4.18645,4.197900000000001
4.1772,4.1714,4.189,
4.1811,4.163,4.1789,
4.1771,4.1663,4.1794,
4.1763,4.170299999999999,4.1808,
4.1732,4.16785,4.1816,
4.1716,4.1699,4.1829,
4.1751,4.1721,4.184,
4.1752,4.1758500000000005,4.1881,
4.1711,4.16585,4.1744,
4.1674,4.1716,4.1811,
4.16555,4.16695,4.178649999999999,
4.1685,4.1769,4.1839,
4.1707,4.1779,4.188,
4.1665,4.1888,4.2023,
4.1648,4.177300000000001,4.2049,
4.1675,4.1916,4.18615,
4.1697,4.18225,4.1947,
4.1699,4.1788,4.1792,
4.171,4.1762,4.1862,
4.1703,4.1868,4.18675,
4.1694,4.1919,4.1929,
4.16995,,4.1957,
4.1709499999999995,,4.2011,
4.1696,,,
4.17445,,,
4.1764,,,
4.1775,,,
4.1765,,,
4.1863,,,
4.18455,,,
4.181,,,
4.1985,,,
4.1848,,,
4.1808,,,
4.19215,,,
4.178999999999999,,,
4.17615,,,
4.177,,,
4.1869,,,
4.1816,,,
4.18375,,,
4.1906,,,
4.2043,,,
4.2028,,,
4.1858,,,
4.3248,,,
