state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
2.479,"[838, 856]","[867.04, 885.4]",2.4362500000000002,"[12, 86]","[12.606, 89.566]",2.489,"[110, 235]","[114.6, 244.65]",2.4557,"[881, 954]","[910.9, 985.36]"
2.4788,"[979, 1514]","[1010.9, 1556.7]",2.4355,"[283, 813]","[294.61, 841.54]",2.4831,"[4847, 5026]","[4993.1, 5175.7]",2.4574499999999997,"[1539, 1573]","[1582.2, 1616.9]"
2.4688,"[1598, 1706]","[1642.4, 1752.5]",2.4367,"[2349, 2970]","[2410.6, 3056.6]",2.4832,"[6245, 6270]","[6429.5, 6455.5]",2.4635,"[1731, 1902]","[1778.0, 1952.8]"
2.46205,"[1927, 1961]","[1978.3, 2013.0]",2.4384,"[3694, 3893]","[3810.0, 4020.0]",2.4848,"[6821, 6954]","[7029.0, 7167.4]",2.4372499999999997,"[1986, 2090]","[2038.6, 2144.9]"
2.4720000000000004,"[2115, 2149]","[2170.4, 2205.2]",2.435,"[4043, 4822]","[4173.0, 4967.6]",2.4918,"[11723, 11784]","[12081.0, 12143.0]",2.4659500000000003,"[2174, 2200]","[2230.9, 2257.5]"
2.4838,"[2225, 2324]","[2283.1, 2384.8]",2.4314,"[5592, 6055]","[5753.8, 6231.9]",2.48475,"[12455, 12501]","[12828.0, 12875.0]",2.4498,"[2994, 3312]","[3081.6, 3412.5]"
2.4715,"[3337, 3532]","[3438.5, 3641.4]",2.4291,"[6111, 6220]","[6290.1, 6403.5]",2.48085,"[14913, 14959]","[15371.0, 15418.0]",2.45435,"[3556, 3578]","[3666.4, 3689.3]"
2.48075,"[3602, 3670]","[3714.3, 3785.0]",2.4322,"[6313, 6798]","[6500.3, 7005.0]",2.48925,"[15697, 15759]","[16170.0, 16234.0]",2.4668,"[3918, 4018]","[4045.5, 4147.5]"
2.47025,"[5267, 5567]","[5421.6, 5728.3]",2.4343,"[7014, 7370]","[7229.9, 7600.5]",2.4886999999999997,"[17248, 17308]","[17771.0, 17834.0]",2.455,"[5079, 5242]","[5229.8, 5396.1]"
2.4749499999999998,"[7536, 8028]","[7773.6, 8275.5]",2.4395499999999997,"[8833, 9293]","[9096.8, 9567.2]",2.4974,"[31752, 31852]","[32719.0, 32823.0]",2.4509,"[7398, 7511]","[7632.9, 7748.1]"
2.4778,"[8124, 8377]","[8373.4, 8631.5]",2.4494499999999997,"[9811, 9847]","[10105.0, 10143.0]",2.4934000000000003,"[32699, 32737]","[33691.0, 33730.0]",2.4528499999999998,"[8053, 8099]","[8301.0, 8347.9]"
2.4677,"[8488, 8808]","[8744.8, 9071.3]",2.4357,"[9895, 10555]","[10193.0, 10880.0]",2.4913,"[37508, 37627]","[38638.0, 38762.0]",2.4571,"[8402, 8463]","[8657.0, 8719.3]"
2.4684,"[9530, 9787]","[9813.2, 10080.0]",2.4353,"[11354, 11699]","[11704.0, 12056.0]",2.4859,"[38776, 38799]","[39958.0, 39981.0]",2.4486,"[9318, 9505]","[9592.9, 9787.2]"
2.4567,"[10579, 10662]","[10905.0, 10991.0]",2.4374,"[11887, 12431]","[12248.0, 12803.0]",2.4984,"[40970, 40999]","[42205.0, 42235.0]",2.4447,"[10686, 10868]","[11016.0, 11205.0]"
