state1.2
"[867.04, 885.4]"
"[1010.9, 1556.7]"
"[1642.4, 1752.5]"
"[1978.3, 2013.0]"
"[2170.4, 2205.2]"
"[2283.1, 2384.8]"
"[3438.5, 3641.4]"
"[3714.3, 3785.0]"
"[5421.6, 5728.3]"
"[7773.6, 8275.5]"
"[8373.4, 8631.5]"
"[8744.8, 9071.3]"
"[9813.2, 10080.0]"
"[10905.0, 10991.0]"
"[11284.0, 11392.0]"
"[11512.0, 11679.0]"
"[12172.0, 12223.0]"
"[12981.0, 13008.0]"
"[13324.0, 13683.0]"
"[13881.0, 13980.0]"
"[14104.0, 14127.0]"
"[14323.0, 14396.0]"
"[14628.0, 14691.0]"
"[14777.0, 14862.0]"
"[16739.0, 16799.0]"
"[16931.0, 17246.0]"
"[17859.0, 18014.0]"
"[18307.0, 18411.0]"
"[18442.0, 18569.0]"
"[18631.0, 19181.0]"
"[19339.0, 20377.0]"
"[20537.0, 20649.0]"
"[21610.0, 21633.0]"
"[21870.0, 22580.0]"
"[22734.0, 22785.0]"
"[23034.0, 23753.0]"
"[23970.0, 24061.0]"
"[25017.0, 25096.0]"
"[25286.0, 25393.0]"
"[25466.0, 25525.0]"
"[25703.0, 25926.0]"
"[25988.0, 26038.0]"
"[26111.0, 26630.0]"
"[26788.0, 27666.0]"
"[27960.0, 28923.0]"
"[29295.0, 29502.0]"
"[29579.0, 29742.0]"
"[29935.0, 30322.0]"
"[30495.0, 30574.0]"
"[30991.0, 31610.0]"
"[31663.0, 31714.0]"
"[31839.0, 31870.0]"
"[33954.0, 33981.0]"
"[34055.0, 36242.0]"
"[36382.0, 36733.0]"
"[36847.0, 37109.0]"
"[37390.0, 37622.0]"
"[40385.0, 41020.0]"
"[41109.0, 41532.0]"
