state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
445.02,"[8, 1845]","[8.74, 1902.2]",-8354.8,"[2296, 2329]","[2371.6, 2405.9]",-581.445,"[11652, 11736]","[12003.0, 12090.0]",-2633.5,"[1862, 1922]","[1919.9, 1982.3]"
2000.0500000000002,"[1939, 2279]","[1999.9, 2353.9]",-3237.65,"[2381, 2539]","[2460.0, 2624.4]",-666.59,"[17572, 17685]","[18111.0, 18226.0]",-8103.299999999999,"[3037, 3067]","[3135.0, 3165.6]"
14523.0,"[2346, 2364]","[2423.6, 2442.3]",-2198.05,"[2558, 3008]","[2646.4, 3105.4]",57.878,"[30863, 31049]","[31819.0, 32009.0]",-7698.25,"[5585, 5611]","[5758.5, 5785.5]"
-9.4344,"[3084, 4715]","[3182.9, 4853.2]",-1427.8,"[4732, 4969]","[4870.8, 5117.3]",1252.6,"[32946, 33061]","[33955.0, 34074.0]",-885.955,"[6701, 6849]","[6910.5, 7061.4]"
20007.0,"[4986, 5011]","[5134.9, 5161.3]",-1671.1,"[5028, 5553]","[5179.0, 5725.2]",317.62,"[38505, 38598]","[39690.0, 39785.0]",-1661.9,"[7548, 7598]","[7774.5, 7825.5]"
803.66,"[5628, 6684]","[5803.2, 6893.1]",-10474.15,"[7982, 7992]","[8219.1, 8229.5]",,,,-1268.0500000000002,"[7642, 7844]","[7870.4, 8076.9]"
-413.91,"[6866, 7531]","[7078.8, 7757.2]",-8352.2,"[8193, 8238]","[8438.5, 8485.3]",,,,-7567.049999999999,"[8266, 8296]","[8514.4, 8545.6]"
21688.0,"[7615, 7625]","[7842.9, 7853.1]",-712.64,"[9027, 9268]","[9306.3, 9557.2]",,,,-4072.9,"[8639, 8688]","[8902.6, 8953.6]"
-809.24,"[7861, 7965]","[8094.3, 8201.5]",-1991.5500000000002,"[10640, 11220]","[10966.0, 11558.0]",,,,-7414.5,"[8789, 8826]","[9058.7, 9097.1]"
757.12,"[8009, 8176]","[8247.1, 8420.8]",-1442.5,"[11306, 11636]","[11646.0, 11986.0]",,,,-1579.6,"[9320, 9433]","[9611.2, 9728.8]"
1280.8,"[8313, 8622]","[8563.2, 8884.9]",-3721.2,"[13020, 13055]","[13426.0, 13466.0]",,,,-5305.299999999999,"[10123, 10161]","[10439.0, 10478.0]"
-2137.3,"[8705, 8772]","[8971.3, 9041.0]",-2152.9,"[13462, 13732]","[13882.0, 14157.0]",,,,541.32,"[10232, 10286]","[10550.0, 10605.0]"
676.35,"[8843, 9010]","[9114.8, 9288.6]",-1934.1999999999998,"[14697, 15097]","[15141.0, 15553.0]",,,,-1883.85,"[12282, 12342]","[12658.0, 12721.0]"
20745.0,"[9285, 9303]","[9574.8, 9593.6]",-2789.55,"[16505, 16759]","[17018.0, 17282.0]",,,,-1112.8,"[12804, 12927]","[13202.0, 13330.0]"
1.19325,"[9450, 10106]","[9746.4, 10422.0]",-1699.15,"[17109, 17555]","[17639.0, 18094.0]",,,,-2662.4,"[13071, 13148]","[13483.0, 13561.0]"
5546.7,"[10178, 10215]","[10495.0, 10533.0]",-3327.2,"[17764, 17857]","[18307.0, 18402.0]",,,,859.25,"[13749, 13949]","[14174.0, 14378.0]"
-99.7705,"[10303, 10619]","[10622.0, 10945.0]",-1901.3,"[18175, 18686]","[18727.0, 19254.0]",,,,-38.5,"[14616, 14681]","[15059.0, 15125.0]"
1808.2,"[11236, 11289]","[11575.0, 11629.0]",-4976.9,"[20891, 20949]","[21534.0, 21594.0]",,,,-240.24,"[15113, 15252]","[15570.0, 15714.0]"
-0.95845,"[11752, 12265]","[12107.0, 12641.0]",-2539.6000000000004,"[21032, 21062]","[21678.0, 21709.0]",,,,-873.4000000000001,"[16283, 16389]","[16787.0, 16897.0]"
965.29,"[12358, 12788]","[12738.0, 13185.0]",-1908.05,"[21122, 21376]","[21770.0, 22029.0]",,,,-955.29,"[18703, 18889]","[19271.0, 19465.0]"
-306.69,"[12944, 13003]","[13347.0, 13409.0]",-2115.4,"[23111, 23387]","[23823.0, 24110.0]",,,,-2466.5,"[19424, 19481]","[20022.0, 20081.0]"
