state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
4.2326,"[1152, 1162]","[1190.6, 1200.8]",4.1417,"[8, 474]","[9.321, 494.38]",4.20335,"[490, 606]","[515.27, 633.6]",4.18685,"[623, 649]","[650.93, 677.46]"
4.2096,"[1262, 1782]","[1302.8, 1833.3]",4.1422,"[666, 1080]","[694.8, 1117.2]",4.221,"[1097, 1135]","[1134.5, 1173.3]",4.2139999999999995,"[1179, 1245]","[1218.2, 1285.5]"
4.2094,"[2471, 2892]","[2538.8, 2976.8]",4.13355,"[1799, 2319]","[1850.6, 2381.7]",4.201499999999999,"[2336, 2454]","[2399.1, 2521.2]",4.1584,"[2909, 2973]","[2994.5, 3061.2]"
4.1992,"[2990, 3780]","[3078.9, 3901.1]",4.1333,"[3797, 4062]","[3918.8, 4196.8]",4.2101500000000005,"[9312, 9380]","[9590.9, 9660.9]",4.1857500000000005,"[5974, 6042]","[6150.6, 6221.4]"
4.2072,"[4079, 4560]","[4214.2, 4704.9]",4.1668,"[4577, 4796]","[4722.2, 4945.6]",4.2105,"[10066, 10111]","[10374.0, 10421.0]",4.1807,"[6570, 6807]","[6770.5, 7017.0]"
4.2103,"[4813, 5141]","[4962.9, 5297.5]",4.163,"[5158, 5333]","[5314.9, 5493.4]",4.19745,"[12475, 12563]","[12854.0, 12944.0]",4.1777,"[7579, 7680]","[7822.2, 7925.2]"
4.194,"[5350, 5845]","[5510.7, 6017.1]",4.1461,"[5862, 5911]","[6034.6, 6085.3]",4.21575,"[13850, 14040]","[14278.0, 14476.0]",4.17945,"[9156, 9170]","[9431.0, 9445.3]"
4.1936,"[5928, 5957]","[6102.9, 6133.0]",4.1279,"[6309, 6553]","[6499.1, 6752.8]",4.20575,"[21805, 21905]","[22482.0, 22585.0]",4.2347,"[10128, 10172]","[10439.0, 10485.0]"
4.1867,"[6059, 6292]","[6239.0, 6481.3]",4.1767,"[7262, 7295]","[7490.5, 7524.8]",4.23005,"[22589, 22685]","[23282.0, 23380.0]",4.2019,"[13030, 13175]","[13425.0, 13576.0]"
4.2013,"[6824, 7245]","[7034.7, 7472.8]",4.1287,"[7347, 7562]","[7578.9, 7804.8]",4.2256,"[23184, 23245]","[23890.0, 23953.0]",4.1627,"[17185, 17407]","[17714.0, 17946.0]"
