state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
-0.00707495,"[1152, 1162]","[1190.6, 1200.8]",-0.00189775,"[8, 474]","[9.321, 494.38]",0.000914425,"[490, 606]","[515.27, 633.6]",-0.010768,"[623, 649]","[650.93, 677.46]"
0.000981035,"[1262, 1782]","[1302.8, 1833.3]",-0.0016792,"[666, 1080]","[694.8, 1117.2]",0.0043318,"[1097, 1135]","[1134.5, 1173.3]",-0.000115042,"[1179, 1245]","[1218.2, 1285.5]"
0.00084293,"[2471, 2892]","[2538.8, 2976.8]",-0.001546,"[1799, 2319]","[1850.6, 2381.7]",0.00154945,"[2336, 2454]","[2399.1, 2521.2]",-0.0025975499999999997,"[2909, 2973]","[2994.5, 3061.2]"
0.000588055,"[2990, 3780]","[3078.9, 3901.1]",-0.0017177,"[3797, 4062]","[3918.8, 4196.8]",0.0038867,"[9312, 9380]","[9590.9, 9660.9]",0.00146125,"[5974, 6042]","[6150.6, 6221.4]"
0.00057894,"[4079, 4560]","[4214.2, 4704.9]",-0.00050132,"[4577, 4796]","[4722.2, 4945.6]",-0.0017971,"[10066, 10111]","[10374.0, 10421.0]",-0.00010735,"[6570, 6807]","[6770.5, 7017.0]"
0.00015043,"[4813, 5141]","[4962.9, 5297.5]",-5.8348000000000004e-05,"[5158, 5333]","[5314.9, 5493.4]",0.00028639,"[12475, 12563]","[12854.0, 12944.0]",0.00032064,"[7579, 7680]","[7822.2, 7925.2]"
0.00051806,"[5350, 5845]","[5510.7, 6017.1]",-0.0050308,"[5862, 5911]","[6034.6, 6085.3]",-0.00041226,"[13850, 14040]","[14278.0, 14476.0]",0.006609450000000001,"[9156, 9170]","[9431.0, 9445.3]"
0.0060747,"[5928, 5957]","[6102.9, 6133.0]",-0.00233505,"[6309, 6553]","[6499.1, 6752.8]",0.000513955,"[21805, 21905]","[22482.0, 22585.0]",0.00021616500000000004,"[10128, 10172]","[10439.0, 10485.0]"
0.0013186,"[6059, 6292]","[6239.0, 6481.3]",-0.013758000000000001,"[7262, 7295]","[7490.5, 7524.8]",-4.42825e-05,"[22589, 22685]","[23282.0, 23380.0]",-0.00050627,"[13030, 13175]","[13425.0, 13576.0]"
0.0004487,"[6824, 7245]","[7034.7, 7472.8]",-0.0015572000000000001,"[7347, 7562]","[7578.9, 7804.8]",0.0040564,"[23184, 23245]","[23890.0, 23953.0]",-0.00022117,"[17185, 17407]","[17714.0, 17946.0]"
0.006743,"[7312, 7330]","[7542.5, 7561.2]",-0.0016733,"[8505, 9139]","[8766.9, 9413.7]",0.00074212,"[23897, 24054]","[24630.0, 24793.0]",0.000931475,"[18317, 18399]","[18889.0, 18972.0]"
0.00074263,"[7697, 8488]","[7942.5, 8749.5]",-0.0015300499999999998,"[9187, 9295]","[9462.7, 9573.4]",-0.00028840800000000003,"[24797, 24907]","[25566.0, 25681.0]",-0.0031424,"[18475, 18548]","[19050.0, 19124.0]"
0.0006183,"[10189, 10957]","[10502.0, 11302.0]",-0.00159755,"[9397, 10049]","[9678.5, 10357.0]",-0.0019171500000000003,"[25684, 25730]","[26477.0, 26524.0]",0.0014727,"[19212, 19407]","[19802.0, 20001.0]"
