state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
4.2561,"[11, 512]","[867.79, 1378.8]",4.2191,"[25286, 25501]","[26914.0, 27133.0]",4.27,"[26296, 26443]","[27946.0, 28098.0]",4.2051,"[537, 598]","[1404.3, 1466.5]"
4.2353,"[623, 2406]","[1492.0, 3322.0]",4.1983,"[25909, 26272]","[27550.0, 27921.0]",4.2707,"[27151, 27304]","[28835.0, 28994.0]",4.1886,"[2431, 2560]","[3348.0, 3482.5]"
4.23205,"[2585, 3371]","[3508.5, 4326.7]",4.1978,"[26490, 27127]","[28147.0, 28810.0]",4.270849999999999,"[31653, 31707]","[33486.0, 33541.0]",4.2267,"[3396, 3436]","[4352.7, 4394.3]"
4.22815,"[3461, 4859]","[4420.3, 5850.9]",4.1971,"[27328, 27760]","[29019.0, 29469.0]",4.29505,"[32156, 32272]","[33999.0, 34117.0]",4.1811,"[4884, 4929]","[5876.4, 5922.4]"
4.2348,"[4954, 7089]","[5947.9, 8161.0]",4.1877,"[30927, 31629]","[32730.0, 33461.0]",4.2332,"[33026, 33091]","[34887.0, 34953.0]",4.1838999999999995,"[7114, 7168]","[8186.5, 8241.6]"
4.2311,"[7193, 10644]","[8267.1, 11826.0]",4.20425,"[31764, 32132]","[33599.0, 33974.0]",4.24885,"[33742, 33798]","[35627.0, 35685.0]",4.1848,"[11495, 11576]","[12694.0, 12777.0]"
4.2261,"[10695, 11470]","[11878.0, 12669.0]",4.2103,"[32316, 33002]","[34162.0, 34862.0]",4.2843,"[34029, 34118]","[35926.0, 36018.0]",4.1838999999999995,"[13779, 13901]","[15054.0, 15181.0]"
4.215,"[11600, 13755]","[12802.0, 15029.0]",4.1981,"[33349, 33717]","[35218.0, 35601.0]",4.260999999999999,"[34652, 34670]","[36574.0, 36592.0]",4.18705,"[15270, 15292]","[16583.0, 16606.0]"
4.18205,"[13925, 13971]","[15206.0, 15254.0]",4.1992,"[33822, 34005]","[35710.0, 35901.0]",4.269550000000001,"[34834, 34870]","[36763.0, 36801.0]",4.1952,"[15880, 15920]","[17207.0, 17249.0]"
4.232,"[13999, 15245]","[15286.0, 16558.0]",4.2088,"[34237, 34628]","[36142.0, 36549.0]",4.27805,"[35458, 35480]","[37406.0, 37429.0]",4.1845,"[17105, 17363]","[18482.0, 18750.0]"
4.233,"[15317, 15856]","[16631.0, 17182.0]",4.2238,"[34714, 34810]","[36638.0, 36738.0]",4.2575,"[40262, 40284]","[42346.0, 42369.0]",4.18675,"[17777, 17853]","[19179.0, 19257.0]"
4.2269,"[15944, 17081]","[17274.0, 18457.0]",4.2133,"[34894, 35433]","[36825.0, 37381.0]",4.28535,"[40597, 40663]","[42694.0, 42762.0]",4.1935,"[19218, 19268]","[20650.0, 20701.0]"
4.219,"[17387, 17752]","[18775.0, 19154.0]",4.21575,"[35537, 35727]","[37487.0, 37681.0]",,,,4.1828,"[20411, 20455]","[21887.0, 21933.0]"
4.2426,"[17878, 18375]","[19282.0, 19789.0]",4.17805,"[39325, 39391]","[41390.0, 41457.0]",,,,4.194,"[21011, 21123]","[22515.0, 22629.0]"
4.2291,"[18439, 19194]","[19854.0, 20625.0]",4.1928,"[39800, 39908]","[41874.0, 41985.0]",,,,4.188,"[22855, 22916]","[24398.0, 24461.0]"
4.2464,"[19293, 20387]","[20726.0, 21862.0]",4.1964,"[39965, 40237]","[42043.0, 42321.0]",,,,4.1907,"[22971, 23060]","[24518.0, 24610.0]"
4.2185,"[20479, 20987]","[21958.0, 22490.0]",4.2056,"[40348, 40573]","[42435.0, 42669.0]",,,,4.21655,"[25086, 25262]","[26710.0, 26889.0]"
4.2402,"[21147, 22831]","[22654.0, 24373.0]",4.2149,"[40710, 41036]","[42811.0, 43150.0]",,,,4.214600000000001,"[28169, 28203]","[29894.0, 29929.0]"
4.23045,"[23084, 25062]","[24635.0, 26685.0]",,,,,,,4.2238,"[28349, 28372]","[30078.0, 30101.0]"
4.2292,"[25526, 25885]","[27158.0, 27525.0]",,,,,,,4.2016,"[28530, 28552]","[30262.0, 30285.0]"
4.2637,"[27784, 28027]","[29494.0, 29749.0]",,,,,,,4.19505,"[29381, 29403]","[31130.0, 31153.0]"
4.2662,"[28079, 28144]","[29802.0, 29868.0]",,,,,,,4.1863,"[30351, 30387]","[32131.0, 32169.0]"
4.2479,"[28228, 28325]","[29954.0, 30053.0]",,,,,,,4.2428,"[33256, 33325]","[35122.0, 35193.0]"
4.2334,"[28396, 28505]","[30126.0, 30237.0]",,,,,,,4.25825,"[35792, 35822]","[37747.0, 37778.0]"
4.24705,"[28577, 29079]","[30310.0, 30822.0]",,,,,,,4.24315,"[35941, 36069]","[37899.0, 38030.0]"
4.2315,"[29137, 29356]","[30882.0, 31105.0]",,,,,,,4.2168,"[36509, 36648]","[38479.0, 38621.0]"
4.231,"[29428, 30327]","[31178.0, 32106.0]",,,,,,,4.2132,"[37894, 37913]","[39914.0, 39934.0]"
4.2286,"[30411, 30903]","[32194.0, 32705.0]",,,,,,,4.2024,"[38855, 38956]","[40910.0, 41013.0]"
4.274,"[33115, 33232]","[34978.0, 35097.0]",,,,,,,,,
4.2433,"[34142, 34213]","[36043.0, 36117.0]",,,,,,,,,
4.2813,"[35752, 35767]","[37706.0, 37722.0]",,,,,,,,,
4.2937,"[35847, 35916]","[37803.0, 37874.0]",,,,,,,,,
4.2552,"[36094, 36485]","[38055.0, 38454.0]",,,,,,,,,
4.2446,"[36673, 37208]","[38646.0, 39201.0]",,,,,,,,,
4.24525,"[37259, 37869]","[39254.0, 39888.0]",,,,,,,,,
4.2483,"[37937, 38830]","[39959.0, 40885.0]",,,,,,,,,
4.2396,"[38980, 39301]","[41038.0, 41365.0]",,,,,,,,,
4.2135,"[39416, 39775]","[41482.0, 41849.0]",,,,,,,,,
4.230650000000001,"[40308, 40324]","[42394.0, 42410.0]",,,,,,,,,
