state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
-558.845,"[954, 1330]","[993.14, 1387.3]",-1944.2,"[12, 137]","[12.9, 142.94]",924.91,"[162, 275]","[168.94, 286.58]",-6188.25,"[1814, 1836]","[1881.0, 1903.5]"
18162.5,"[2614, 2640]","[2697.2, 2723.7]",-1596.35,"[331, 875]","[344.82, 910.86]",14708.0,"[900, 929]","[936.86, 967.14]",-9320.25,"[2406, 2428]","[2485.0, 2507.4]"
2251.0,"[2817, 2945]","[2904.8, 3035.4]",-2925.6000000000004,"[1359, 1655]","[1416.9, 1718.9]",-183.03,"[1680, 1789]","[1744.4, 1855.5]",1641.6,"[2665, 2792]","[2749.2, 2879.3]"
2891.5,"[3771, 3974]","[3891.7, 4102.8]",-2831.3,"[1861, 2228]","[1929.0, 2303.4]",551.6400000000001,"[2253, 2381]","[2328.9, 2459.5]",-1207.8,"[6194, 6248]","[6387.7, 6442.9]"
-2111.0,"[4260, 4401]","[4400.5, 4547.1]",-1956.7,"[2453, 2589]","[2532.9, 2671.7]",5786.5,"[3711, 3747]","[3829.2, 3866.7]",2985.2,"[8233, 8252]","[8500.5, 8520.4]"
910.085,"[5748, 6170]","[5932.4, 6362.9]",-2253.35,"[2970, 3686]","[3061.0, 3803.2]",-1187.7,"[4826, 4927]","[4991.8, 5094.8]",-1428.8,"[8895, 8987]","[9180.7, 9274.6]"
1616.3,"[6387, 6456]","[6584.7, 6655.1]",-1347.25,"[3999, 4201]","[4128.8, 4339.1]",1004.065,"[5611, 5723]","[5792.6, 5906.9]",940.545,"[12089, 12151]","[12476.0, 12539.0]"
436.52,"[7191, 7266]","[7416.5, 7494.5]",-1897.65,"[4425, 4801]","[4572.2, 4966.3]",445.84000000000003,"[7479, 7571]","[7716.1, 7811.8]",1057.5,"[14548, 14609]","[15003.0, 15067.0]"
-504.46,"[8275, 8870]","[8548.3, 9155.2]",-2273.2,"[4952, 5586]","[5120.3, 5767.1]",-562.7249999999999,"[7786, 7908]","[8035.5, 8162.4]",1357.65,"[14929, 14987]","[15400.0, 15460.0]"
944.55,"[9012, 9246]","[9300.1, 9538.8]",-1755.8,"[6273, 6362]","[6468.4, 6559.2]",972.78,"[9886, 9979]","[10192.0, 10287.0]",-345.485,"[15308, 15388]","[15797.0, 15879.0]"
-8077.0,"[11983, 12065]","[12368.0, 12451.0]",-1913.3,"[6481, 7166]","[6680.7, 7390.5]",712.255,"[10392, 10434]","[10712.0, 10756.0]",-4543.2,"[15954, 15992]","[16456.0, 16495.0]"
1041.0,"[12179, 12928]","[12568.0, 13332.0]",-1244.35,"[7290, 7454]","[7519.5, 7690.1]",4561.95,"[10615, 10671]","[10944.0, 11003.0]",1854.2,"[16165, 16224]","[16672.0, 16732.0]"
1285.0,"[13022, 13135]","[13428.0, 13543.0]",-2259.6,"[7595, 7762]","[7836.8, 8010.5]",2334.3,"[10868, 10930]","[11208.0, 11272.0]",-2311.2,"[16659, 16777]","[17176.0, 17296.0]"
-3085.25,"[13304, 13496]","[13716.0, 13912.0]",-4391.700000000001,"[7970, 8208]","[8226.9, 8474.5]",465.16999999999996,"[11327, 11425]","[11685.0, 11787.0]",-1025.84,"[17579, 17659]","[18123.0, 18207.0]"
-2949.3,"[13960, 14063]","[14392.0, 14499.0]",-1350.8,"[9271, 9862]","[9564.3, 10167.0]",1947.5,"[23666, 23750]","[24401.0, 24487.0]",-576.3050000000001,"[17929, 18009]","[18488.0, 18571.0]"
-466.5,"[14448, 14524]","[14899.0, 14979.0]",-2792.5,"[10004, 10368]","[10312.0, 10687.0]",509.55,"[24293, 24352]","[25045.0, 25107.0]",-7386.25,"[18521, 18547]","[19104.0, 19131.0]"
251.41000000000003,"[14633, 14905]","[15092.0, 15375.0]",-1888.6,"[10458, 10591]","[10781.0, 10919.0]",767.72,"[24841, 24948]","[25616.0, 25727.0]",-1943.5,"[18680, 18740]","[19269.0, 19332.0]"
56.629,"[15011, 15244]","[15485.0, 15728.0]",-1210.4,"[10695, 10844]","[11028.0, 11183.0]",547.0350000000001,"[25431, 25645]","[26229.0, 26452.0]",-562.545,"[20798, 21184]","[21441.0, 21843.0]"
108.58699999999999,"[15413, 15929]","[15904.0, 16431.0]",-2241.1,"[10954, 11013]","[11297.0, 11359.0]",-2458.8,"[26694, 26724]","[27526.0, 27557.0]",-1014.5,"[21350, 21453]","[22016.0, 22123.0]"
1132.6,"[16016, 16141]","[16520.0, 16647.0]",-2666.8,"[11061, 11303]","[11408.0, 11660.0]",550.66,"[27438, 27527]","[28286.0, 28377.0]",1939.25,"[21789, 21849]","[22472.0, 22535.0]"
-330.86,"[16249, 16635]","[16757.0, 17151.0]",-3731.05,"[11449, 11959]","[11812.0, 12343.0]",2596.9,"[28076, 28120]","[28947.0, 28993.0]",1294.2,"[21942, 21987]","[22632.0, 22679.0]"
-203.195,"[16801, 17555]","[17321.0, 18099.0]",1729.7,"[12953, 12998]","[13357.0, 13403.0]",3045.5,"[28926, 28958]","[29831.0, 29865.0]",-1890.1999999999998,"[22182, 22214]","[22881.0, 22915.0]"
-358.69500000000005,"[17683, 17905]","[18232.0, 18463.0]",-335.78999999999996,"[13160, 13280]","[13568.0, 13691.0]",1225.25,"[29483, 29667]","[30412.0, 30599.0]",-29.39,"[22352, 22429]","[23060.0, 23139.0]"
984.98,"[18033, 18497]","[18596.0, 19079.0]",-3402.4,"[13521, 13936]","[13937.0, 14367.0]",-2653.55,"[32676, 32722]","[33700.0, 33748.0]",-433.47,"[22772, 22865]","[23489.0, 23584.0]"
4488.9,"[18571, 18656]","[19156.0, 19244.0]",-2016.6,"[14088, 14424]","[14525.0, 14875.0]",3286.9,"[33655, 33720]","[34703.0, 34769.0]",5151.25,"[29691, 29713]","[30624.0, 30646.0]"
-310.9,"[18768, 20774]","[19364.0, 21416.0]",253.02,"[21477, 21658]","[22148.0, 22336.0]",413.96500000000003,"[34027, 34089]","[35082.0, 35146.0]",535.04,"[30162, 30243]","[31104.0, 31187.0]"
65.8155,"[21208, 21326]","[21868.0, 21991.0]",-575.545,"[22501, 22641]","[23212.0, 23355.0]",6673.0,"[34753, 34775]","[35827.0, 35850.0]",-2540.2,"[30334, 30416]","[31280.0, 31363.0]"
7600.45,"[21682, 21764]","[22361.0, 22446.0]",-347.605,"[22890, 22970]","[23609.0, 23691.0]",25.345,"[35205, 35321]","[36298.0, 36418.0]",-1146.25,"[30507, 30647]","[31456.0, 31599.0]"
2313.9,"[21873, 21918]","[22560.0, 22607.0]",-2603.3,"[23027, 23374]","[23749.0, 24103.0]",-0.92924,"[41707, 41814]","[42995.0, 43106.0]",-1038.8,"[30785, 31054]","[31740.0, 32015.0]"
223.22,"[22011, 22158]","[22704.0, 22856.0]",-632.98,"[23500, 23642]","[24232.0, 24376.0]",,,,1943.3,"[34164, 34254]","[35222.0, 35314.0]"
3223.25,"[22259, 22327]","[22965.0, 23035.0]",-2358.45,"[23791, 24269]","[24529.0, 25020.0]",,,,-13770.0,"[34799, 34820]","[35875.0, 35897.0]"
-3860.4,"[22454, 22476]","[23164.0, 23187.0]",-1686.05,"[24403, 24817]","[25160.0, 25591.0]",,,,-9182.6,"[36770, 36793]","[37919.0, 37942.0]"
8976.5,"[22665, 22748]","[23380.0, 23464.0]",-2958.2,"[24988, 25406]","[25768.0, 26203.0]",,,,2202.05,"[36879, 36929]","[38030.0, 38081.0]"
-179.9,"[23399, 23476]","[24128.0, 24207.0]",-1153.65,"[25692, 25800]","[26501.0, 26614.0]",,,,-1641.4,"[37260, 37392]","[38419.0, 38554.0]"
-1584.7,"[29958, 30137]","[30896.0, 31079.0]",-2057.5,"[25840, 26073]","[26655.0, 26893.0]",,,,-350.21500000000003,"[38576, 38608]","[39771.0, 39805.0]"
2560.8,"[30268, 30310]","[31212.0, 31255.0]",-1464.0,"[26126, 26332]","[26947.0, 27157.0]",,,,-1270.6,"[39247, 39415]","[40470.0, 40644.0]"
4174.55,"[30440, 30482]","[31388.0, 31431.0]",-1633.3,"[26396, 26669]","[27222.0, 27501.0]",,,,-1294.6,"[39470, 39612]","[40702.0, 40849.0]"
-4909.9,"[30671, 30760]","[31624.0, 31715.0]",-1707.6,"[26773, 27414]","[27607.0, 28261.0]",,,,-819.23,"[39866, 39951]","[41115.0, 41202.0]"
1185.9,"[31078, 31663]","[32040.0, 32647.0]",-5619.8,"[27551, 27602]","[28402.0, 28454.0]",,,,,,
-5804.0,"[32430, 32452]","[33444.0, 33467.0]",-1340.5,"[27653, 28052]","[28507.0, 28922.0]",,,,,,
2481.7,"[33036, 33082]","[34071.0, 34118.0]",-839.245,"[28167, 28443]","[29042.0, 29329.0]",,,,,,
1053.2,"[35472, 36745]","[36575.0, 37894.0]",-1597.4,"[28503, 28902]","[29391.0, 29806.0]",,,,,,
3460.8,"[36817, 36854]","[37967.0, 38005.0]",-1669.9,"[29018, 29271]","[29927.0, 30195.0]",,,,,,
-87.719,"[36953, 37236]","[38106.0, 38394.0]",-274.9,"[29330, 29459]","[30255.0, 30387.0]",,,,,,
2433.4,"[37417, 37697]","[38579.0, 38865.0]",-1024.7,"[29738, 29933]","[30672.0, 30871.0]",,,,,,
942.42,"[38145, 38552]","[39323.0, 39746.0]",-1534.0,"[31687, 32256]","[32672.0, 33263.0]",,,,,,
295.35,"[38632, 39223]","[39830.0, 40445.0]",-2291.7,"[32317, 32405]","[33327.0, 33418.0]",,,,,,
3016.1,"[39636, 39709]","[40874.0, 40950.0]",-1111.6,"[32476, 32652]","[33492.0, 33675.0]",,,,,,
5862.450000000001,"[39740, 39842]","[40986.0, 41090.0]",-2289.7,"[32746, 33011]","[33775.0, 34046.0]",,,,,,
-905.6949999999999,"[39976, 40252]","[41227.0, 41509.0]",-2623.8,"[33106, 33457]","[34143.0, 34501.0]",,,,,,
-78.88,"[40705, 41264]","[41971.0, 42542.0]",-3131.6,"[33518, 33631]","[34563.0, 34678.0]",,,,,,
-4373.9,"[41838, 41891]","[43131.0, 43186.0]",-1281.05,"[33748, 34002]","[34798.0, 35057.0]",,,,,,
,,,4828.5,"[34114, 34139]","[35171.0, 35197.0]",,,,,,
,,,-3199.15,"[34278, 34566]","[35339.0, 35634.0]",,,,,,
,,,-2829.2,"[34614, 34729]","[35683.0, 35802.0]",,,,,,
,,,-2499.8500000000004,"[34845, 35181]","[35923.0, 36273.0]",,,,,,
,,,-3276.2,"[35375, 35448]","[36474.0, 36550.0]",,,,,,
,,,-1995.3000000000002,"[37722, 38120]","[38890.0, 39298.0]",,,,,,
,,,-936.925,"[40277, 40681]","[41534.0, 41946.0]",,,,,,
,,,-2081.0,"[41289, 41683]","[42567.0, 42970.0]",,,,,,
