state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
510325.0,"[950, 1334]","[988.98, 1391.4]",474560.0,"[8, 141]","[8.738999999999999, 147.1]",513900.0,"[158, 279]","[164.78, 290.74]",483225.0,"[296, 310]","[308.42, 322.98]"
508830.0,"[2610, 2644]","[2693.1, 2727.8]",473305.0,"[327, 879]","[340.66, 915.02]",520670.0,"[896, 933]","[932.7, 971.3]",493390.0,"[1810, 1840]","[1877.0, 1907.6]"
505230.0,"[2813, 2949]","[2900.7, 3039.5]",470800.0,"[1355, 1659]","[1412.8, 1722.9]",521570.0,"[1676, 1793]","[1740.3, 1859.6]",487300.0,"[2402, 2432]","[2480.9, 2511.5]"
502015.0,"[3768, 3978]","[3888.5, 4107.0]",468600.0,"[1857, 2232]","[1924.9, 2307.5]",518225.0,"[2249, 2385]","[2324.8, 2463.5]",492010.0,"[2661, 2796]","[2745.1, 2883.3]"
497190.0,"[4256, 4405]","[4396.3, 4551.3]",468225.0,"[2449, 2593]","[2528.9, 2675.7]",503150.0,"[3707, 3751]","[3825.1, 3870.9]",504390.0,"[4222, 4239]","[4360.9, 4378.6]"
491120.0,"[5744, 6173]","[5928.3, 6366.0]",472215.0,"[2966, 3690]","[3056.9, 3807.4]",509760.0,"[4822, 4931]","[4987.7, 5098.9]",481420.0,"[6190, 6252]","[6383.7, 6446.9]"
502340.0,"[6383, 6460]","[6580.6, 6659.2]",468490.0,"[3995, 4205]","[4124.7, 4343.3]",513710.0,"[5607, 5727]","[5788.5, 5911.0]",475540.0,"[8229, 8255]","[8496.4, 8523.5]"
498330.0,"[7187, 7270]","[7412.3, 7498.7]",473630.0,"[4422, 4805]","[4569.1, 4970.4]",501220.0,"[7475, 7574]","[7711.9, 7814.9]",500050.0,"[8891, 8991]","[9176.7, 9278.6]"
487990.0,"[7929, 7950]","[8184.2, 8206.1]",470030.0,"[4948, 5590]","[5116.2, 5771.2]",514980.0,"[7783, 7912]","[8032.4, 8166.5]",483725.0,"[12085, 12155]","[12472.0, 12543.0]"
484985.0,"[8272, 8874]","[8545.2, 9159.3]",469000.0,"[6269, 6366]","[6464.3, 6563.2]",497210.0,"[9882, 9983]","[10188.0, 10291.0]",492645.0,"[14545, 14613]","[15000.0, 15071.0]"
487590.0,"[9008, 9250]","[9296.0, 9542.8]",466870.0,"[6477, 7170]","[6676.6, 7394.6]",479610.0,"[10388, 10438]","[10708.0, 10760.0]",466855.0,"[14925, 14991]","[15396.0, 15464.0]"
481115.0,"[11034, 11040]","[11380.0, 11387.0]",465330.0,"[7287, 7458]","[7516.3, 7694.2]",494480.0,"[10611, 10675]","[10940.0, 11007.0]",485805.0,"[15304, 15392]","[15793.0, 15883.0]"
497420.0,"[11980, 12069]","[12364.0, 12455.0]",465600.0,"[7591, 7766]","[7832.6, 8014.7]",499100.0,"[10864, 10934]","[11203.0, 11276.0]",467750.0,"[15950, 15996]","[16452.0, 16499.0]"
494700.0,"[12176, 12932]","[12564.0, 13336.0]",465770.0,"[7967, 8212]","[8223.7, 8478.7]",501210.0,"[11323, 11428]","[11681.0, 11790.0]",467430.0,"[16161, 16228]","[16668.0, 16736.0]"
495185.0,"[13019, 13139]","[13424.0, 13547.0]",464540.0,"[9267, 9866]","[9560.2, 10171.0]",487810.0,"[23662, 23754]","[24397.0, 24491.0]",474170.0,"[16656, 16781]","[17172.0, 17300.0]"
471210.0,"[13300, 13500]","[13712.0, 13916.0]",461010.0,"[10000, 10371]","[10308.0, 10691.0]",492360.0,"[24289, 24356]","[25041.0, 25111.0]",474580.0,"[17576, 17663]","[18120.0, 18211.0]"
478750.0,"[13956, 14067]","[14388.0, 14503.0]",458230.0,"[10454, 10594]","[10777.0, 10923.0]",491885.0,"[24838, 24952]","[25612.0, 25731.0]",470345.0,"[17925, 18013]","[18484.0, 18575.0]"
477610.0,"[14445, 14528]","[14896.0, 14983.0]",459855.0,"[10692, 10848]","[11024.0, 11187.0]",496000.0,"[25427, 25649]","[26225.0, 26456.0]",476985.0,"[18517, 18551]","[19100.0, 19135.0]"
492795.0,"[14629, 14909]","[15088.0, 15379.0]",461780.0,"[10950, 11017]","[11293.0, 11363.0]",476905.0,"[26690, 26728]","[27522.0, 27561.0]",470850.0,"[18676, 18744]","[19265.0, 19336.0]"
496700.0,"[15007, 15248]","[15481.0, 15732.0]",460310.0,"[11057, 11307]","[11404.0, 11664.0]",493740.0,"[27434, 27531]","[28281.0, 28381.0]",465635.0,"[20794, 21188]","[21437.0, 21847.0]"
490760.0,"[15268, 15287]","[15756.0, 15776.0]",463645.0,"[11445, 11963]","[11808.0, 12347.0]",492570.0,"[28072, 28124]","[28943.0, 28997.0]",467640.0,"[21346, 21457]","[22012.0, 22127.0]"
487285.0,"[15409, 15933]","[15900.0, 16435.0]",461300.0,"[12949, 13002]","[13353.0, 13407.0]",489090.0,"[28922, 28962]","[29827.0, 29869.0]",459265.0,"[21785, 21853]","[22468.0, 22539.0]"
485200.0,"[16012, 16145]","[16516.0, 16651.0]",463150.0,"[13156, 13284]","[13564.0, 13695.0]",498890.0,"[29480, 29671]","[30408.0, 30603.0]",474500.0,"[21938, 21991]","[22628.0, 22683.0]"
493105.0,"[16245, 16639]","[16753.0, 17155.0]",456590.0,"[13517, 13940]","[13933.0, 14371.0]",476335.0,"[32672, 32726]","[33696.0, 33752.0]",472990.0,"[22178, 22218]","[22877.0, 22919.0]"
488140.0,"[16797, 17559]","[17317.0, 18103.0]",458600.0,"[14084, 14428]","[14521.0, 14879.0]",479270.0,"[33651, 33724]","[34699.0, 34773.0]",463830.0,"[22348, 22433]","[23056.0, 23143.0]"
