state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
0.0009229150000000001,"[950, 1334]","[988.98, 1391.4]",-0.0013067,"[8, 141]","[8.738999999999999, 147.1]",0.00054937,"[158, 279]","[164.78, 290.74]",-0.0069957000000000005,"[296, 310]","[308.42, 322.98]"
0.0148165,"[2610, 2644]","[2693.1, 2727.8]",-0.0011066499999999998,"[327, 879]","[340.66, 915.02]",0.0056247,"[896, 933]","[932.7, 971.3]",-0.0031562,"[1810, 1840]","[1877.0, 1907.6]"
0.0008422199999999999,"[2813, 2949]","[2900.7, 3039.5]",-0.002156,"[1355, 1659]","[1412.8, 1722.9]",0.00011488,"[1676, 1793]","[1740.3, 1859.6]",-0.0051112499999999995,"[2402, 2432]","[2480.9, 2511.5]"
0.0013839,"[3768, 3978]","[3888.5, 4107.0]",-0.0017403,"[1857, 2232]","[1924.9, 2307.5]",0.00048845,"[2249, 2385]","[2324.8, 2463.5]",0.0014708,"[2661, 2796]","[2745.1, 2883.3]"
-0.0018777999999999998,"[4256, 4405]","[4396.3, 4551.3]",-0.00126955,"[2449, 2593]","[2528.9, 2675.7]",0.0026915000000000003,"[3707, 3751]","[3825.1, 3870.9]",0.025121,"[4222, 4239]","[4360.9, 4378.6]"
0.00049903,"[5744, 6173]","[5928.3, 6366.0]",-0.00185375,"[2966, 3690]","[3056.9, 3807.4]",-0.00065234,"[4822, 4931]","[4987.7, 5098.9]",-0.0013513499999999999,"[6190, 6252]","[6383.7, 6446.9]"
0.0047379,"[6383, 6460]","[6580.6, 6659.2]",-0.00152415,"[3995, 4205]","[4124.7, 4343.3]",-0.0005789949999999999,"[5607, 5727]","[5788.5, 5911.0]",0.0030309,"[8229, 8255]","[8496.4, 8523.5]"
-0.0031338,"[7187, 7270]","[7412.3, 7498.7]",-0.0016838,"[4422, 4805]","[4569.1, 4970.4]",7.3752e-05,"[7475, 7574]","[7711.9, 7814.9]",-0.0008959949999999999,"[8891, 8991]","[9176.7, 9278.6]"
0.00034903,"[7929, 7950]","[8184.2, 8206.1]",-0.0019106000000000001,"[4948, 5590]","[5116.2, 5771.2]",0.00014641,"[7783, 7912]","[8032.4, 8166.5]",0.0031071,"[12085, 12155]","[12472.0, 12543.0]"
-0.00014784,"[8272, 8874]","[8545.2, 9159.3]",-0.0012017999999999998,"[6269, 6366]","[6464.3, 6563.2]",0.002501,"[9882, 9983]","[10188.0, 10291.0]",0.00090073,"[14545, 14613]","[15000.0, 15071.0]"
0.00140565,"[9008, 9250]","[9296.0, 9542.8]",-0.0015184,"[6477, 7170]","[6676.6, 7394.6]",0.0008326779999999999,"[10388, 10438]","[10708.0, 10760.0]",-0.00032478,"[14925, 14991]","[15396.0, 15464.0]"
0.0321665,"[11034, 11040]","[11380.0, 11387.0]",-0.00076584,"[7287, 7458]","[7516.3, 7694.2]",0.0027323,"[10611, 10675]","[10940.0, 11007.0]",-0.0012872,"[15304, 15392]","[15793.0, 15883.0]"
-0.0047963,"[11980, 12069]","[12364.0, 12455.0]",-0.0011167999999999998,"[7591, 7766]","[7832.6, 8014.7]",0.0024377500000000002,"[10864, 10934]","[11203.0, 11276.0]",-0.0022964500000000002,"[15950, 15996]","[16452.0, 16499.0]"
