state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
4.1743,"[12, 271]","[12.6, 276.84]",4.1363,"[296, 325]","[302.34, 331.98]",4.2166999999999994,"[2575, 2741]","[2657.5, 2830.2]",4.1721,"[2800, 3037]","[2895.2, 3136.9]"
4.2055,"[883, 1038]","[901.4, 1060.1]",4.14105,"[382, 858]","[390.12, 875.86]",4.2007,"[8156, 8197]","[8397.4, 8439.9]",4.1555,"[5087, 5140]","[5238.0, 5293.1]"
4.2067,"[1453, 1759]","[1490.0, 1808.3]",4.1453,"[1063, 1428]","[1085.7, 1464.0]",4.203950000000001,"[9236, 9354]","[9521.3, 9644.0]",4.14375,"[5476, 5816]","[5642.8, 5996.5]"
4.1699,"[2130, 2243]","[2194.3, 2311.8]",4.1419,"[1784, 2105]","[1834.3, 2168.2]",4.2164,"[10301, 10378]","[10620.0, 10699.0]",4.15665,"[6625, 6655]","[6833.5, 6864.1]"
4.1958,"[3062, 3375]","[3162.4, 3481.8]",4.1469,"[2268, 2551]","[2337.8, 2632.5]",4.2241,"[11301, 11472]","[11641.0, 11815.0]",4.17145,"[7586, 7670]","[7813.8, 7899.5]"
4.1723,"[4031, 4092]","[4151.1, 4213.3]",4.13,"[3400, 3680]","[3507.3, 3792.9]",4.2065,"[12340, 12433]","[12716.0, 12812.0]",4.1804,"[8372, 8581]","[8622.2, 8839.6]"
4.1617999999999995,"[4438, 4530]","[4566.7, 4660.8]",4.1333,"[3725, 4006]","[3838.8, 4125.6]",4.213100000000001,"[15299, 15361]","[15760.0, 15824.0]",4.1774,"[10835, 10880]","[11165.0, 11211.0]"
4.2006,"[4788, 5063]","[4927.1, 5213.0]",4.13335,"[4117, 4413]","[4238.8, 4541.2]",4.2028,"[17173, 17242]","[17705.0, 17775.0]",4.1747,"[11562, 11617]","[11908.0, 11964.0]"
4.2004,"[5164, 5451]","[5318.1, 5616.8]",4.1335999999999995,"[4555, 4763]","[4686.4, 4901.2]",4.2114,"[18430, 18554]","[18988.0, 19115.0]",4.19705,"[12822, 13152]","[13217.0, 13560.0]"
4.1838,"[5841, 5936]","[6022.5, 6121.4]",4.118,"[5960, 6255]","[6146.5, 6456.0]",4.2028,"[21281, 21365]","[21933.0, 22019.0]",4.1703,"[13314, 13419]","[13732.0, 13839.0]"
4.1648,"[6280, 6475]","[6481.5, 6680.4]",4.1255,"[6500, 6600]","[6705.9, 6807.9]",4.202,"[21763, 21812]","[22425.0, 22475.0]",4.1577,"[14197, 14408]","[14632.0, 14848.0]"
4.1799,"[6876, 7074]","[7089.6, 7291.5]",4.1242,"[6680, 6851]","[6889.6, 7064.1]",4.21095,"[22373, 22403]","[23053.0, 23084.0]",4.1702,"[15385, 15748]","[15849.0, 16227.0]"
4.183400000000001,"[7503, 7561]","[7729.2, 7788.3]",4.1265,"[7099, 7478]","[7317.0, 7703.7]",4.2222,"[22591, 22713]","[23280.0, 23407.0]",4.166,"[16087, 16282]","[16580.0, 16782.0]"
4.19855,"[7935, 7953]","[8169.9, 8188.3]",4.1256,"[7695, 7910]","[7925.0, 8144.4]",4.2246,"[23196, 23359]","[23909.0, 24079.0]",4.16515,"[16792, 16940]","[17316.0, 17467.0]"
4.1942,"[8222, 8239]","[8465.9, 8483.5]",4.1299,"[7978, 8131]","[8213.8, 8371.4]",4.2046,"[24471, 24524]","[25225.0, 25279.0]",4.15205,"[17651, 17955]","[18192.0, 18503.0]"
4.2153,"[10904, 11017]","[11236.0, 11351.0]",4.1397,"[8264, 8347]","[8509.5, 8595.9]",4.2102,"[28303, 28347]","[29172.0, 29216.0]",4.17075,"[18579, 18779]","[19140.0, 19347.0]"
4.2286,"[11497, 11538]","[11841.0, 11883.0]",4.1314,"[8606, 9211]","[8865.6, 9495.3]",4.2199,"[28797, 28839]","[29676.0, 29719.0]",4.174300000000001,"[18856, 18894]","[19427.0, 19467.0]"
4.21405,"[11641, 11693]","[11989.0, 12043.0]",4.13935,"[9379, 9733]","[9670.0, 10038.0]",4.2120999999999995,"[29518, 29560]","[30420.0, 30464.0]",4.1736,"[19569, 19645]","[20169.0, 20248.0]"
4.1841,"[13176, 13290]","[13585.0, 13707.0]",4.143,"[9814, 10276]","[10124.0, 10595.0]",4.22605,"[29914, 29956]","[30832.0, 30876.0]",4.1626,"[20908, 20993]","[21553.0, 21639.0]"
4.192550000000001,"[13444, 13572]","[13864.0, 13995.0]",4.148,"[10439, 10790]","[10761.0, 11119.0]",4.21585,"[31741, 31831]","[32716.0, 32808.0]",4.1714,"[23444, 23717]","[24168.0, 24452.0]"
4.1781,"[14001, 14172]","[14432.0, 14607.0]",4.143,"[11042, 11277]","[11376.0, 11616.0]",4.2163,"[32586, 32743]","[33580.0, 33743.0]",4.1709,"[25454, 25612]","[26228.0, 26391.0]"
4.207,"[14433, 14844]","[14873.0, 15292.0]",4.147550000000001,"[11717, 11797]","[12068.0, 12151.0]",4.20165,"[35825, 35895]","[36921.0, 36992.0]",4.1781,"[26183, 26322]","[26984.0, 27128.0]"
4.1922999999999995,"[17266, 17626]","[17800.0, 18167.0]",4.13695,"[11844, 12316]","[12200.0, 12691.0]",4.20385,"[36448, 36470]","[37564.0, 37587.0]",4.1641,"[26738, 27213]","[27561.0, 28056.0]"
