state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
0.0147685,"[12, 58]","[12.72, 59.639]",-0.00319105,"[83, 297]","[85.139, 303.42]",0.0014713999999999999,"[322, 446]","[328.94, 455.42]",-0.0069894,"[1137, 1253]","[1160.8, 1279.2]"
0.00059533,"[765, 1112]","[780.94, 1135.3]",-0.00401575,"[510, 740]","[520.72, 755.4]",-0.0029508,"[3849, 3891]","[3966.5, 4009.3]",-0.00064861,"[1524, 1603]","[1557.4, 1639.4]"
0.0027551,"[1278, 1499]","[1304.7, 1531.6]",-0.0042182999999999995,"[3296, 3452]","[3402.2, 3561.5]",0.00380575,"[4731, 4777]","[4866.6, 4913.5]",-0.010646,"[2358, 2407]","[2424.5, 2475.5]"
0.00183235,"[1628, 2334]","[1665.4, 2399.5]",-0.00269215,"[3504, 3824]","[3614.5, 3941.0]",0.0049727,"[5005, 5034]","[5146.9, 5176.9]",0.0011709,"[2997, 3076]","[3089.4, 3171.5]"
0.004133950000000001,"[2432, 2972]","[2501.5, 3063.4]",-0.0031923999999999998,"[4237, 4463]","[4362.3, 4592.8]",0.0002680935,"[5262, 5346]","[5413.8, 5501.1]",0.0019035,"[3982, 4063]","[4102.1, 4184.8]"
0.0049011,"[3104, 3271]","[3206.3, 3376.7]",-0.0010194000000000002,"[4570, 4706]","[4702.3, 4841.1]",-0.0082935,"[7217, 7290]","[7438.7, 7513.2]",0.001315,"[5754, 6000]","[5925.5, 6181.3]"
-0.0057363,"[3916, 3957]","[4034.8, 4076.6]",-0.00216175,"[4802, 4980]","[4939.0, 5121.2]",-0.0024588,"[7758, 7815]","[7990.7, 8048.8]",-0.0022129,"[6390, 6461]","[6587.1, 6660.9]"
0.00150605,"[4088, 4212]","[4210.3, 4336.8]",-0.0041241,"[5059, 5238]","[5202.8, 5388.8]",0.0041434,"[10858, 10940]","[11189.0, 11272.0]",-0.0051331,"[7868, 7941]","[8102.9, 8177.4]"
0.010028,"[4488, 4545]","[4618.3, 4676.8]",-0.0030129500000000004,"[5404, 5730]","[5561.4, 5900.5]",0.00098301,"[11364, 11481]","[11705.0, 11824.0]",0.000903715,"[8091, 8121]","[8330.7, 8361.3]"
0.000520865,"[6025, 6365]","[6207.3, 6561.1]",-0.0041933,"[6907, 7192]","[7122.5, 7413.2]",0.0040438,"[13135, 13234]","[13537.0, 13640.0]",-0.018739,"[8232, 8258]","[8474.7, 8501.3]"
0.0032118,"[6485, 6882]","[6685.9, 7097.0]",-0.0052377,"[7413, 7733]","[7638.7, 7965.2]",0.00062465,"[26050, 26214]","[26844.0, 27015.0]",0.0019813,"[8978, 9142]","[9246.5, 9417.1]"
0.0021221,"[7315, 7388]","[7538.7, 7613.2]",-0.0028855499999999997,"[8427, 8953]","[8674.2, 9220.5]",0.009495650000000001,"[26884, 26906]","[27712.0, 27735.0]",0.0011401,"[9927, 9962]","[10234.0, 10270.0]"
3.7488000000000004e-05,"[7966, 8066]","[8202.9, 8305.2]",-0.0027826,"[9650, 9866]","[9945.6, 10170.0]",-0.000738045,"[27793, 27871]","[28657.0, 28736.0]",-0.0011634,"[11740, 11879]","[12089.0, 12231.0]"
0.00046212,"[8146, 8207]","[8386.8, 8449.2]",-0.0021492,"[10304, 10625]","[10624.0, 10951.0]",0.0019235,"[28372, 28501]","[29248.0, 29379.0]",-0.016231500000000003,"[12008, 12042]","[12365.0, 12400.0]"
-0.0041818,"[8283, 8402]","[8526.8, 8648.5]",-0.0023441,"[10696, 10834]","[11024.0, 11164.0]",-0.0015065,"[30867, 30980]","[31821.0, 31939.0]",-0.0011206,"[12370, 12452]","[12741.0, 12827.0]"
