state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
236945.0,"[12, 318]","[12.403, 324.62]",203500.0,"[343, 404]","[350.12, 412.36]",213060.0,"[1667, 1820]","[1717.6, 1876.9]",233200.0,"[429, 459]","[437.86, 468.5]"
233620.0,"[770, 827]","[786.1, 844.5]",199790.0,"[484, 745]","[494.02, 760.44]",212930.0,"[4008, 4065]","[4124.8, 4183.0]",207045.0,"[2898, 3034]","[2992.4, 3131.1]"
220690.0,"[2444, 2873]","[2526.3, 2966.9]",199950.0,"[852, 1643]","[870.22, 1692.6]",211060.0,"[5159, 5223]","[5316.6, 5383.2]",201020.0,"[3518, 3618]","[3624.9, 3726.9]"
220210.0,"[3059, 3493]","[3156.6, 3599.4]",196745.0,"[1845, 2419]","[1902.9, 2500.3]",210910.0,"[7836, 7947]","[8068.9, 8183.1]",206230.0,"[4090, 4419]","[4208.5, 4546.5]"
217850.0,"[3643, 3712]","[3752.4, 3822.8]",194200.0,"[3737, 3983]","[3848.3, 4099.3]",213790.0,"[28281, 28316]","[29149.0, 29184.0]",201990.0,"[5247, 5338]","[5408.2, 5502.9]"
215800.0,"[4444, 4719]","[4572.5, 4858.7]",192380.0,"[4744, 5134]","[4884.7, 5290.6]",215570.0,"[29098, 29184]","[29989.0, 30079.0]",209115.0,"[5424, 5476]","[5592.4, 5646.5]"
219270.0,"[5362, 5399]","[5527.9, 5566.4]",192925.0,"[5793, 5969]","[5976.4, 6159.5]",213620.0,"[29867, 29903]","[30789.0, 30827.0]",201255.0,"[5994, 6172]","[6189.4, 6370.9]"
215720.0,"[5500, 5769]","[5671.5, 5951.4]",191420.0,"[6534, 6756]","[6740.2, 6966.7]",216415.0,"[36626, 36698]","[37756.0, 37831.0]",199700.0,"[6338, 6396]","[6540.3, 6599.4]"
218950.0,"[6264, 6313]","[6464.7, 6514.7]",192530.0,"[7001, 7486]","[7216.6, 7711.4]",217000.0,"[38006, 38032]","[39184.0, 39211.0]",204100.0,"[6817, 6870]","[7028.9, 7083.0]"
207695.0,"[6421, 6509]","[6624.9, 6714.7]",190540.0,"[7538, 7615]","[7764.4, 7843.0]",215915.0,"[40699, 40825]","[41960.0, 42091.0]",200340.0,"[8713, 8843]","[8979.9, 9115.2]"
212640.0,"[6895, 6976]","[7108.5, 7191.1]",191100.0,"[7660, 7811]","[7888.9, 8043.3]",,,,201850.0,"[8913, 8966]","[9188.1, 9243.2]"
214440.0,"[7972, 8689]","[8209.0, 8954.9]",195150.0,"[9628, 9673]","[9934.2, 9980.1]",,,,200240.0,"[10016, 10129]","[10330.0, 10445.0]"
214410.0,"[8867, 8890]","[9140.2, 9164.1]",191410.0,"[9726, 9818]","[10034.0, 10128.0]",,,,199860.0,"[10823, 10896]","[11153.0, 11228.0]"
211110.0,"[8990, 9603]","[9268.2, 9908.7]",191545.0,"[9863, 9991]","[10174.0, 10305.0]",,,,203880.0,"[11493, 11612]","[11841.0, 11964.0]"
214970.0,"[10153, 10798]","[10470.0, 11128.0]",192265.0,"[10971, 11469]","[11305.0, 11816.0]",,,,204870.0,"[11993, 12042]","[12361.0, 12412.0]"
206920.0,"[10920, 10947]","[11253.0, 11280.0]",190920.0,"[12987, 13032]","[13397.0, 13443.0]",,,,202120.0,"[12360, 12401]","[12742.0, 12785.0]"
216115.0,"[11637, 11969]","[11990.0, 12336.0]",195760.0,"[16017, 16129]","[16512.0, 16628.0]",,,,206740.0,"[12493, 12546]","[12881.0, 12936.0]"
211865.0,"[12066, 12336]","[12437.0, 12717.0]",199115.0,"[17699, 17827]","[18241.0, 18372.0]",,,,199435.0,"[12921, 12963]","[13326.0, 13370.0]"
212545.0,"[12425, 12469]","[12810.0, 12856.0]",195675.0,"[19789, 19907]","[20404.0, 20527.0]",,,,200080.0,"[13057, 13237]","[13469.0, 13652.0]"
208380.0,"[12570, 12897]","[12961.0, 13301.0]",195780.0,"[20381, 20561]","[21016.0, 21199.0]",,,,196150.0,"[13295, 13349]","[13712.0, 13767.0]"
215280.0,"[13550, 14683]","[13972.0, 15128.0]",199180.0,"[23250, 23326]","[23969.0, 24048.0]",,,,199025.0,"[13406, 13526]","[13825.0, 13947.0]"
212430.0,"[14883, 15291]","[15332.0, 15756.0]",193490.0,"[25926, 26135]","[26721.0, 26939.0]",,,,199395.0,"[14708, 14858]","[15153.0, 15307.0]"
209065.0,"[15446, 15620]","[15917.0, 16098.0]",194100.0,"[26764, 26993]","[27593.0, 27835.0]",,,,201570.0,"[15315, 15422]","[15781.0, 15892.0]"
209500.0,"[15711, 15864]","[16193.0, 16352.0]",191800.0,"[27834, 28257]","[28693.0, 29124.0]",,,,202870.0,"[15645, 15687]","[16124.0, 16168.0]"
216580.0,"[15925, 15993]","[16416.0, 16487.0]",192185.0,"[28383, 28633]","[29253.0, 29508.0]",,,,200060.0,"[16153, 16312]","[16653.0, 16819.0]"
212255.0,"[16336, 16456]","[16843.0, 16968.0]",189825.0,"[28680, 28788]","[29556.0, 29667.0]",,,,208840.0,"[17115, 17231]","[17645.0, 17764.0]"
215145.0,"[16484, 17090]","[17001.0, 17620.0]",192380.0,"[28843, 29074]","[29724.0, 29964.0]",,,,199385.0,"[17852, 17964]","[18397.0, 18512.0]"
213740.0,"[17256, 17674]","[17789.0, 18216.0]",191790.0,"[29266, 29843]","[30164.0, 30764.0]",,,,197570.0,"[19210, 19336]","[19801.0, 19932.0]"
212830.0,"[17989, 19186]","[18537.0, 19776.0]",190250.0,"[29927, 30072]","[30852.0, 31002.0]",,,,203660.0,"[19702, 19765]","[20313.0, 20379.0]"
214290.0,"[19360, 19678]","[19957.0, 20288.0]",193895.0,"[34812, 34954]","[35887.0, 36032.0]",,,,201560.0,"[19931, 19954]","[20552.0, 20576.0]"
210810.0,"[20142, 20357]","[20772.0, 20991.0]",198635.0,"[35514, 35572]","[36604.0, 36663.0]",,,,199185.0,"[19982, 20118]","[20608.0, 20747.0]"
211570.0,"[20845, 21734]","[21489.0, 22396.0]",195780.0,"[35733, 36602]","[36828.0, 37731.0]",,,,198445.0,"[20585, 20821]","[21224.0, 21464.0]"
210505.0,"[21856, 23226]","[22521.0, 23944.0]",196000.0,"[37258, 37413]","[38413.0, 38575.0]",,,,201130.0,"[21758, 21832]","[22421.0, 22496.0]"
215290.0,"[23479, 25729]","[24212.0, 26516.0]",195060.0,"[37458, 37981]","[38625.0, 39159.0]",,,,199850.0,"[23350, 23453]","[24073.0, 24180.0]"
214100.0,"[26291, 26598]","[27101.0, 27420.0]",195810.0,"[38132, 38369]","[39313.0, 39555.0]",,,,204520.0,"[25753, 25902]","[26541.0, 26696.0]"
213700.0,"[27018, 27473]","[27860.0, 28324.0]",193100.0,"[39937, 40071]","[41167.0, 41307.0]",,,,200025.0,"[26159, 26267]","[26964.0, 27076.0]"
212510.0,"[27614, 27810]","[28468.0, 28668.0]",191840.0,"[40110, 40313]","[41347.0, 41559.0]",,,,204250.0,"[26622, 26740]","[27445.0, 27568.0]"
203975.0,"[29208, 29242]","[30103.0, 30139.0]",192950.0,"[40354, 40675]","[41601.0, 41935.0]",,,,204555.0,"[27497, 27589]","[28349.0, 28443.0]"
215270.0,"[30250, 30633]","[31188.0, 31587.0]",194560.0,"[40891, 41658]","[42160.0, 42948.0]",,,,197910.0,"[28340, 28359]","[29209.0, 29228.0]"
212860.0,"[30808, 31092]","[31765.0, 32055.0]",196150.0,"[41828, 41890]","[43121.0, 43184.0]",,,,213260.0,"[30097, 30226]","[31028.0, 31163.0]"
214175.0,"[31305, 31509]","[32272.0, 32480.0]",,,,,,,202340.0,"[30658, 30783]","[31612.0, 31740.0]"
211175.0,"[31741, 31983]","[32717.0, 32964.0]",,,,,,,200660.0,"[31116, 31280]","[32080.0, 32247.0]"
213890.0,"[32113, 32930]","[33097.0, 33943.0]",,,,,,,203720.0,"[31533, 31716]","[32505.0, 32692.0]"
211900.0,"[33136, 33391]","[34157.0, 34423.0]",,,,,,,203350.0,"[32007, 32088]","[32989.0, 33072.0]"
212880.0,"[33786, 33849]","[34833.0, 34899.0]",,,,,,,203420.0,"[32954, 33112]","[33968.0, 34132.0]"
211200.0,"[33963, 34471]","[35021.0, 35540.0]",,,,,,,200590.0,"[33415, 33762]","[34447.0, 34808.0]"
214050.0,"[34598, 34707]","[35669.0, 35780.0]",,,,,,,200240.0,"[33873, 33904]","[34924.0, 34956.0]"
223040.0,"[34978, 35005]","[36057.0, 36084.0]",,,,,,,203100.0,"[34496, 34573]","[35565.0, 35644.0]"
216860.0,"[35233, 35490]","[36317.0, 36579.0]",,,,,,,195570.0,"[34731, 34765]","[35805.0, 35840.0]"
215730.0,"[35597, 35709]","[36688.0, 36803.0]",,,,,,,203385.0,"[35029, 35209]","[36109.0, 36292.0]"
213420.0,"[36722, 37234]","[37856.0, 38388.0]",,,,,,,205845.0,"[38810, 38908]","[40004.0, 40104.0]"
213500.0,"[38057, 38107]","[39236.0, 39287.0]",,,,,,,206275.0,"[39346, 39386]","[40553.0, 40595.0]"
214290.0,"[38394, 38785]","[39580.0, 39979.0]",,,,,,,206870.0,"[39680, 39783]","[40900.0, 41007.0]"
215720.0,"[38932, 39322]","[40129.0, 40528.0]",,,,,,,200835.0,"[40849, 40867]","[42116.0, 42135.0]"
214530.0,"[39411, 39656]","[40620.0, 40875.0]",,,,,,,,,
214645.0,"[39807, 39913]","[41032.0, 41143.0]",,,,,,,,,
216990.0,"[41683, 41803]","[42973.0, 43096.0]",,,,,,,,,
