state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
0.000835205,"[98, 504]","[3924.4, 4338.5]",-0.00282405,"[5044, 5386]","[9006.8, 9356.7]",0.00045605,"[23907, 24070]","[28457.0, 28627.0]",-0.00315345,"[43, 73]","[3868.3, 3898.9]"
0.0022645499999999997,"[666, 716]","[4503.7, 4554.7]",-0.0075395,"[8520, 8597]","[12588.0, 12667.0]",-0.004144,"[25981, 26014]","[30587.0, 30621.0]",-0.0013375499999999999,"[529, 641]","[4364.0, 4478.2]"
8.986000000000001e-05,"[827, 931]","[4668.0, 4774.1]",-0.0055271,"[10217, 10326]","[14349.0, 14463.0]",-0.0020498,"[26806, 26868]","[31438.0, 31502.0]",0.0026097,"[741, 802]","[4580.2, 4642.5]"
0.00160415,"[1000, 1672]","[4844.4, 5530.5]",-0.0038416500000000003,"[22783, 22941]","[27289.0, 27452.0]",-0.00030259000000000004,"[27276, 27382]","[31927.0, 32037.0]",-0.008831,"[956, 975]","[4799.6, 4818.9]"
0.00195145,"[1767, 2429]","[5627.6, 6314.3]",-0.00484365,"[22992, 23114]","[27505.0, 27632.0]",0.0036882,"[27891, 27948]","[32567.0, 32626.0]",-0.001602,"[1697, 1742]","[5556.0, 5602.0]"
0.0026326,"[2535, 2790]","[6424.6, 6689.8]",-0.003035,"[23375, 23883]","[27904.0, 28432.0]",0.00053413,"[29123, 29248]","[33830.0, 33957.0]",-0.004165200000000001,"[2454, 2510]","[6340.3, 6398.6]"
0.00138795,"[3046, 3698]","[6956.3, 7633.2]",-0.00327715,"[24132, 24258]","[28691.0, 28823.0]",,,,0.00092836,"[2814, 2925]","[6715.0, 6830.5]"
0.0023309999999999997,"[3899, 4165]","[7838.3, 8109.6]",-0.0021729,"[24303, 24548]","[28869.0, 29125.0]",,,,-0.0015588,"[2964, 3021]","[6871.1, 6930.3]"
0.00124875,"[4382, 4502]","[8331.0, 8453.4]",-0.00300685,"[25452, 25956]","[30047.0, 30562.0]",,,,-0.00011177,"[3723, 3874]","[7658.7, 7812.8]"
0.000410355,"[4593, 5019]","[8546.3, 8981.2]",-0.00228975,"[26058, 26470]","[30666.0, 31089.0]",,,,5.3535e-07,"[4190, 4357]","[8135.1, 8305.5]"
0.0018248000000000001,"[5411, 6161]","[9382.5, 10162.0]",-0.0012319,"[26541, 26778]","[31162.0, 31409.0]",,,,0.00051016,"[4527, 4568]","[8478.9, 8520.8]"
0.0051664,"[6288, 6337]","[10294.0, 10345.0]",-0.0011905000000000002,"[26915, 27251]","[31551.0, 31901.0]",,,,0.0011893,"[6185, 6264]","[10187.0, 10269.0]"
0.00216285,"[6422, 6730]","[10434.0, 10754.0]",-0.0010448,"[27430, 27867]","[32087.0, 32542.0]",,,,-0.0047736,"[6361, 6398]","[10370.0, 10409.0]"
0.0032526,"[6830, 6979]","[10858.0, 11014.0]",-0.00190895,"[28037, 28793]","[32722.0, 33493.0]",,,,-0.0055766,"[6754, 6805]","[10779.0, 10832.0]"
0.0011205,"[7007, 7276]","[11044.0, 11319.0]",-0.0012703,"[28838, 29099]","[33539.0, 33805.0]",,,,0.0018851,"[7301, 7461]","[11344.0, 11508.0]"
0.0007071099999999999,"[7486, 7712]","[11533.0, 11764.0]",-0.0021141,"[29312, 29733]","[34022.0, 34453.0]",,,,-0.00247145,"[7737, 7825]","[11789.0, 11879.0]"
0.0014499,"[7850, 8242]","[11904.0, 12304.0]",-0.00560845,"[36232, 36340]","[41155.0, 41265.0]",,,,0.0019796500000000003,"[8266, 8300]","[12329.0, 12364.0]"
5.159e-05,"[8325, 8433]","[12389.0, 12500.0]",-0.0032238,"[36942, 37307]","[41882.0, 42261.0]",,,,-0.0078244,"[8458, 8495]","[12525.0, 12563.0]"
-0.0012597,"[8621, 8652]","[12692.0, 12723.0]",-0.0022088999999999998,"[37667, 38053]","[42635.0, 43037.0]",,,,-0.0018438,"[8676, 8726]","[12748.0, 12799.0]"
0.00076845,"[8750, 9155]","[12824.0, 13244.0]",,,,,,,0.00108645,"[9179, 9239]","[13269.0, 13332.0]"
0.0016442,"[9263, 9678]","[13356.0, 13788.0]",,,,,,,-0.0043333,"[9702, 9865]","[13813.0, 13983.0]"
0.00034390500000000004,"[9889, 10193]","[14008.0, 14324.0]",,,,,,,0.009477300000000001,"[10591, 10637]","[14740.0, 14787.0]"
-0.00203655,"[10350, 10470]","[14488.0, 14612.0]",,,,,,,-0.00047477999999999995,"[11069, 11107]","[15228.0, 15266.0]"
0.00074183,"[10505, 10566]","[14652.0, 14715.0]",,,,,,,-0.0037321,"[11156, 11257]","[15316.0, 15419.0]"
0.0017745,"[10662, 11045]","[14812.0, 15203.0]",,,,,,,-0.0019876,"[11870, 12013]","[16045.0, 16191.0]"
0.0010881,"[11282, 11846]","[15445.0, 16020.0]",,,,,,,-0.0024984,"[12292, 12333]","[16476.0, 16519.0]"
0.00217025,"[12037, 12267]","[16216.0, 16451.0]",,,,,,,-0.00186475,"[12454, 12570]","[16644.0, 16764.0]"
0.0021227,"[12358, 12430]","[16544.0, 16619.0]",,,,,,,-0.003078,"[12794, 12834]","[16997.0, 17039.0]"
0.0047078,"[12594, 12770]","[16789.0, 16972.0]",,,,,,,2.2276e-05,"[13112, 13203]","[17328.0, 17423.0]"
