state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
548250.0,"[12, 1750]","[13.019, 1788.3]",474420.0,"[2621, 3034]","[2693.8, 3123.7]",553090.0,"[5375, 5462]","[5526.6, 5617.1]",502530.0,"[1775, 1846]","[1814.1, 1887.8]"
525800.0,"[1871, 2596]","[1913.8, 2667.8]",475780.0,"[4503, 4592]","[4634.1, 4724.9]",525870.0,"[11555, 11664]","[11903.0, 12014.0]",512130.0,"[3480, 3534]","[3590.0, 3645.1]"
556830.0,"[3059, 3361]","[3149.7, 3464.3]",472685.0,"[4633, 4957]","[4766.7, 5097.3]",510905.0,"[24366, 24416]","[25121.0, 25172.0]",478310.0,"[3759, 3851]","[3874.8, 3968.6]"
527345.0,"[3391, 3455]","[3499.2, 3564.5]",471020.0,"[5005, 5094]","[5146.3, 5237.0]",527450.0,"[24742, 24870]","[25505.0, 25636.0]",509750.0,"[4284, 4365]","[4410.4, 4493.0]"
538810.0,"[3559, 3734]","[3670.6, 3849.3]",471510.0,"[5139, 5350]","[5283.1, 5500.6]",530090.0,"[25611, 25728]","[26392.0, 26511.0]",504140.0,"[6289, 6323]","[6477.4, 6512.8]"
518050.0,"[3876, 4259]","[3994.1, 4384.9]",471080.0,"[5487, 5592]","[5643.0, 5752.3]",524530.0,"[29446, 29602]","[30344.0, 30503.0]",505190.0,"[6497, 6638]","[6693.8, 6840.5]"
537055.0,"[4390, 4478]","[4518.5, 4608.6]",476100.0,"[11221, 11530]","[11562.0, 11878.0]",542795.0,"[33437, 33559]","[34457.0, 34584.0]",485760.0,"[6725, 6746]","[6931.0, 6952.8]"
539880.0,"[5617, 6265]","[5778.3, 6452.4]",467335.0,"[11688, 12238]","[12039.0, 12601.0]",530765.0,"[35701, 35749]","[36800.0, 36848.0]",508435.0,"[7173, 7293]","[7395.2, 7517.6]"
519505.0,"[6347, 6473]","[6537.8, 6668.8]",469250.0,"[21971, 22063]","[22641.0, 22735.0]",524070.0,"[36071, 36159]","[37177.0, 37267.0]",492260.0,"[7906, 7924]","[8143.0, 8161.3]"
540780.0,"[6662, 6700]","[6865.5, 6905.0]",469870.0,"[22916, 23046]","[23609.0, 23744.0]",,,,512080.0,"[8462, 8602]","[8710.6, 8853.5]"
541280.0,"[6770, 6862]","[6977.8, 7073.5]",482600.0,"[24068, 24091]","[24808.0, 24831.0]",,,,490730.0,"[8736, 8793]","[8990.7, 9049.4]"
511325.0,"[6890, 7148]","[7106.5, 7369.7]",460360.0,"[24145, 24217]","[24888.0, 24963.0]",,,,505700.0,"[8986, 9135]","[9249.8, 9405.0]"
516000.0,"[7318, 7881]","[7543.1, 8117.5]",447490.0,"[24265, 24341]","[25012.0, 25092.0]",,,,494460.0,"[9433, 9473]","[9715.1, 9756.7]"
543110.0,"[7949, 8437]","[8186.9, 8685.1]",457200.0,"[24440, 24717]","[25197.0, 25480.0]",,,,499970.0,"[9820, 9928]","[10118.0, 10230.0]"
539585.0,"[8627, 8711]","[8879.1, 8965.0]",456565.0,"[24925, 25587]","[25692.0, 26367.0]",,,,482430.0,"[10622, 10723]","[10951.0, 11054.0]"
522300.0,"[8818, 8962]","[9075.2, 9224.9]",459280.0,"[25816, 26312]","[26601.0, 27111.0]",,,,496945.0,"[10927, 10985]","[11262.0, 11322.0]"
528925.0,"[9160, 9408]","[9431.0, 9689.1]",466440.0,"[28891, 28936]","[29777.0, 29823.0]",,,,513805.0,"[12341, 12371]","[12707.0, 12738.0]"
517820.0,"[9497, 9796]","[9781.7, 10093.0]",459830.0,"[28981, 29422]","[29869.0, 30319.0]",,,,488590.0,"[12870, 12932]","[13258.0, 13322.0]"
516280.0,"[9952, 10597]","[10255.0, 10926.0]",459960.0,"[29626, 30103]","[30528.0, 31023.0]",,,,508600.0,"[13216, 13242]","[13618.0, 13645.0]"
517770.0,"[10747, 10902]","[11079.0, 11237.0]",463900.0,"[32863, 32999]","[33868.0, 34007.0]",,,,488755.0,"[13991, 14081]","[14426.0, 14518.0]"
540290.0,"[11010, 11196]","[11347.0, 11537.0]",459220.0,"[33048, 33413]","[34057.0, 34432.0]",,,,478630.0,"[14321, 14387]","[14762.0, 14830.0]"
543400.0,"[12262, 12317]","[12626.0, 12682.0]",459530.0,"[33633, 33800]","[34661.0, 34835.0]",,,,493400.0,"[14830, 14857]","[15282.0, 15309.0]"
549640.0,"[12395, 12846]","[12763.0, 13233.0]",459520.0,"[34497, 34902]","[35560.0, 35984.0]",,,,481840.0,"[14925, 14972]","[15378.0, 15426.0]"
526640.0,"[12956, 13192]","[13347.0, 13593.0]",459710.0,"[34996, 35341]","[36080.0, 36432.0]",,,,497315.0,"[15631, 15703]","[16099.0, 16173.0]"
508550.0,"[13266, 13967]","[13670.0, 14401.0]",461640.0,"[35403, 35677]","[36496.0, 36775.0]",,,,481410.0,"[16193, 16305]","[16682.0, 16798.0]"
516435.0,"[14106, 14296]","[14543.0, 14737.0]",463580.0,"[35788, 36046]","[36888.0, 37152.0]",,,,505895.0,"[16639, 16665]","[17146.0, 17173.0]"
514220.0,"[14412, 14806]","[14855.0, 15257.0]",464260.0,"[36212, 36677]","[37321.0, 37796.0]",,,,502640.0,"[16955, 17076]","[17474.0, 17601.0]"
523230.0,"[14881, 14900]","[15334.0, 15353.0]",465890.0,"[41551, 41612]","[42836.0, 42899.0]",,,,488930.0,"[17281, 17476]","[17814.0, 18016.0]"
524810.0,"[14996, 15607]","[15451.0, 16074.0]",464400.0,"[41667, 41862]","[42956.0, 43163.0]",,,,495805.0,"[18028, 18086]","[18579.0, 18639.0]"
523015.0,"[15727, 16169]","[16198.0, 16657.0]",,,,,,,499240.0,"[18158, 18247]","[18712.0, 18803.0]"
500575.0,"[16329, 16615]","[16823.0, 17121.0]",,,,,,,484320.0,"[19164, 19441]","[19739.0, 20027.0]"
523700.0,"[16689, 16930]","[17198.0, 17448.0]",,,,,,,501580.0,"[19958, 20037]","[20564.0, 20647.0]"
543320.0,"[17100, 17257]","[17625.0, 17789.0]",,,,,,,507515.0,"[20343, 20429]","[20965.0, 21055.0]"
534445.0,"[17500, 18004]","[18041.0, 18555.0]",,,,,,,494940.0,"[22088, 22229]","[22760.0, 22904.0]"
515795.0,"[18111, 18133]","[18664.0, 18687.0]",,,,,,,493190.0,"[23570, 23833]","[24289.0, 24563.0]"
524845.0,"[18272, 19140]","[18828.0, 19715.0]",,,,,,,475675.0,"[25753, 25791]","[26536.0, 26576.0]"
537320.0,"[19465, 19934]","[20052.0, 20539.0]",,,,,,,518865.0,"[27168, 27186]","[28001.0, 28020.0]"
543385.0,"[20061, 20319]","[20672.0, 20940.0]",,,,,,,486970.0,"[27451, 27473]","[28296.0, 28319.0]"
521400.0,"[20453, 21946]","[21079.0, 22616.0]",,,,,,,486150.0,"[27762, 27835]","[28620.0, 28695.0]"
516450.0,"[22253, 22892]","[22929.0, 23584.0]",,,,,,,466840.0,"[28102, 28173]","[28972.0, 29044.0]"
518020.0,"[23070, 23546]","[23769.0, 24264.0]",,,,,,,467870.0,"[28542, 28595]","[29421.0, 29475.0]"
516345.0,"[23858, 24044]","[24589.0, 24783.0]",,,,,,,492165.0,"[28631, 28689]","[29512.0, 29571.0]"
530580.0,"[26336, 27144]","[27136.0, 27976.0]",,,,,,,471810.0,"[28823, 28846]","[29708.0, 29731.0]"
524290.0,"[27210, 27427]","[28045.0, 28271.0]",,,,,,,473190.0,"[31586, 31647]","[32565.0, 32627.0]"
496660.0,"[27497, 27738]","[28344.0, 28595.0]",,,,,,,466000.0,"[32335, 32380]","[33329.0, 33375.0]"
526935.0,"[27860, 28078]","[28725.0, 28947.0]",,,,,,,462205.0,"[32597, 32699]","[33596.0, 33700.0]"
517070.0,"[28197, 28518]","[29069.0, 29396.0]",,,,,,,490030.0,"[37324, 37400]","[38469.0, 38548.0]"
513930.0,"[28714, 28799]","[29596.0, 29683.0]",,,,,,,485100.0,"[37551, 37610]","[38705.0, 38767.0]"
523230.0,"[30128, 31562]","[31049.0, 32540.0]",,,,,,,489190.0,"[37924, 38172]","[39093.0, 39351.0]"
506190.0,"[31671, 32310]","[32652.0, 33304.0]",,,,,,,465570.0,"[39111, 39270]","[40316.0, 40479.0]"
506515.0,"[32404, 32572]","[33400.0, 33571.0]",,,,,,,498290.0,"[39318, 39838]","[40528.0, 41059.0]"
519870.0,"[32723, 32838]","[33725.0, 33843.0]",,,,,,,458305.0,"[40286, 40362]","[41520.0, 41599.0]"
494235.0,"[33583, 33609]","[34609.0, 34636.0]",,,,,,,464820.0,"[40609, 40720]","[41856.0, 41971.0]"
518720.0,"[33824, 34473]","[34860.0, 35535.0]",,,,,,,489900.0,"[40814, 40927]","[42069.0, 42187.0]"
531920.0,"[36701, 37300]","[37821.0, 38444.0]",,,,,,,484040.0,"[41171, 41436]","[42440.0, 42716.0]"
527710.0,"[37424, 37527]","[38573.0, 38680.0]",,,,,,,,,
530185.0,"[37634, 37900]","[38792.0, 39068.0]",,,,,,,,,
527165.0,"[38196, 39086]","[39376.0, 40291.0]",,,,,,,,,
516070.0,"[39863, 40262]","[41084.0, 41495.0]",,,,,,,,,
522530.0,"[40386, 40585]","[41624.0, 41831.0]",,,,,,,,,
531070.0,"[40744, 40790]","[41996.0, 42044.0]",,,,,,,,,
500670.0,"[40951, 41146]","[42212.0, 42414.0]",,,,,,,,,
519580.0,"[41460, 41527]","[42741.0, 42811.0]",,,,,,,,,
