,"Baseline change",5HT
/20221122_5HTsensorHEK001/_CyclePositoin1,-0.19693508400903,3.41540823051687
/20221122_5HTsensorHEK001/_CyclePositoin1,-0.11710713922707,2.34410554714676
/20221122_5HTsensorHEK001/_CyclePositoin1,-0.16562744725166,4.18786511433250
,,
/20221122_5HTsensorHEK001/_CyclePositoin2,-0.14136551408728,4.09285946312413
/20221122_5HTsensorHEK001/_CyclePositoin2,-0.08753891007157,3.05629770134458
/20221122_5HTsensorHEK001/_CyclePositoin2,-0.18875393510537,5.02231866577713
/20221122_5HTsensorHEK001/_CyclePositoin2,-0.04350844290434,3.44142424590161
,,
K_5HTSensor_5HT)-Analyzed/_CyclePositoin1,0.01969009724875,1.14513783997588
K_5HTSensor_5HT)-Analyzed/_CyclePositoin1,-0.08799212789090,2.50456946177239
K_5HTSensor_5HT)-Analyzed/_CyclePositoin1,-0.03389096975743,1.83553553743678
,,
K_5HTSensor_5HT)-Analyzed/_CyclePositoin2,-0.03141272661606,1.37692059818681
K_5HTSensor_5HT)-Analyzed/_CyclePositoin2,0.00563646069242,3.50563296504963
K_5HTSensor_5HT)-Analyzed/_CyclePositoin2,-0.02008934064601,0.94666949667535
K_5HTSensor_5HT)-Analyzed/_CyclePositoin2,-0.00357846563749,2.17549686994264
,,
K_5HTSensor_5HT)-Analyzed/_CyclePositoin3,-0.10437349719569,1.31727896687094
K_5HTSensor_5HT)-Analyzed/_CyclePositoin3,-0.02369233620315,1.36212621612918
,,
K_5HTSensor_5HT)-Analyzed/_CyclePositoin1,-0.13961799003058,2.67308046981777
K_5HTSensor_5HT)-Analyzed/_CyclePositoin1,-0.13824729462731,2.00455637115236
,,
K_5HTSensor_5HT)-Analyzed/_CyclePositoin2,-0.20124115482198,5.64166627762004
K_5HTSensor_5HT)-Analyzed/_CyclePositoin2,-0.20387246349912,4.53593931726382
,,
K_5HTSensor_5HT)-Analyzed/_CyclePositoin3,-0.25060633934950,3.82233292966832
K_5HTSensor_5HT)-Analyzed/_CyclePositoin3,-0.18266588182767,6.61274111614774
,,
s/202212065HTsensorHEK001/_CyclePositoin1,-0.17355428782899,6.84831200846256
s/202212065HTsensorHEK001/_CyclePositoin1,-0.23614994141279,5.36345782470156
s/202212065HTsensorHEK001/_CyclePositoin1,-0.19528754471669,4.67021273991652
s/202212065HTsensorHEK001/_CyclePositoin1,-0.22213124420876,5.58669372127090
,,
s/202212065HTsensorHEK001/_CyclePositoin2,-0.25692160932377,4.82747857360278
s/202212065HTsensorHEK001/_CyclePositoin2,-0.20208769288738,5.14178812050021
s/202212065HTsensorHEK001/_CyclePositoin2,-0.12223085628584,3.92867017949740
