,"Baseline change",5HT
/20221122_5HTsensorHEK001/_CyclePositoin1,-0.00288965490755,-0.01217592471268
/20221122_5HTsensorHEK001/_CyclePositoin1,-0.01444079787224,-0.01100594685547
/20221122_5HTsensorHEK001/_CyclePositoin1,-0.00873671451604,-0.01269572002188
,,
/20221122_5HTsensorHEK001/_CyclePositoin2,-0.03365292634344,0.00277294352283
/20221122_5HTsensorHEK001/_CyclePositoin2,-0.03354479024138,0.02085471569145
/20221122_5HTsensorHEK001/_CyclePositoin2,0.00018707825266,-0.01241975906381
/20221122_5HTsensorHEK001/_CyclePositoin2,-0.00800724823499,-0.01310249237077
,,
K_5HTSensor_5HT)-Analyzed/_CyclePositoin1,-0.01106773577754,-0.01770594569371
K_5HTSensor_5HT)-Analyzed/_CyclePositoin1,0.00287026334978,-0.02192510770617
K_5HTSensor_5HT)-Analyzed/_CyclePositoin1,0.00847580823808,-0.03223468486596
,,
K_5HTSensor_5HT)-Analyzed/_CyclePositoin2,-0.00067851864715,-0.00923292905807
K_5HTSensor_5HT)-Analyzed/_CyclePositoin2,0.00829241603355,-0.01073565335594
K_5HTSensor_5HT)-Analyzed/_CyclePositoin2,-0.00185729075478,-0.01412859359879
K_5HTSensor_5HT)-Analyzed/_CyclePositoin2,0.01277861313654,-0.00602391933989
,,
K_5HTSensor_5HT)-Analyzed/_CyclePositoin3,0.01116192189709,-0.00757622854688
K_5HTSensor_5HT)-Analyzed/_CyclePositoin3,0.00335906343716,-0.00235759926541
,,
K_5HTSensor_5HT)-Analyzed/_CyclePositoin1,0.03688546127801,-0.06904913763334
K_5HTSensor_5HT)-Analyzed/_CyclePositoin1,0.02311383919024,-0.03749081044092
,,
K_5HTSensor_5HT)-Analyzed/_CyclePositoin2,-0.01157754851355,-0.00076709823390
K_5HTSensor_5HT)-Analyzed/_CyclePositoin2,-0.00067265910017,-0.02321704369271
,,
K_5HTSensor_5HT)-Analyzed/_CyclePositoin3,-0.01051765658977,-0.01148857463250
K_5HTSensor_5HT)-Analyzed/_CyclePositoin3,-0.01375573601058,-0.00953815466221
,,
s/202212065HTsensorHEK001/_CyclePositoin1,-0.01147897199376,-0.02611281496026
s/202212065HTsensorHEK001/_CyclePositoin1,-0.00858985723160,-0.01526935534373
s/202212065HTsensorHEK001/_CyclePositoin1,0.01565157484860,-0.03557375263846
s/202212065HTsensorHEK001/_CyclePositoin1,0.02042570911962,-0.03698881500498
,,
s/202212065HTsensorHEK001/_CyclePositoin2,0.01483234584276,-0.04688896692101
s/202212065HTsensorHEK001/_CyclePositoin2,-0.00496022463738,-0.01760878934995
s/202212065HTsensorHEK001/_CyclePositoin2,0.02367882849632,-0.08348082381418
