,"Baseline change",NE
sors/0729NEsensorHEK001_CyclePositoin1,-0.00314351091393,1.30392178533998
sors/0729NEsensorHEK001_CyclePositoin1,0.07418876091875,2.14426819240512
sors/0729NEsensorHEK001_CyclePositoin1,-0.03462593373593,1.22528387547272
,,
sors/0729NEsensorHEK001_CyclePositoin2,-0.07087208726230,1.32021495086518
sors/0729NEsensorHEK001_CyclePositoin2,-0.03893338556373,1.20212750602200
sors/0729NEsensorHEK001_CyclePositoin2,0.00801601272664,1.72877073040349
,,
20221206NEsensorHEK001/_CyclePositoin1,-0.01141412623122,3.98216101833634
20221206NEsensorHEK001/_CyclePositoin1,-0.06185957305665,3.65488360971032
20221206NEsensorHEK001/_CyclePositoin1,-0.18256484514974,3.39739015978461
20221206NEsensorHEK001/_CyclePositoin1,-0.09393508066533,3.53761885373248
,,
20221206NEsensorHEK001/_CyclePositoin2,-0.01421108153052,4.68011670359662
20221206NEsensorHEK001/_CyclePositoin2,-0.06640875429606,3.64910671953590
20221206NEsensorHEK001/_CyclePositoin2,-0.04893140824217,4.65494714731773
,,
,,
,,
,,
20221206NEsensorHEK002/_CyclePositoin2,-0.02899404030422,2.64626043901583
20221206NEsensorHEK002/_CyclePositoin2,-0.05033172836583,3.54834234761938
