,"Baseline change",NE
sors/0729NEsensorHEK001_CyclePositoin1,-0.00605687618016,0.04160419491478
sors/0729NEsensorHEK001_CyclePositoin1,-0.02777726951136,0.03035804355083
sors/0729NEsensorHEK001_CyclePositoin1,0.01204733550646,0.01422339547520
,,
sors/0729NEsensorHEK001_CyclePositoin2,0.00482364615804,0.01353592568833
sors/0729NEsensorHEK001_CyclePositoin2,-0.01650256252681,0.06172172617640
sors/0729NEsensorHEK001_CyclePositoin2,-0.02026867810356,0.05708244243889
,,
20221206NEsensorHEK001/_CyclePositoin1,0.01135938563314,0.00597572189143
20221206NEsensorHEK001/_CyclePositoin1,0.00810032025334,0.01870498745726
20221206NEsensorHEK001/_CyclePositoin1,0.01802979864522,0.03283327757235
20221206NEsensorHEK001/_CyclePositoin1,-0.00174481227390,0.02284123196668
,,
20221206NEsensorHEK001/_CyclePositoin2,0.00376954701673,-0.00229354360537
20221206NEsensorHEK001/_CyclePositoin2,0.00892477548046,-0.02132596113967
20221206NEsensorHEK001/_CyclePositoin2,-0.00483598937216,0.02799376695309
,,
,,
,,
,,
20221206NEsensorHEK002/_CyclePositoin2,0.00122332800409,-0.03741520776324
20221206NEsensorHEK002/_CyclePositoin2,0.00915747224288,-0.03145715793351
