Resting,Running
3.735705,4.229965
3.770985,4.220535
3.798200,4.255615
3.830540,4.276270
3.839430,4.293180
3.851150,4.266840
3.839320,4.249670
3.818075,4.239610
3.854535,4.216480
3.815225,4.224930
3.784475,4.312120
3.805730,4.220270
3.786050,4.312150
3.783175,4.355700
3.815200,4.372670
3.791850,4.340300
3.812010,4.299430
3.821485,4.295815
3.857285,4.279750
3.855600,4.233250
3.843715,4.211990
2.001630,4.216845
2.004950,4.216490
1.992200,2.230880
1.985150,2.174460
1.985845,2.148800
1.977200,2.181270
1.952370,2.158610
1.954320,2.173400
1.948300,2.163660
1.915870,2.150095
1.931840,2.135310
1.903550,2.126605
1.938320,2.115870
1.920110,2.121525
2.691825,2.134540
2.710230,3.084170
2.741950,3.114840
2.705680,3.154020
2.737170,3.173560
2.745145,3.183370
2.714850,3.199690
2.716710,3.149310
2.665470,3.217820
2.660545,3.153030
2.619645,3.086640
2.662750,3.079090
2.668860,3.170690
2.659210,3.102420
2.636480,3.061330
2.663940,3.066760
2.618855,3.093080
2.636590,3.062600
2.681050,3.059455
2.675390,3.122840
2.665710,3.062340
2.642945,3.066710
2.615710,5.709715
4.949660,5.804970
4.927835,5.860325
4.924745,5.941300
5.038405,3.055080
5.033915,3.037500
4.985055,3.077320
4.975170,1.681300
4.948070,1.686750
4.926570,1.702550
4.968595,1.705745
4.870225,1.704140
4.852810,1.700970
4.935310,1.703535
4.850850,1.725840
4.760150,1.730635
4.971490,1.699510
4.839680,1.707650
4.763550,1.738500
4.716045,1.743750
4.752580,1.725875
5.170240,1.707290
4.889410,1.700270
4.733155,1.721790
4.767665,1.707920
4.673220,1.718680
4.702480,1.680620
5.348030,1.657785
5.381910,1.704120
2.713305,1.683090
2.728605,1.684870
2.729730,1.713580
2.755050,1.730460
2.786610,1.714980
2.776485,1.704750
2.760960,1.703980
2.733750,3.253125
2.736920,3.304590
2.734705,3.343410
2.748505,3.405065
2.714675,3.353695
2.717700,3.338740
2.709670,3.358505
2.681555,3.376390
2.702120,3.385780
2.732880,3.357720
2.725790,3.349985
2.701870,3.353760
2.616235,3.336650
2.691160,3.358255
2.644420,3.360785
2.750810,3.365170
2.739590,3.407810
2.749645,3.327455
2.699980,3.341695
2.711880,3.358075
2.689135,3.280290
2.723590,3.314670
2.718595,3.350045
2.690240,3.367995
2.679730,3.342910
2.697700,4.215420
2.653490,4.192115
2.684600,4.171965
2.663470,4.087440
2.619270,4.128750
2.616130,4.167890
1.488965,4.183560
1.487545,4.218825
1.471665,4.261360
1.476120,4.199860
1.492610,4.218840
1.469920,4.232160
1.487815,4.227310
1.489910,4.183920
1.477960,4.205695
1.465850,4.107920
1.467720,4.140470
1.457780,4.179080
1.454240,4.154360
1.454420,4.181720
1.429980,4.199315
1.447540,4.164690
1.467740,4.252300
1.438170,4.350490
1.438555,3.158730
1.427680,3.171265
1.426070,3.201350
1.518415,3.182650
1.539670,3.163370
2.882325,3.192640
2.901870,3.170405
2.922160,3.214290
2.920070,3.233000
2.910830,3.217080
2.912910,3.211680
3.538155,3.228970
3.525640,3.213610
3.590045,3.210230
3.631605,3.173990
3.558620,3.198280
3.584520,3.195780
3.553690,6.663520
3.559465,6.642355
3.575410,6.783305
3.604680,6.802905
2.664405,6.898130
2.681655,6.694705
2.688780,6.733455
2.718370,6.726945
2.689370,6.731900
2.749730,6.617070
2.729430,6.622210
2.736840,6.601590
2.761730,6.685740
2.744010,6.568600
2.736400,6.567500
2.734430,6.533940
2.690245,6.532765
2.710850,6.620625
2.747365,6.581405
2.764695,6.533030
2.753275,6.553080
2.758605,6.591420
2.780350,6.557835
2.737850,6.558250
2.738695,6.484010
5.833650,6.470345
5.819220,6.451220
5.798760,6.478830
5.793135,6.375000
5.799780,6.382320
5.783600,2.076310
5.710855,2.101220
5.676525,2.077070
5.667625,2.084680
5.622090,2.057560
5.634485,2.071880
1.723610,2.032020
1.733355,2.016350
1.722270,2.084240
1.730680,2.082670
1.715625,2.061230
1.708040,2.074140
4.450445,2.072390
4.421585,2.067600
4.500075,2.021990
4.482070,2.037425
4.459970,2.022220
4.509620,2.023225
4.483850,2.015460
4.477855,2.032360
4.465780,2.009490
4.448760,2.026050
4.430850,2.041955
4.423960,2.070095
4.436200,2.075735
4.434755,2.059290
4.448200,1.979240
4.384820,5.215850
4.488790,5.306460
4.409055,5.268000
4.433230,5.255060
4.407640,5.234730
4.404470,5.317225
4.330590,5.276030
4.458055,5.277790
4.407200,5.180180
4.395100,5.144225
,5.141830
,5.160810
,5.170765
,5.137510
,5.164690
,5.155465
,5.135490
