AW,QW,NREM,REM
2.06920,1.99860,1.92140,2.07930
2.15810,2.02370,1.90940,2.12270
2.10150,2.06085,1.95720,2.13910
2.09105,1.98870,1.96640,2.16415
2.15280,1.99435,1.95915,2.17000
2.12190,2.00005,1.95780,2.15880
2.11740,1.96150,1.98835,
2.09500,1.99800,1.93490,
2.16560,1.99395,1.94100,
2.13895,2.00190,1.92680,
2.12055,2.02870,1.90680,
2.14570,1.99580,1.92185,
2.10810,1.97570,1.89825,
2.11570,2.04340,1.92370,
2.10760,1.99185,1.91850,
2.10770,1.98760,1.90865,
2.15290,1.94270,1.93895,
2.14080,2.01130,2.01795,
2.13625,1.96980,1.95745,
2.13410,1.99045,1.96000,
1.97910,2.04520,1.93180,
2.14465,1.99550,1.95505,
2.12380,2.04250,1.95810,
2.08850,2.04085,1.93050,
2.12635,2.02590,1.91840,
2.12880,2.00850,1.92890,
2.14140,2.06115,1.94560,
2.14825,2.00590,1.96150,
2.10230,1.98085,,
2.23040,2.02710,,
2.17740,1.98655,,
2.12820,1.95475,,
2.14130,2.02430,,
2.13500,2.09690,,
2.13740,2.00835,,
2.16990,,,
