,Experiment,Fitting
0.048828125,0,
0.097656250,0,
0.146484375,0,
0.195312500,0,
0.244140625,0,
0.292968750,0,
0.341796875,0,
0.390625000,0,
0.439453125,184,175.019178719783
0.488281250,179,172.980821280217
0.537109375,169,179.450091112203
0.585937500,182,203.335006679358
0.634765625,213,272.186338484591
0.683593750,280,431.052188766491
0.732421875,367,732.869416517658
0.781250000,685,1216.500553413280
0.830078125,1195,1883.756812876020
0.878906250,1849,2692.280069852810
0.927734375,2683,3560.500195124900
0.976562500,3540,4398.901130881020
1.025390625,4450,5131.828133126310
1.074218750,5222,5707.838888174620
1.123046875,5803,6116.729180179010
1.171875000,6048,6374.597564981490
1.220703125,6364,6515.185281708610
1.269531250,6465,6569.571765276260
1.318359375,6475,6562.901721010620
1.367187500,6501,6518.055049576740
1.416015625,6425,6448.252414931430
1.464843750,6555,6362.925327208220
1.513671875,6303,6268.401911513160
1.562500000,6283,6169.267933196190
1.611328125,6284,6067.640334597620
1.660156250,6130,5964.922461702830
1.708984375,5950,5862.717512408720
1.757812500,5952,5761.283914002220
1.806640625,5844,5660.975997036590
1.855468750,5587,5561.984956359610
1.904296875,5751,5464.637538458740
1.953125000,5496,5369.151182159980
2.001953125,5352,5275.638059715790
2.050781250,5282,5184.023680195280
2.099609375,5085,5094.303384919160
2.148437500,4963,5006.619246983170
2.197265625,5064,4920.769997372240
2.246093750,4904,4836.749985611230
2.294921875,4662,4754.367034121400
2.343750000,4560,4673.886761706380
2.392578125,4669,4595.618571104650
2.441406250,4511,4519.466821368540
2.490234375,4592,4445.360163859230
2.539062500,4344,4373.318653187500
2.587890625,4428,4303.131967603770
2.636718750,4289,4234.577350221780
2.685546875,4357,4167.718628268840
2.734375000,4202,4102.168445652940
2.783203125,4016,4037.897370965990
2.832031250,4028,3975.118512184430
2.880859375,3920,3913.693017333010
2.929687500,3957,3853.851338216360
2.978515625,3825,3795.874756532350
3.027343750,3767,3739.922116257850
3.076171875,3845,3686.155322812050
3.125000000,3658,3634.340980874500
3.173828125,3584,3584.158848593660
3.222656250,3674,3535.655695710710
3.271484375,3476,3488.167736549710
3.320312500,3513,3441.161991115810
3.369140625,3422,3393.984865933820
3.417968750,3346,3346.025381739130
3.466796875,3251,3297.537101354800
3.515625000,3234,3248.435912488570
3.564453125,3303,3199.040317102410
3.613281250,3320,3149.659462622230
3.662109375,3232,3100.198442134390
3.710937500,3180,3050.810853627350
3.759765625,3121,3001.794438849770
3.808593750,3043,2953.225763766390
3.857421875,2893,2905.138457198200
3.906250000,2894,2857.573847930950
3.955078125,2876,2810.685044573730
4.003906250,2852,2764.458150260070
4.052734375,2784,2718.989099173190
4.101562500,2611,2674.323003731230
4.150390625,2719,2630.354011488310
4.199218750,2597,2587.081720379280
4.248046875,2558,2544.499608363680
4.296875000,2456,2502.599727546070
4.345703125,2582,2461.444501249120
4.394531250,2463,2421.003884708060
4.443359375,2487,2381.221347159470
4.492187500,2329,2342.140547946610
4.541015625,2430,2303.760150528940
4.589843750,2326,2266.004220272710
4.638671875,2309,2228.966923512930
4.687500000,2215,2192.588342931140
4.736328125,2349,2156.792691492030
4.785156250,2199,2121.656957768170
4.833984375,2133,2087.124778545240
4.882812500,2029,2053.156538616170
