,"1st flow-in","2nd flow-in"
20220518_AchsensorHEK003_cycle1,3.02385996406700,3.75820208052565
20220518_AchsensorHEK003_cycle1,2.49326830861154,2.29688287785779
,,
20220518_AchsensorHEK003_cycle2,4.58356523283535,4.33298898432805
20220518_AchsensorHEK003_cycle2,2.48335821700271,2.72017385270402
,,
20220519_AchsensorHEK_001,2.77835214561380,2.54919609308814
20220519_AchsensorHEK_001,2.60822675180913,1.75072962764385
20220519_AchsensorHEK_001,2.21658581454147,2.27405578343967
20220519_AchsensorHEK_001,3.40380484047360,4.01241134125833
