,"1st flow-in","2nd flow-in"
20220518_AchsensorHEK003_cycle1,0.19007389765142,0.18141582328000
20220518_AchsensorHEK003_cycle1,0.17405556908701,0.16364969325479
,,
20220518_AchsensorHEK003_cycle2,0.22475510785393,0.21747643462241
20220518_AchsensorHEK003_cycle2,0.22950492037943,0.23772696757250
,,
20220519_AchsensorHEK_001,0.19500704845494,0.19668177983959
20220519_AchsensorHEK_001,0.24259795191942,0.25889698150676
20220519_AchsensorHEK_001,0.22604354288766,0.21659822524918
20220519_AchsensorHEK_001,0.21838659219896,0.23368619980886
