,AW,QW,NREM,REM
8w,4.12175,4.13575,4.15020,4.15130
8w,4.13910,4.14315,4.16000,4.15320
8w,4.15450,4.14140,4.15640,4.14650
8w,4.15210,4.14005,4.15860,4.14035
8w,4.13770,4.13760,4.15600,4.14990
8w,4.14785,4.13520,4.13610,4.15270
8w,4.14900,4.14040,4.14380,4.14360
8w,4.13800,4.14125,4.14825,4.16165
8w,4.14200,4.14270,4.15160,4.16695
8w,4.14655,4.14260,4.15370,4.14760
8w,4.15030,4.15335,4.15530,4.15625
8w,4.13970,4.14515,4.15500,4.16090
8w,4.13610,4.14300,4.15870,4.14760
8w,4.14370,4.13990,4.14880,4.14500
8w,4.14980,4.13540,4.15900,
8w,4.13920,4.13155,4.15150,
8w,4.13235,4.13300,4.15320,
8w,4.13480,4.15530,4.14850,
8w,4.14760,4.13740,4.15410,
8w,4.13770,4.12600,4.14510,
8w,4.13870,4.12660,4.15510,
8w,4.14490,4.14830,4.14740,
8w,4.15175,,4.15370,
8w,4.15080,,4.14960,
8w,4.14520,,4.15060,
8w,4.15250,,4.15140,
8w,4.15430,,4.13650,
8w,4.14350,,4.14995,
8w,4.14160,,4.15705,
8w,4.13785,,4.16370,
8w,4.14465,,4.15730,
8w,4.13410,,4.15275,
8w,4.13230,,4.16405,
8w,4.13220,,4.16420,
8w,4.16190,,4.16490,
8w,4.15790,,4.15360,
8w,4.14845,,4.15310,
8w,4.13210,,4.16835,
8w,4.12550,,4.15340,
8w,4.12350,,4.15420,
8w,4.14995,,4.15350,
8w,4.14700,,4.15680,
8w,,,4.15550,
8w,,,4.15320,
8w,,,4.15300,
8w,,,4.15940,
8w,,,4.15630,
8w,,,4.15510,
8w,,,4.16070,
8w,,,4.14140,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
