time,intensity,tau_empirical,tau_fit
1.004,339789,4.15170824162111,2.49461561475877
2.345,339705,4.15044960489916,2.48963232389215
3.364,339891,4.15198435227038,2.49946224087791
4.385,339783,4.14442730285575,2.49192101313872
5.404,337928,4.1506136459104,2.49419469293314
6.425,339826,4.15355642753083,2.49240116672199
7.444,340119,4.1515985482597,2.49046291922565
8.464,342175,4.15983190679814,2.50292581318042
9.484,338955,4.15301664426351,2.49334627780542
10.504,338885,4.15814807432754,2.49666734793538
11.524,339002,4.14951118597967,2.49542818453382
12.544,340259,4.15444356565298,2.49209537109523
13.564,338955,4.14867749163263,2.4856698860343
14.584,337474,4.15060741205343,2.49406016703561
15.604,338240,4.14813771480548,2.50233465403763
16.624,342856,4.15737029953821,2.48846586297224
17.644,341666,4.15617708267481,2.4965356475949
18.664,340744,4.16034528475681,2.49631602934214
19.684,337990,4.1526203490495,2.49616128564803
20.705,337405,4.14895788007036,2.49163263408963
21.724,339530,4.15164603589343,2.49611445100918
22.745,341869,4.14951906787623,2.48615514994495
23.764,341521,4.15224410433832,2.49414901458028
24.785,340195,4.14833197566536,2.4887634828763
25.804,339578,4.15037865563395,2.49973336185253
26.825,342242,4.14708852963392,2.48863077856986
27.844,346084,4.15168470677853,2.49150517787224
28.864,343883,4.14385114121932,2.48827423909415
29.884,342832,4.14939102691088,2.49229652655842
30.905,342275,4.14818418414453,2.49304044309973
31.924,341393,4.15402257392393,2.48886952329972
32.945,343341,4.15721887549199,2.49000510700886
33.964,342805,4.1507458274188,2.49237360330175
34.984,342952,4.15538839025449,2.49572847948482
36.004,343292,4.15202173191736,2.49480891661446
37.025,342677,4.14539833308683,2.49160489579185
38.044,342645,4.14384120754258,2.49160489579185
39.064,342641,4.15320731434728,2.49219479102663
40.084,342199,4.16177741271925,2.5004447237722
41.104,341506,4.15051832042811,2.49211296834039
42.124,341525,4.14747065873339,2.49211296834039
43.144,340204,4.14663272047616,2.49499899119261
44.164,341408,4.14749901298856,2.49327945276254
45.185,340551,4.14725635951034,2.49486980824901
46.204,343059,4.15402003908251,2.50113163262611
47.225,343785,4.15776872512486,2.49256558861371
48.244,344356,4.1461997767263,2.48630050597067
49.265,342988,4.14793345008979,2.48704401868339
50.284,342896,4.15576166798586,2.50339344496819
51.304,341603,4.15504723753757,2.49532120290907
52.324,342862,4.15133462508543,2.50288480476802
53.344,341578,4.15293195551819,2.49459078846849
54.364,342299,4.1471681583825,2.48369645143839
55.384,343115,4.14493378582473,2.49019765571139
56.404,342182,4.15354797215963,2.49063893810756
57.424,342172,4.14736755638075,2.49093891300239
58.444,340664,4.15188272262276,2.49799671173579
59.464,340707,4.15325527635557,2.49799671173579
60.484,341543,4.15177554842802,2.49995322675125
61.504,341096,4.14864042465127,2.48950876882446
62.524,340012,4.14614996436353,2.49236152358359
63.544,341641,4.15038332914704,2.49188387246291
64.564,340058,4.14344207170075,2.49263855839163
65.585,340073,4.15653844743802,2.49538827931998
66.604,340699,4.15189001173426,2.49821137397795
67.624,341894,4.14885270145975,2.49508048258469
68.644,340698,4.14403107775645,2.49223511938793
69.665,339384,4.14833859552688,2.48819930486312
70.684,339895,4.14813300798795,2.49105520290082
71.705,340380,4.14568719071162,2.48775633190166
72.724,337926,4.14919675566726,2.49268815798604
73.745,339259,4.14636809049333,2.49258738045477
74.764,339563,4.1432846419685,2.48792283543554
75.784,338311,4.15709151865327,2.49540150665479
76.804,332598,4.15337901446977,2.50588875232506
77.824,335902,4.14421580480547,2.49957071049258
78.844,337857,4.13883952253464,2.48041025634952
79.865,337403,4.15250258030116,2.4983984117617
80.884,337563,4.14099963876272,2.48447375030142
81.905,339020,4.14328230162097,2.49181382146036
82.924,343228,4.15306768024786,2.49954542456722
83.945,344548,4.15577188136211,2.48989413786916
84.965,344548,4.14500949123281,2.49070772152066
85.985,344077,4.14448365373731,2.48959756258782
87.004,343306,4.14700960465755,2.49751160246912
88.025,342980,4.14880000569051,2.49746458855505
