time,intensity,tau_empirical,tau_fit
1.014,431350,4.17625975195995,2.50896925287778
2.194,430012,4.17525980228683,2.50896925287778
3.214,431236,4.17373437333527,2.50896925287778
4.233,430800,4.1716270978987,2.50749586189539
5.254,432084,4.17259666445889,2.50749586189539
6.273,432526,4.17514110105689,2.50605361111156
7.294,432379,4.17186120827809,2.50805565404538
8.313,432316,4.17568316513999,2.50812568951519
9.333,431579,4.17730790699431,2.51180471515844
10.353,431312,4.16895527961569,2.50741438986559
11.374,431512,4.17413621600551,2.50737734373452
12.393,433954,4.17053327086308,2.50230014815805
13.413,434490,4.17125426839244,2.50230014815805
14.433,435103,4.16897122163587,2.50377249394831
15.454,435404,4.17171716336609,2.50377249394831
16.473,436244,4.17771385312909,2.50983035973159
17.494,435965,4.16999401462715,2.50983035973159
18.513,436201,4.17025623814165,2.50896426644076
19.534,436987,4.17287033534411,2.5070912691328
20.553,437939,4.16649580889515,2.50244943229136
21.574,438013,4.1652972558036,2.50203113050219
22.593,439235,4.17718795393663,2.50203113050219
23.614,438158,4.16543279082895,2.50203113050219
24.633,436855,4.16827511103893,2.50371070538944
25.654,437534,4.16669131315007,2.50265205214464
26.673,438647,4.16647865595396,2.49964622792524
27.693,439321,4.17134375964469,2.50012617150826
28.713,437531,4.16909104403203,2.50341892155695
29.733,438497,4.16943458604168,2.50213713065741
30.753,438263,4.16763404421688,2.50213713065741
31.774,436864,4.16291604109333,2.49791850221505
32.793,436146,4.16738365134008,2.50039987936236
33.813,437196,4.16890170783262,2.50329987407589
34.833,435345,4.17103908366375,2.50517189670289
35.854,435022,4.17127460359404,2.50517189670289
36.873,435217,4.16966180319574,2.50611224908183
37.894,435890,4.16785967928908,2.50303313562633
38.913,434967,4.16972769884173,2.50303313562633
39.934,433729,4.16635081651627,2.4994750835258
40.953,433602,4.16654693094383,2.4994750835258
41.973,433335,4.16909536057716,2.50071450175093
42.993,431459,4.17058989161207,2.50218851870024
44.013,431592,4.16020015402173,2.50381930866883
45.033,432894,4.16423167615617,2.50195126259776
46.053,433755,4.17138093924843,2.50243764611709
47.073,431538,4.16607423907235,2.49946165931885
48.094,432125,4.16405047804143,2.49946165931885
49.113,432228,4.17981345946068,2.50526750719365
50.134,431033,4.16024210353925,2.500679558703
51.153,431651,4.16080696550254,2.49994462790192
52.173,432457,4.17350077080843,2.50406970198665
53.193,432269,4.17290254815053,2.50603876511568
54.213,429965,4.17013175267935,2.49902766335279
55.233,430897,4.17277360359244,2.50770991746958
56.254,430064,4.16955684794581,2.50620968027747
57.273,431883,4.17378660128226,2.50620968027747
58.294,430663,4.17452133809156,2.50620968027747
59.313,431420,4.17054840352677,2.50848697036953
60.334,430444,4.16870023454552,2.50748274208693
61.353,430935,4.17401568375617,2.50748274208693
62.374,431143,4.17053867814679,2.5075718341957
63.393,428875,4.16839905975698,2.50429291494422
64.413,429647,4.1735409431163,2.50429291494422
65.433,429114,4.16886580598297,2.50429291494422
66.453,431047,4.1752540805978,2.50505478535578
67.473,432051,4.17128780175607,2.50341188819452
68.493,430473,4.17595648369557,2.50455970944649
69.513,430537,4.18065345957619,2.50455970944649
70.534,430204,4.17318198294178,2.50727730889166
71.553,430596,4.17022587422394,2.50999157166561
72.574,428931,4.17020219333034,2.50577832656539
73.593,429711,4.16930660559745,2.50577832656539
74.613,429995,4.16535539484383,2.503973170168
75.633,430445,4.17607702082996,2.50879714106325
76.654,431486,4.180317747491,2.50668015330004
77.673,430340,4.168305117452,2.50668015330004
78.694,430775,4.16660647299831,2.50106189103342
79.713,430196,4.1782976953566,2.51672409775963
80.734,428614,4.18401595736883,2.51805927574255
81.753,428653,4.16929189977939,2.51304006436854
82.774,430251,4.16573080739383,2.49887162744618
83.793,431135,4.17857968367708,2.5099287875603
84.814,431783,4.16576493743411,2.50395513323116
85.833,429750,4.16414791629329,2.5031522730671
86.854,429557,4.1748660885155,2.50536665261883
87.873,430171,4.1668494468696,2.50536665261883
88.894,429997,4.17231347929089,2.50536665261883
89.913,429451,4.17440531257148,2.50986434195451
90.934,429776,4.16328146636322,2.4988754425941
91.953,430001,4.17214394714058,2.50189577983688
92.973,430032,4.17277550467513,2.50290163948033
93.993,432195,4.16919572842098,2.50050151956656
95.013,430579,4.17034197103532,2.49860279574516
96.033,430586,4.17957183178563,2.50928638100014
97.054,431676,4.17863880362626,2.50928638100014
98.073,431126,4.17117041632403,2.50928638100014
99.094,431178,4.16951530425763,2.50860892351123
100.113,432124,4.17036472888895,2.50154480475621
101.134,431745,4.16909038362645,2.5043430797812
102.153,432153,4.16787844801822,2.5043430797812
103.174,431705,4.1716058573974,2.5043430797812
104.193,433213,4.16789629707964,2.50185673497064
105.214,432330,4.16606106163491,2.50342977512302
106.233,431569,4.16934689026919,2.50482465506606
107.254,431567,4.17333159573093,2.50595615637482
108.273,430556,4.16711992403218,2.50595615637482
109.294,432685,4.16885133224359,2.50245712422114
110.313,431911,4.18039876418819,2.50469404559662
111.334,433547,4.16717062717255,2.50323299825002
112.353,432353,4.1676425113338,2.50270886467741
113.374,432491,4.17542381767377,2.50431034099547
114.393,432575,4.16854287570715,2.50295454370171
115.414,434999,4.17090296746187,2.49958515104129
116.433,434093,4.16995172003398,2.50094634359382
117.454,434756,4.17653071668778,2.50710631069661
118.473,433355,4.16884265744434,2.50649903259565
119.494,433267,4.17532996843631,2.50648779301573
120.513,432299,4.172789824126,2.5011690403864
121.534,432517,4.18277258161437,2.50337624501327
122.553,432308,4.17577979980884,2.50305567057672
123.574,434429,4.17030425673557,2.5095592632022
124.593,432923,4.16915137556614,2.51070653622587
125.614,434053,4.1726481249649,2.50237020040048
126.633,434946,4.17497279063618,2.51361518839698
127.654,433968,4.17870761227832,2.51630920286945
128.673,432929,4.1700020447232,2.50938429587015
129.693,433536,4.16422444126564,2.50743678194015
130.713,433996,4.17131821230008,2.50648318323127
131.734,433186,4.17685520618912,2.50857299814982
132.753,433171,4.17789160727342,2.50857299814982
133.774,432681,4.17238906888496,2.50709340185122
134.793,435296,4.17359736414313,2.50744517419813
135.814,432322,4.17154097660916,2.49894130663719
136.833,433454,4.17166403386308,2.50474842733316
137.854,435258,4.17518567098757,2.5067820246305
138.873,436079,4.17158456826759,2.50671869658892
139.894,435391,4.1707687696745,2.50671869658892
140.913,434331,4.17637959913695,2.50671869658892
141.934,434441,4.16958845126407,2.50846675423292
142.953,434129,4.17576189360314,2.50683345730182
143.973,434599,4.17703471065074,2.51729564678618
144.993,434230,4.17478833596111,2.51729564678618
146.013,433514,4.18131377595115,2.51535768344804
147.033,435660,4.16648145795046,2.50296100036503
148.053,435064,4.17297441569578,2.50430262175226
149.073,434893,4.17597000288889,2.50430262175226
150.093,435073,4.17793379704511,2.50430428366456
151.113,434821,4.17656052404913,2.51368300480576
152.134,434044,4.17447206693321,2.51058405638388
153.153,434328,4.17145501573661,2.51058405638388
154.174,434057,4.1723046014788,2.50673701219765
155.193,435026,4.17521323290948,2.50504375671012
156.214,435086,4.17222309674108,2.51122414006098
157.233,435290,4.17638630408228,2.51122414006098
158.254,434331,4.17584570445119,2.51507456652296
159.273,435145,4.17015032489824,2.51241856091925
160.294,435088,4.17204123387737,2.51241856091925
161.313,434615,4.17501111146877,2.5122079624837
162.334,434666,4.17643954242087,2.5122079624837
163.353,435445,4.16932133478903,2.5122079624837
164.374,435347,4.17441273576554,2.5116991005091
165.393,436937,4.18081359247459,2.5121311605445
166.414,435392,4.17927835410465,2.51327154392719
167.433,436300,4.17166735463559,2.50851948030181
168.454,435859,4.16665843966744,2.50677760631226
169.473,437095,4.16889322776877,2.50517643123759
170.494,436796,4.1720311800196,2.50952772198106
171.513,436462,4.1710222633667,2.50952772198106
172.534,435476,4.16644121820306,2.50900567859078
173.553,436073,4.1684088931988,2.50875828783627
174.574,435541,4.17189959597074,2.50875828783627
175.593,436165,4.17414884865469,2.50875828783627
176.613,435964,4.17417343694986,2.50854408852462
177.633,434862,4.16847723042318,2.50854408852462
178.654,435998,4.17315909072453,2.50903417745288
179.673,436702,4.18189539472425,2.51350337262043
180.693,435781,4.17025183483377,2.51350337262043
181.713,436205,4.17217794061679,2.50952252169396
182.733,435640,4.17037453662213,2.50952252169396
183.753,435798,4.17329481174988,2.50948118578193
184.774,435227,4.17622915677097,2.51499376885761
185.793,436290,4.17488719329762,2.51228664361585
186.814,435556,4.17899753460782,2.51228664361585
187.833,436187,4.17314905629977,2.51126426799842
188.854,436866,4.17144371674189,2.51452396832672
189.873,434750,4.17512458147678,2.50973378432379
190.894,435088,4.1728400847061,2.50911252678455
191.913,436710,4.17348104475437,2.51085902697523
192.934,436219,4.17748266588892,2.51060417737473
193.953,436598,4.17138179371957,2.51060417737473
194.973,436542,4.17041870868493,2.51393189073004
195.993,436130,4.17488788013859,2.51393189073004
197.013,435434,4.17491867538303,2.51393189073004
198.033,435859,4.17308948232739,2.51393189073004
199.053,435966,4.17685308248401,2.50893215975522
200.073,436012,4.17545191266129,2.50871690709162
201.094,433725,4.17393228516548,2.50365670358159
202.113,436604,4.17183488538521,2.51348863198793
203.134,436286,4.17128574456823,2.50198206828193
204.153,435594,4.17375321411006,2.51124405309506
205.174,436271,4.17962662443681,2.51124405309506
206.193,436939,4.18177614249735,2.51249443651793
207.213,435285,4.17323983924879,2.508034033155
208.233,435039,4.1630806768002,2.508034033155
209.254,437276,4.1804966575828,2.51244666463933
210.273,437034,4.17000064646904,2.51244666463933
211.294,437417,4.17880393353563,2.51244666463933
212.313,436463,4.17617031163122,2.51376337408454
213.334,436782,4.17282063323037,2.50959729140139
214.353,437067,4.17651613662978,2.50959729140139
215.374,436774,4.16850156683366,2.50638976404903
216.393,436943,4.17051690121976,2.50816966063353
217.414,436250,4.17118965021932,2.50584430393668
218.433,436098,4.1784242612886,2.50830683976527
219.454,435980,4.17764532603856,2.51202561293205
220.473,437195,4.17695299929448,2.51724776618272
221.494,435894,4.17534121184207,2.50589826625025
222.513,436769,4.17170710994419,2.51661184947682
223.534,437717,4.1708591893353,2.50485139964053
224.553,435561,4.17642418461782,2.50999515985216
225.574,436835,4.1742609280466,2.507809662188
226.593,437324,4.17337041668526,2.507809662188
227.614,436678,4.17348172371235,2.50765930384487
228.633,436301,4.16322837404579,2.50833877338994
229.654,437797,4.17029652818691,2.50981949670769
230.673,436697,4.17205058509462,2.50648328389759
231.694,437838,4.17054167706753,2.50967751951457
232.713,438419,4.17543721229243,2.51188158422387
233.733,437520,4.17102162994861,2.51034722321675
234.753,437467,4.17488963342898,2.51034722321675
235.773,438298,4.17542932205222,2.51034722321675
236.793,436254,4.16861624191931,2.50981507726229
237.814,436380,4.16915890407606,2.51168060463032
238.833,437233,4.17348034521651,2.51168060463032
239.854,437745,4.17695853466652,2.52158120512058
240.873,438158,4.17326153075433,2.51617811447135
241.894,438506,4.17113803827428,2.51147062325386
242.913,438939,4.17193428711738,2.51117869311219
243.934,438980,4.17460874868815,2.51117869311219
244.953,436932,4.17350872685046,2.51015457516357
245.973,436503,4.17320564067388,2.51018540098269
246.993,438596,4.17893295989671,2.50935962748768
248.013,438537,4.17484415013427,2.50935962748768
249.033,437160,4.17771439426372,2.51485477520959
250.054,437521,4.1712459290642,2.51273552362137
251.073,438782,4.16765817455587,2.50205271036676
252.094,437175,4.16938551846154,2.50637443098427
253.113,438550,4.17535928769839,2.51142596193589
254.134,438840,4.17770874421146,2.51142596193589
255.153,436330,4.16883440562564,2.51215915092589
256.174,436992,4.17505199793973,2.51215915092589
257.193,437575,4.17610094963074,2.51215915092589
258.214,437780,4.17599722256678,2.51281321537078
259.233,437530,4.17207275535661,2.50879123836786
260.254,437646,4.17735916887467,2.5085833580438
261.273,437874,4.1756919159014,2.50989788120272
262.294,437324,4.17989182856125,2.51156222155829
263.313,437866,4.1732134043764,2.51156222155829
264.333,436848,4.17551847720194,2.51156222155829
265.353,436687,4.17404964908805,2.51116432516534
266.374,437653,4.17503037073195,2.51464596437316
267.393,437037,4.17054502261242,2.51464596437316
268.414,436812,4.18355315478395,2.51464596437316
269.433,437192,4.17276518781513,2.51360891894055
270.454,438301,4.17588418197876,2.51316066070361
271.473,437639,4.17404045148854,2.51297585902859
272.494,438332,4.16937389783363,2.51186029484998
273.513,437565,4.17828714562186,2.51734842614867
274.534,437469,4.17166023486458,2.51410225493898
275.553,437462,4.17150808650862,2.51410225493898
276.574,436941,4.16929244003649,2.51410225493898
277.593,438021,4.17407857293281,2.51177033464707
278.614,438870,4.17436721460711,2.50812195820784
279.633,436937,4.1775569781348,2.51685910478505
280.653,439538,4.17805924641152,2.5195400941857
281.673,439701,4.17742187500798,2.5195400941857
282.694,439029,4.16635292003591,2.50843327137224
283.713,438955,4.16916960423155,2.50843327137224
284.733,439013,4.16836814879877,2.5070634745435
285.753,439322,4.16696397157171,2.5070634745435
286.774,438353,4.17799382561224,2.51509783190957
287.793,438637,4.17154182564673,2.50881498173057
288.813,437941,4.17643219278786,2.50881498173057
289.833,437889,4.17467137985471,2.51363848619718
290.854,438648,4.17362789815781,2.51363848619718
291.873,438181,4.17401496265874,2.51037825037718
292.893,438944,4.1713671968157,2.50874170658183
293.913,438756,4.17007356866098,2.5085684014641
294.933,438966,4.17222472757442,2.5085684014641
295.953,438637,4.17007022548108,2.51223688450336
296.973,437555,4.17360353629982,2.50891458305928
297.993,439470,4.17521340382584,2.51022871392481
299.013,438873,4.17591152079911,2.51022871392481
300.033,438399,4.175854549631,2.50810153034097
301.054,436611,4.16941539164535,2.50565756595171
302.073,439939,4.16860033609261,2.50648233877489
303.094,437814,4.17310470248827,2.5047316709918
304.113,437725,4.17617894502226,2.50681770065189
305.133,437088,4.18143840034099,2.51436241100315
306.153,438050,4.18049284604153,2.51999471294083
307.174,438404,4.16683463940899,2.51612279474543
308.193,437677,4.17312502891785,2.50783178018589
309.213,437781,4.17945582068963,2.50961040217328
310.233,439558,4.16860980574646,2.50093846976591
311.254,438707,4.17118705073711,2.50332773995478
312.273,439062,4.17248007829605,2.50874114757317
313.294,440229,4.17826297344228,2.51010837082265
314.313,439005,4.175255577837,2.51010837082265
315.333,438197,4.17763496920103,2.51671283117354
316.353,437164,4.17177403021212,2.51368814266321
317.374,436236,4.17060500726799,2.50778384314667
318.393,437864,4.17244475952929,2.50767614940965
319.414,438342,4.17337255698992,2.50767614940965
320.433,437680,4.1788667806577,2.51737285973318
321.453,439514,4.17321554513376,2.51193685112273
322.473,438462,4.17476770640043,2.51129571689206
323.494,438719,4.16995630767954,2.51044111833574
324.513,438296,4.16668874525195,2.50492269863707
325.533,438660,4.17129202190226,2.50980046938637
326.553,437693,4.17089229309418,2.50735218916585
327.574,439011,4.17937055578329,2.51347026986766
328.593,438205,4.17553756346841,2.51772848243079
329.614,438405,4.17867664974635,2.51790773078304
330.633,438502,4.16591419911176,2.50350941276349
331.654,439293,4.17137526910657,2.50750815417507
332.673,438116,4.17641762366383,2.51824019696767
333.693,438151,4.17144197696931,2.51381566800312
334.713,438192,4.1723546100964,2.51836021095372
335.733,439215,4.17505887150298,2.51435502556296
336.753,439423,4.16865812138946,2.50198650048006
337.773,440212,4.17066355498702,2.51070963987683
338.793,440702,4.16679526109563,2.50924196687918
339.813,438971,4.17618612617214,2.50591869197366
340.833,438360,4.1786920204258,2.5098168226885
341.854,440321,4.17214121684744,2.51141898416214
342.873,439906,4.1807975486385,2.51922341155467
343.894,440214,4.16988640329929,2.51910537076018
344.913,438425,4.16431072660196,2.50761472161327
345.933,440244,4.17137609950767,2.50580116387707
346.953,440713,4.17248188108072,2.51563085138844
347.973,438764,4.17346034691521,2.51453608231935
348.993,439805,4.17630691072808,2.51157651273095
350.013,440355,4.17355871239355,2.50998718730752
351.033,438905,4.17131089911611,2.50998718730752
352.054,439471,4.16820886456209,2.50998718730752
353.073,439423,4.17483116155559,2.51155148671072
354.094,439695,4.17855168959483,2.51155148671072
