Dataset,Mouse ID,Laser,Speed,Intensity,Fit Lifetime,Empirical Lifetime
20220325_1610_RvR_001,1610,1,0.0,373570.5,2.4875577570969805,4.18046708971297
20220325_1610_RvR_001,1610,1,0.0,377098.5,2.49042583587536,4.182271023089905
20220325_1610_RvR_001,1610,1,0.0,379820.0,2.4931449514836,4.184225988601029
20220325_1610_RvR_001,1610,1,0.0,383054.0,2.5007985158090698,4.18697555094789
20220325_1610_RvR_001,1610,1,0.0,383943.0,2.50099748202918,4.189913855005529
20220325_1610_RvR_001,1610,1,0.0,385115.0,2.5061182534711053,4.193717717228401
20220325_1610_RvR_001,1610,1,0.0,383932.0,2.505080521404805,4.1915837524671655
20220325_1610_RvR_001,1610,1,0.0,381807.5,2.504717792554855,4.19044778384877
20220325_1610_RvR_001,1610,1,0.0,385453.5,2.50863117950826,4.19601241531301
20220325_1610_RvR_001,1610,1,0.0,381522.5,2.5053412139891247,4.19342338201679
20220325_1610_RvR_001,1610,1,0.0,378447.5,2.5048809649177803,4.1908658207474705
20220325_1610_RvR_001,1610,1,0.0,380573.0,2.508402564025845,4.1964525579748795
20220325_1610_RvR_001,1610,1,0.0,378605.0,2.506397336363745,4.196186543347546
20220325_1610_RvR_001,1610,1,0.0,378317.5,2.5084806748305004,4.19845522477789
20220325_1610_RvR_001,1610,1,0.0,381520.0,2.512555290086345,4.2062696513915805
20220325_1610_RvR_001,1610,1,0.0,379185.0,2.51015656140811,4.20259789212564
20220325_1610_RvR_001,1610,1,0.0,381201.0,2.5066966119056002,4.19537014502576
20220325_1610_RvR_001,1610,1,0.0,382148.5,2.50564357088188,4.194223333599044
20220325_1610_RvR_001,1610,1,0.0,385728.5,2.51240424530797,4.20459396632657
20220325_1610_RvR_001,1610,1,0.0,385560.0,2.51196679026426,4.203306419022246
20220325_1610_RvR_001,1610,1,0.0,384371.5,2.511383316701405,4.202365645803645
20220325_1610_RvR_001,1610,1,9.663866666666667,422996.5,2.536632707276545,4.240729174485569
20220325_1610_RvR_001,1610,1,11.596666666666668,422053.5,2.53963026433117,4.240912783984445
20220325_1610_RvR_001,1610,1,14.910042857142857,425561.5,2.53900169876246,4.244800854362685
20220325_1610_RvR_001,1610,1,16.235371428571426,427627.0,2.54457483527188,4.2489767771655895
20220325_1610_RvR_001,1610,1,9.663916666666667,429318.0,2.54737365002642,4.25006911491485
20220325_1610_RvR_001,1610,1,14.247357142857142,426684.0,2.549181010301915,4.254511255229085
20220325_1610_RvR_001,1610,1,8.504216666666666,424967.0,2.5574666231245096,4.2606943051408095
20220325_1610_RvR_001,1610,1,9.6639,423961.0,2.55418398058105,4.2608642134856405
20220325_1610_RvR_001,1610,1,12.59067142857143,421648.0,2.5510131787085903,4.25384440511429
20220325_1610_RvR_001,1610,1,10.437033333333332,422493.0,2.54560332880174,4.25201767227872
20220325_1610_RvR_001,1610,1,13.916016666666668,431212.0,2.5534944967364552,4.258692965351569
20220325_1610_RvR_001,1610,1,12.369783333333334,422027.0,2.54946455081174,4.25018318883716
20220325_1610_RvR_001,1610,1,9.663883333333334,431215.0,2.54739777527049,4.25490848890694
20220325_1610_RvR_001,1610,1,12.756333333333334,435570.0,2.5600798502397204,4.26767090187424
20220325_1610_RvR_001,1610,1,11.210116666666668,437267.0,2.55634980470455,4.26445774441652
20220325_1610_RvR_001,1610,1,9.6639,434030.0,2.55125524744945,4.262209631209751
20220325_1610_RvR_001,1610,1,12.75635,429943.0,2.55773044281543,4.263175130498531
20220325_1610_RvR_001,1610,1,13.2666,429581.5,2.55226763566881,4.259771910631695
20220325_1610_RvR_001,1610,1,14.472683333333332,427975.0,2.54986912351881,4.2521740398534105
20220325_1610_RvR_001,1610,1,14.874683333333332,423325.0,2.54551406963134,4.25115277879385
20220325_1610_RvR_001,1610,1,12.864566666666667,421199.0,2.5482765113285,4.25300191274982
20220325_1610_RvR_001,1610,1,13.266583333333333,421684.5,2.551551949188495,4.254746585211665
20220325_1610_RvR_001,1610,1,12.8646,421649.0,2.5568101976606603,4.2590523060321805
20220325_1611_RvR_001,1611,1,0.0,200163.0,2.44544724473693,4.194482639372155
20220325_1611_RvR_001,1611,1,0.0,200495.0,2.44774489512407,4.19491784595034
20220325_1611_RvR_001,1611,1,0.0,199220.0,2.45371019351031,4.20275071192743
20220325_1611_RvR_001,1611,1,0.0,198515.0,2.4488312078051395,4.1977462063818
20220325_1611_RvR_001,1611,1,0.0,198584.5,2.44093321539811,4.19396999393023
20220325_1611_RvR_001,1611,1,0.0,197720.0,2.45431874219447,4.20516076849286
20220325_1611_RvR_001,1611,1,0.0,195237.0,2.44273053297315,4.19607480454354
20220325_1611_RvR_001,1611,1,0.0,195432.0,2.4411037996925247,4.19196268765855
20220325_1611_RvR_001,1611,1,0.0,194830.0,2.4415832065318197,4.19511771599643
20220325_1611_RvR_001,1611,1,0.0,191587.0,2.4378209681496497,4.18732673963483
20220325_1611_RvR_001,1611,1,0.0,193184.0,2.43628803643087,4.1894026853081
20220325_1611_RvR_001,1611,1,0.0,190355.0,2.42908631949559,4.1817645115595905
20220325_1611_RvR_001,1611,1,0.0,193832.0,2.447909579208405,4.20490657390604
20220325_1611_RvR_001,1611,1,0.0,192011.0,2.4419972955525897,4.1983976933447495
20220325_1611_RvR_001,1611,1,12.8839,223088.0,2.49340019344116,4.2485457860531195
20220325_1611_RvR_001,1611,1,10.541366666666667,217446.0,2.4815115091457502,4.230934866513344
20220325_1611_RvR_001,1611,1,11.712616666666667,214880.0,2.4752830146205795,4.23057073824981
20220325_1611_RvR_001,1611,1,12.3698,218127.0,2.48605670311322,4.236219000074439
20220325_1611_RvR_001,1611,1,20.487483333333333,215861.0,2.49452997384537,4.244734132175441
