state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
135975.0,"[838, 856]","[867.04, 885.4]",121900.0,"[12, 86]","[12.606, 89.566]",129960.0,"[110, 235]","[114.6, 244.65]",129150.0,"[881, 954]","[910.9, 985.36]"
137260.0,"[979, 1514]","[1010.9, 1556.7]",121545.0,"[283, 813]","[294.61, 841.54]",125240.0,"[4847, 5026]","[4993.1, 5175.7]",130655.0,"[1539, 1573]","[1582.2, 1616.9]"
135935.0,"[1598, 1706]","[1642.4, 1752.5]",120660.0,"[2349, 2970]","[2410.6, 3056.6]",130710.0,"[6245, 6270]","[6429.5, 6455.5]",134500.0,"[1731, 1902]","[1778.0, 1952.8]"
134230.0,"[1927, 1961]","[1978.3, 2013.0]",124090.0,"[3694, 3893]","[3810.0, 4020.0]",126960.0,"[6821, 6954]","[7029.0, 7167.4]",127550.0,"[1986, 2090]","[2038.6, 2144.9]"
138110.0,"[2115, 2149]","[2170.4, 2205.2]",119840.0,"[4043, 4822]","[4173.0, 4967.6]",132300.0,"[11723, 11784]","[12081.0, 12143.0]",135955.0,"[2174, 2200]","[2230.9, 2257.5]"
138770.0,"[2225, 2324]","[2283.1, 2384.8]",120750.0,"[5592, 6055]","[5753.8, 6231.9]",129365.0,"[12455, 12501]","[12828.0, 12875.0]",129720.0,"[2994, 3312]","[3081.6, 3412.5]"
133940.0,"[3337, 3532]","[3438.5, 3641.4]",117300.0,"[6111, 6220]","[6290.1, 6403.5]",129200.0,"[14913, 14959]","[15371.0, 15418.0]",129560.0,"[3556, 3578]","[3666.4, 3689.3]"
137655.0,"[3602, 3670]","[3714.3, 3785.0]",117990.0,"[6313, 6798]","[6500.3, 7005.0]",131430.0,"[15697, 15759]","[16170.0, 16234.0]",133720.0,"[3918, 4018]","[4045.5, 4147.5]"
132930.0,"[5267, 5567]","[5421.6, 5728.3]",119755.0,"[7014, 7370]","[7229.9, 7600.5]",132565.0,"[17248, 17308]","[17771.0, 17834.0]",126830.0,"[5079, 5242]","[5229.8, 5396.1]"
132425.0,"[7536, 8028]","[7773.6, 8275.5]",120725.0,"[8833, 9293]","[9096.8, 9567.2]",131150.0,"[31752, 31852]","[32719.0, 32823.0]",126640.0,"[7398, 7511]","[7632.9, 7748.1]"
134760.0,"[8124, 8377]","[8373.4, 8631.5]",127805.0,"[9811, 9847]","[10105.0, 10143.0]",130615.0,"[32699, 32737]","[33691.0, 33730.0]",128350.0,"[8053, 8099]","[8301.0, 8347.9]"
