state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
-0.0011289,"[12, 117]","[13.064, 122.32]",-0.00020814500000000002,"[357, 829]","[372.0, 862.13]",0.0012062499999999999,"[854, 982]","[887.63, 1018.2]",-0.0025133,"[142, 194]","[148.32, 202.4]"
0.00057071,"[219, 332]","[228.4, 346.0]",-0.009685,"[1846, 1865]","[1899.7, 1919.1]",0.0015104,"[11277, 11420]","[11633.0, 11779.0]",0.0028851,"[1050, 1088]","[1087.6, 1126.4]"
0.008833,"[1007, 1025]","[1043.8, 1062.1]",-0.00230915,"[2324, 2752]","[2387.9, 2830.5]",-0.000505895,"[13878, 13934]","[14304.0, 14363.0]",-0.0024491,"[1890, 1966]","[1944.6, 2022.1]"
0.0006610100000000001,"[1113, 1821]","[1151.9, 1874.2]",-0.00101982,"[2815, 3079]","[2896.0, 3170.7]",-0.00087183,"[19184, 19265]","[19772.0, 19855.0]",0.0008825,"[3104, 3175]","[3196.6, 3270.5]"
0.00035098,"[1991, 2299]","[2047.6, 2362.3]",-0.00011690799999999999,"[5092, 5204]","[5249.1, 5363.4]",0.0010756,"[20128, 20185]","[20740.0, 20799.0]",0.0012827,"[4676, 4725]","[4824.7, 4874.7]"
0.0005352,"[3200, 4078]","[3296.5, 4210.1]",-0.0010587,"[7052, 7755]","[7271.3, 8003.3]",0.0017451,"[20752, 20877]","[21388.0, 21518.0]",-0.0037065,"[4841, 4902]","[4993.0, 5055.2]"
8.24225e-05,"[4111, 4651]","[4248.3, 4799.2]",0.000300735,"[8482, 8586]","[8745.0, 8851.1]",-4.3448e-05,"[21466, 21505]","[22132.0, 22172.0]",0.00017355000000000002,"[7780, 7892]","[8028.8, 8143.1]"
-0.00031120050000000004,"[4750, 4816]","[4900.2, 4967.5]",-0.00171235,"[9136, 9444]","[9412.6, 9727.2]",-0.00047869,"[29946, 30124]","[30863.0, 31045.0]",0.00092656,"[8658, 8739]","[8924.6, 9007.2]"
0.000925355,"[4927, 5067]","[5080.7, 5223.6]",-0.0014016,"[10265, 10514]","[10580.0, 10839.0]",-0.00014595,"[30842, 30949]","[31786.0, 31897.0]",-0.00024042,"[9504, 9611]","[9788.7, 9899.2]"
0.00059283,"[5229, 7028]","[5388.9, 7246.3]",-0.00089232,"[10684, 11003]","[11015.0, 11347.0]",-0.00056136,"[32123, 32214]","[33123.0, 33215.0]",-5.507000000000003e-05,"[11445, 11577]","[11804.0, 11939.0]"
0.00026052,"[7917, 8457]","[8168.6, 8719.5]",-0.00055676,"[11050, 11253]","[11396.0, 11608.0]",0.0012147,"[35329, 35458]","[36420.0, 36554.0]",-9.776e-05,"[13998, 14101]","[14429.0, 14536.0]"
0.015817499999999998,"[8611, 8633]","[8876.6, 8899.0]",0.0013635,"[11660, 11769]","[12024.0, 12135.0]",,,,-0.0010487,"[14331, 14380]","[14776.0, 14827.0]"
0.0014509,"[8764, 9111]","[9032.7, 9387.1]",-0.001885,"[12009, 12150]","[12380.0, 12524.0]",,,,-0.0021729,"[14953, 15001]","[15420.0, 15468.0]"
0.00043121,"[9636, 10126]","[9925.2, 10435.0]",-0.0016228,"[12194, 12303]","[12568.0, 12680.0]",,,,0.000649345,"[15578, 15636]","[16057.0, 16116.0]"
-0.0020913,"[10186, 10241]","[10497.0, 10555.0]",-0.00157825,"[12358, 12488]","[12736.0, 12868.0]",,,,-0.0013689,"[16357, 16492]","[16852.0, 16991.0]"
0.00204585,"[10538, 10660]","[10864.0, 10991.0]",-0.00152175,"[12534, 12910]","[12916.0, 13300.0]",,,,-0.0019161500000000001,"[17080, 17206]","[17601.0, 17732.0]"
0.013168,"[11602, 11620]","[11964.0, 11983.0]",-0.0012706,"[13555, 13853]","[13968.0, 14278.0]",,,,0.0015626,"[18518, 18588]","[19093.0, 19164.0]"
0.00023883,"[11794, 11985]","[12160.0, 12355.0]",-0.00089174,"[14778, 14886]","[15241.0, 15351.0]",,,,-0.00510795,"[19607, 19645]","[20204.0, 20243.0]"
-0.000505415,"[12935, 13319]","[13325.0, 13723.0]",-0.00168395,"[15119, 15505]","[15589.0, 15983.0]",,,,-0.0037705,"[20901, 20935]","[21544.0, 21579.0]"
0.00055693,"[13375, 13531]","[13781.0, 13943.0]",-0.001955,"[16082, 16332]","[16572.0, 16827.0]",,,,-4.9086e-05,"[21529, 21566]","[22197.0, 22236.0]"
0.0057280000000000005,"[13958, 13974]","[14388.0, 14404.0]",-0.001237,"[16807, 17056]","[17317.0, 17576.0]",,,,-0.00043030499999999997,"[23417, 23673]","[24129.0, 24395.0]"
0.00121975,"[14125, 14307]","[14561.0, 14751.0]",0.001086495,"[17336, 17394]","[17868.0, 17928.0]",,,,-0.0032481,"[25173, 25226]","[25955.0, 26009.0]"
0.00145965,"[14404, 14754]","[14852.0, 15216.0]",-0.00055795,"[17713, 17804]","[18260.0, 18355.0]",,,,-0.0017788,"[25463, 25524]","[26251.0, 26313.0]"
-0.0039746,"[14910, 14929]","[15376.0, 15395.0]",-0.0019839,"[18134, 18461]","[18701.0, 19035.0]",,,,0.0070668,"[25608, 25627]","[26399.0, 26418.0]"
-0.0012839000000000001,"[15025, 15095]","[15493.0, 15564.0]",-0.0010703,"[18726, 18955]","[19305.0, 19539.0]",,,,-0.0016453,"[26755, 26848]","[27570.0, 27665.0]"
-0.0010117,"[15530, 15553]","[16008.0, 16032.0]",-0.0013759,"[19016, 19159]","[19601.0, 19747.0]",,,,-0.00039086,"[27028, 27191]","[27851.0, 28021.0]"
0.00085881,"[15660, 16058]","[16141.0, 16547.0]",-0.00080469,"[19325, 19340]","[19916.0, 19932.0]",,,,-0.0063826,"[27963, 28008]","[28823.0, 28870.0]"
0.00039671499999999996,"[16517, 16783]","[17016.0, 17292.0]",-0.00118685,"[19416, 19582]","[20009.0, 20179.0]",,,,0.0025151,"[28109, 28162]","[28975.0, 29030.0]"
