state1,state1,state1,state2,state2,state2,state3,state3,state3,state4,state4,state4
Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time,Lifetime Analysis,Index,Time
433320.0,"[8, 1845]","[8.74, 1902.2]",402130.0,"[2296, 2329]","[2371.6, 2405.9]",407830.0,"[11652, 11736]","[12003.0, 12090.0]",401675.0,"[1862, 1922]","[1919.9, 1982.3]"
420890.0,"[1939, 2279]","[1999.9, 2353.9]",381860.0,"[2381, 2539]","[2460.0, 2624.4]",393240.0,"[17572, 17685]","[18111.0, 18226.0]",413060.0,"[3037, 3067]","[3135.0, 3165.6]"
424740.0,"[2346, 2364]","[2423.6, 2442.3]",374860.0,"[2558, 3008]","[2646.4, 3105.4]",399485.0,"[30863, 31049]","[31819.0, 32009.0]",402985.0,"[5585, 5611]","[5758.5, 5785.5]"
417320.0,"[3084, 4715]","[3182.9, 4853.2]",380550.0,"[4732, 4969]","[4870.8, 5117.3]",389060.0,"[32946, 33061]","[33955.0, 34074.0]",395965.0,"[6701, 6849]","[6910.5, 7061.4]"
409140.0,"[4986, 5011]","[5134.9, 5161.3]",380370.0,"[5028, 5553]","[5179.0, 5725.2]",392090.0,"[38505, 38598]","[39690.0, 39785.0]",404745.0,"[7548, 7598]","[7774.5, 7825.5]"
415785.0,"[5628, 6684]","[5803.2, 6893.1]",396045.0,"[7982, 7992]","[8219.1, 8229.5]",,,,393660.0,"[7642, 7844]","[7870.4, 8076.9]"
412000.0,"[6866, 7531]","[7078.8, 7757.2]",393570.0,"[8193, 8238]","[8438.5, 8485.3]",,,,399785.0,"[8266, 8296]","[8514.4, 8545.6]"
413465.0,"[7615, 7625]","[7842.9, 7853.1]",377200.0,"[9027, 9268]","[9306.3, 9557.2]",,,,395540.0,"[8639, 8688]","[8902.6, 8953.6]"
405045.0,"[7861, 7965]","[8094.3, 8201.5]",375850.0,"[10640, 11220]","[10966.0, 11558.0]",,,,393730.0,"[8789, 8826]","[9058.7, 9097.1]"
417750.0,"[8009, 8176]","[8247.1, 8420.8]",373675.0,"[11306, 11636]","[11646.0, 11986.0]",,,,393850.0,"[9320, 9433]","[9611.2, 9728.8]"
411700.0,"[8313, 8622]","[8563.2, 8884.9]",395680.0,"[13020, 13055]","[13426.0, 13466.0]",,,,392525.0,"[10123, 10161]","[10439.0, 10478.0]"
407900.0,"[8705, 8772]","[8971.3, 9041.0]",372625.0,"[13462, 13732]","[13882.0, 14157.0]",,,,390720.0,"[10232, 10286]","[10550.0, 10605.0]"
410840.0,"[8843, 9010]","[9114.8, 9288.6]",372030.0,"[14697, 15097]","[15141.0, 15553.0]",,,,401995.0,"[12282, 12342]","[12658.0, 12721.0]"
401770.0,"[9285, 9303]","[9574.8, 9593.6]",374625.0,"[16505, 16759]","[17018.0, 17282.0]",,,,406000.0,"[12804, 12927]","[13202.0, 13330.0]"
417630.0,"[9450, 10106]","[9746.4, 10422.0]",371235.0,"[17109, 17555]","[17639.0, 18094.0]",,,,394710.0,"[13071, 13148]","[13483.0, 13561.0]"
409190.0,"[10178, 10215]","[10495.0, 10533.0]",378750.0,"[17764, 17857]","[18307.0, 18402.0]",,,,392200.0,"[13749, 13949]","[14174.0, 14378.0]"
406490.0,"[10303, 10619]","[10622.0, 10945.0]",377760.0,"[18175, 18686]","[18727.0, 19254.0]",,,,394290.0,"[14616, 14681]","[15059.0, 15125.0]"
405240.0,"[11236, 11289]","[11575.0, 11629.0]",382820.0,"[20891, 20949]","[21534.0, 21594.0]",,,,392710.0,"[15113, 15252]","[15570.0, 15714.0]"
410480.0,"[11752, 12265]","[12107.0, 12641.0]",388665.0,"[21032, 21062]","[21678.0, 21709.0]",,,,398745.0,"[16283, 16389]","[16787.0, 16897.0]"
408845.0,"[12358, 12788]","[12738.0, 13185.0]",374475.0,"[21122, 21376]","[21770.0, 22029.0]",,,,398260.0,"[18703, 18889]","[19271.0, 19465.0]"
418280.0,"[12944, 13003]","[13347.0, 13409.0]",378660.0,"[23111, 23387]","[23823.0, 24110.0]",,,,402720.0,"[19424, 19481]","[20022.0, 20081.0]"
405840.0,"[13164, 13446]","[13578.0, 13865.0]",375560.0,"[29999, 30846]","[30923.0, 31802.0]",,,,380465.0,"[19743, 19793]","[20354.0, 20406.0]"
406190.0,"[13965, 14599]","[14395.0, 15042.0]",378540.0,"[31093, 31128]","[32054.0, 32089.0]",,,,398000.0,"[20268, 20321]","[20899.0, 20953.0]"
409260.0,"[15268, 16267]","[15731.0, 16770.0]",368665.0,"[31191, 31533]","[32154.0, 32502.0]",,,,389050.0,"[20447, 20691]","[21082.0, 21330.0]"
407145.0,"[16405, 16489]","[16914.0, 17001.0]",371805.0,"[31674, 32202]","[32646.0, 33185.0]",,,,395450.0,"[20817, 20874]","[21459.0, 21517.0]"
389920.0,"[16776, 17093]","[17299.0, 17622.0]",370200.0,"[32242, 32540]","[33226.0, 33533.0]",,,,391530.0,"[21428, 21536]","[22082.0, 22193.0]"
403975.0,"[17701, 17747]","[18243.0, 18290.0]",368805.0,"[32580, 32740]","[33574.0, 33741.0]",,,,401860.0,"[22638, 22709]","[23331.0, 23405.0]"
406870.0,"[17874, 18159]","[18419.0, 18710.0]",365010.0,"[32807, 32929]","[33810.0, 33937.0]",,,,385040.0,"[22825, 23018]","[23525.0, 23726.0]"
410350.0,"[18905, 19408]","[19481.0, 20005.0]",372660.0,"[36187, 36443]","[37294.0, 37561.0]",,,,393380.0,"[25803, 26032]","[26591.0, 26829.0]"
404705.0,"[19497, 19727]","[20098.0, 20337.0]",370140.0,"[36476, 36606]","[37595.0, 37730.0]",,,,391235.0,"[27465, 27597]","[28315.0, 28450.0]"
403690.0,"[19810, 20251]","[20423.0, 20881.0]",371430.0,"[36922, 37471]","[38059.0, 38630.0]",,,,391545.0,"[27657, 27691]","[28511.0, 28546.0]"
408310.0,"[20338, 20431]","[20970.0, 21065.0]",369315.0,"[37518, 38488]","[38683.0, 39673.0]",,,,401280.0,"[28064, 28134]","[28926.0, 28998.0]"
395210.0,"[20707, 20800]","[21347.0, 21442.0]",376630.0,"[41147, 41541]","[42423.0, 42825.0]",,,,392990.0,"[28844, 28947]","[29723.0, 29829.0]"
413210.0,"[20966, 21015]","[21611.0, 21661.0]",380820.0,"[41577, 41890]","[42862.0, 43181.0]",,,,409170.0,"[29211, 29232]","[30103.0, 30125.0]"
397455.0,"[21079, 21105]","[21726.0, 21753.0]",,,,,,,392310.0,"[29576, 29767]","[30483.0, 30682.0]"
408900.0,"[21392, 21411]","[22046.0, 22065.0]",,,,,,,387960.0,"[31066, 31077]","[32026.0, 32037.0]"
413910.0,"[21553, 22622]","[22210.0, 23314.0]",,,,,,,391070.0,"[32219, 32225]","[33203.0, 33209.0]"
399585.0,"[22725, 22809]","[23421.0, 23509.0]",,,,,,,394120.0,"[33114, 33317]","[34130.0, 34341.0]"
400860.0,"[23038, 23095]","[23747.0, 23806.0]",,,,,,,391300.0,"[33919, 34150]","[34967.0, 35209.0]"
398110.0,"[23403, 23514]","[24127.0, 24242.0]",,,,,,,388370.0,"[36656, 36839]","[37782.0, 37973.0]"
418460.0,"[23534, 25786]","[24267.0, 26573.0]",,,,,,,395090.0,"[39994, 40051]","[41222.0, 41281.0]"
416285.0,"[26048, 27448]","[26846.0, 28298.0]",,,,,,,382190.0,"[40833, 40917]","[42095.0, 42182.0]"
406815.0,"[27614, 27640]","[28467.0, 28494.0]",,,,,,,390360.0,"[41014, 41130]","[42287.0, 42406.0]"
423630.0,"[27708, 28047]","[28563.0, 28909.0]",,,,,,,,,
421250.0,"[28151, 28827]","[29015.0, 29706.0]",,,,,,,,,
421920.0,"[28963, 29195]","[29846.0, 30086.0]",,,,,,,,,
422655.0,"[29248, 29560]","[30142.0, 30466.0]",,,,,,,,,
423020.0,"[29784, 29983]","[30699.0, 30906.0]",,,,,,,,,
409885.0,"[31145, 31175]","[32107.0, 32137.0]",,,,,,,,,
420975.0,"[31549, 31657]","[32519.0, 32629.0]",,,,,,,,,
402750.0,"[32556, 32563]","[33549.0, 33557.0]",,,,,,,,,
393350.0,"[32757, 32790]","[33758.0, 33793.0]",,,,,,,,,
394930.0,"[33077, 33098]","[34091.0, 34113.0]",,,,,,,,,
414920.0,"[33333, 33903]","[34357.0, 34950.0]",,,,,,,,,
406340.0,"[34167, 36170]","[35226.0, 37277.0]",,,,,,,,,
394930.0,"[36622, 36639]","[37747.0, 37765.0]",,,,,,,,,
413455.0,"[36855, 36905]","[37990.0, 38042.0]",,,,,,,,,
394795.0,"[37487, 37501]","[38647.0, 38662.0]",,,,,,,,,
414455.0,"[38615, 39977]","[39802.0, 41205.0]",,,,,,,,,
416470.0,"[40067, 40817]","[41298.0, 42078.0]",,,,,,,,,
390680.0,"[40933, 40997]","[42199.0, 42266.0]",,,,,,,,,
